cas,Aire,Agua,Suelo,Alcant.,Coproc.,Disp. F.,Inciner.,Otros,Reciclado,Reutiliza.,Tratamien.
As,0.216823863747306,532.311289629691,45.299112710492,10.711941063709,14.07499265231,362.802152819246,0,12.4650864548,1.9705673,0.011589,0.032432129386
7440-38-2,57.0660617765897,151.248674048792,3.03343693756113,3.67487041844199,325.004596738797,8252.47537622382,0,169.413911220258,3.1206363105022,0.087870000115,0.125432522284
S/C1,2.700870340104,13.7488594080841,2.65219536525263,7.89435511559943,66.021206487965,2973.396470241,0,2.15239127604302,5.310148,0.0001629,0.00773674796
