actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA).	Atributo no considerado en este año	2008	CALLE 10A	8A	44440	FERROCARRIL	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA	JALISCO	20.64233	GDL	-103.34879	Guadalajara	AAG8A1403911	2083			332810	Quimica	Galvanoplastia		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2008	VIA GUSTAVO BAZ	7Q	54100	SAN PEDRO BARRIENTOS	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	19.57988	TLALNEPANTLA	-99.20186	Tlalnepantla de Baz	AAL7Q1510411	4874		BARRIENTOS	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
MANUFACTURA ENSAMBLE DESARROLLO INVEST COMPRA VENTA Y EMPACADO DE MATERIALES DE CURACION	Atributo no considerado en este año	2008	RIO MICHIGAN	52	32648	HACIENDA DE LAS TORRES	Otras industrias manufactureras	Atributo no considerado en este año	Atributo no considerado en este año	ASO AMERICAS, S. DE R.L. DE C.V.	CHIHUAHUA	"31°36'39"""	CD JUAREZ	"106°23'21"""	Juarez	AAM520803711	9730		CENTRO INDUSTRIAL JUAREZ	339999	Articulos y productos compuestos de diferentes materiales	Articulos y productos compuestos de diferentes materiales	0.0	0.0
CORTE Y PROCESO DE CABLE AUTOMOTRIZ	Atributo no considerado en este año	2008	AVE. DEL CARMEN 1206	91	31821	CENTRO	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V.	CHIHUAHUA	31.08714	ASCENSION	-108.0036	Ascension	AAM8V0800511	1206			336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	0.0	0.0
MANUFACTURA DE ARNESES AUTOMOTRICES	Atributo no considerado en este año	2008	CHAMIZAL  CRUCE CON CALLE MAGNETO	91	32630		Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE.C.V.PLANTA 1	CHIHUAHUA	31.69057	JUAREZ	-106.45475	Juarez	AAM8V0803711	950		PARQUE INDISTRIAL GEMA	336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	362280.0	3506744.0
MANUFACTURA DE ARNESES AUTOMOTRICES	Atributo no considerado en este año	2008	CHAMIZAL Y MAGNETO	91	32630	PARQUE GEMA	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 2	CHIHUAHUA	31.69019	JUAREZ	-106.45333	Juarez	AAM8V0803712	524		GEMA	336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	362491.6	3506742.07
MANUFACTURA Y ENSAMBLE DE ARNESES PARA EQUIPOS AUTOMOTRICES	Atributo no considerado en este año	2008	LIBRAMIENTO VIAL	91	31775	FRACC. ALAMEDAS	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V.	CHIHUAHUA	"30°25'95"""	NUEVO CASAS GRANDES	"107°54'22"""	Nuevo Casas Grandes	AAM8V0805012	2610			336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	0.0	0.0
PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN).	Atributo no considerado en este año	2008	COMERCIANTES	9M	36100	PARQUE IND. FIPASI	Fabricación de otras partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	GUANAJUATO	"20°54'55"""	SILAO	"101°23'41"""	Silao	AAM9M1103711	1300		PARQUE INDUSTRIAL FIPASI	336390	Automotriz	Produccion de otras auto partes	0.0	0.0
PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES).	Atributo no considerado en este año	2008	DOMICILIO CONOCIDO	62	35100		Fabricación de explosivos	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS, S.A. DE C.V.	DURANGO	25.72484	DINAMITA	-103.63808	Gomez Palacio	ABA621000711	SN		AREA RURAL	325920	Quimica	Produccion de explosivos		
EXTRUSION, ANODIZADO Y PINTURA DE PERFILES DE ALUMINIO	Atributo no considerado en este año	2008	KM. 16,432 CARRETERA LIBRE TIJUANA-ENSEN	QU	22563	SAN ANTONIO DE LOS BUENOS	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	ALUMINIO DE BAJA CALIFORNIA, S.A DE C.V.	BAJA CALIFORNIA	"32°25'45"""	TIJUANA	"117°1'52"""	Tijuana	ABC8A0200411	0			332810	Quimica	Anodizado de aluminio		
