actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
Granja Porcicola	Atributo no considerado en este año	2021	Camino TABLAJE CATASTRAL 584, KM 1.8 CARR. HACIENDA ITZINCAB CAMARA-HACIENDA DTZOYALCHE	1M	97822	Pueblo TECOH	Explotación de porcinos en granja	Atributo no considerado en este año	Atributo no considerado en este año	JUSTINA ANSELMA ABASCAL ALMADA,GRANJA SAN ANTONIO	YUCATAN	"20°45'8"""	Tecoh	"89°31'57"""	Tecoh	AAA3107600009	SN 	SN 		112211	Alimenticio y/o de consumo humano	Matanza de ganado y aves	236289.4717	2296818.2889
SERVICIOS DE AGENCIAS ADUANALES	Atributo no considerado en este año	2021	Avenida 602	L7	15620	Aeropuerto Aeropuerto Internacional de la Ciudad de México	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AAACESA ALMACENES FISCALIZADOS SA DE CV A EN P,ADUANA DEL AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MÉXICO	DISTRITO FEDERAL	"19°26'51"""	Venustiano Carranza	"99°4'20"""	Venustiano Carranza	AAF0901700150	S/N 	RF 22 Y 23 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	492402.2267	2150372.7507
FABRICACIÓN DE OTRAS PARTES PARA VEHÍCULOS AUTOMOTRICES	Atributo no considerado en este año	2021	Avenida MONOZUKURI	9M	38200		Fabricación de otras partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	AISIN AUTOMOTIVE GUANAJUATO S.A. DE C.V.,AAGT	GUANAJUATO	"20°43'58"""	Comonfort	"100°47'16"""	Comonfort	AAG1100900010	4	 	MARABIS COMONFORT	336390	Automotriz	Produccion de otras auto partes	313845.239	2293607.4904
MAQUILA DE GALVANOPLASTIA	Atributo no considerado en este año	2021	Calle  10a	8A	44440	Colonia FERROCARRIL	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO	JALISCO	"20°38'33"""	Guadalajara	"103°20'57"""	Guadalajara	AAG1403901019	2083	 		332810	Quimica	Galvanoplastia	671986.3405	2283474.4223
FUNDICIÓN Y LAMINACIÓN DE ALUMINIO	Atributo no considerado en este año	2021	Calle BENJAMIN FRANKLIN	LJ	54730	Colonia CONJUNTO IND. LA JOYA	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO SA DE CV,	MEXICO	"19°38'20"""	Cuautitlán Izcalli	"99°12'24"""	Cuautitlan Izcalli	AAL1512102650	9	 		331310	Metalurgica (incluye la siderurgica)	Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos	478326.458	2171540.3221
TRANSFORMACIÓN DE ALUMINIO	Atributo no considerado en este año	2021	Calle VIA MORELOS	7Q	55400	Colonia STA. MARIA TULPETLAC	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO SA DE CV,	MEXICO	"19°33'24"""	Ecatepec de Morelos	"99°3'0"""	Ecatepec de Morelos	AAL7Q1503321	347	 		331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	494746.4971	2162444.2738
AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)	Atributo no considerado en este año	2021	Calle AV. DOS	7Q	54900	Colonia FRACC. INDUSTRIAL CARTAGENA	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO, S.A.P.I. DE C.V.,	MEXICO	"19°38'34"""	Tultitlán de Mariano Escobedo	"99°9'9"""	Tultitlan	AAL7Q1510911	4	 		331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	483998.7598	2171967.9268
Fabricación de Partes de Aluminio para Motores y Transmisiones	Atributo no considerado en este año	2021	Avenida  DE MINERAL DE VALENCIANA	9M	36275		Moldeo por fundición de piezas metálicas no ferrosas	Atributo no considerado en este año	Atributo no considerado en este año	ASAHI ALUMINIUM MEXICO, S.A. DE C.V.,ASAHI	GUANAJUATO	"21°0'45"""	Silao de la Victoria	"101°28'39"""	Silao	AAM1103700017	140	 	PUERTO INTERIOR	331520	Automotriz	Produccion de otras auto partes	242476.2698	2325538.4811
LAMINACIÓN DE VARILLA Y SIMILARES	Atributo no considerado en este año	2021	Calle Seminario	7I	56576	Colonia SAN JUAN TLALPIZAHUAC	Complejos siderúrgicos	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS AMERICA S.A. DE C.V.,	MEXICO	"19°19'51"""	Ixtapaluca	"98°56'58"""	Ixtapaluca	AAM1503900040	3	 		331111	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero	505305.747	2137438.0757
Manufactura y venta de partes automotrices	Atributo no considerado en este año	2021	Calle CIRCUITO SAN MIGUELITO PONIENTE	9I	78423	Colonia CIUDAD SATELITE	Fabricación de motores y sus partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	AISAN AUTOPARTES MÉXICO, S.A. DE C.V.,	SAN LUIS POTOSI	"22°7'16"""	San Luis Potosí	"100°48'48"""	San Luis Potosi	AAM2402800314	106	 		336310	Automotriz	Produccion de motores automotrices a gasolina y diesel	312936.8919	2447357.0094
