actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
MANUFACTURA DE COMPONENTES ELECTRONICOS	Atributo no considerado en este año	2017	Avenida Av. Sendero Divisorio	91	66425	Privada TABACHINES	Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico	Atributo no considerado en este año	Atributo no considerado en este año	BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO	NUEVO LEON	"25°45'46"""	SAN NICOLAS DE LOS GARZA	"100°18'33"""	San Nicolas de los Garza	AAA190000015	500 	B1 		334220	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	368693.0927	2850093.9737
Servicios Aeroportuarios, comerciales y complementarios 	Atributo no considerado en este año	2017	Calle CARRETERA PANAMERICANA SUR	L7	20340	Colonia PE¿UELAS	Corporativos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE AGUASCALIENTES SA DE CV,AEROPUERTO INTERNACIONAL DE AGUASCALIENTES	AGUASCALIENTES	"21°51'0"""	AGUASCALIENTES	"102°17'10"""	Aguascalientes	AAGL70100111	KM.22 	 		551111	Otros	Servicios de administracion de aeropuertos y helipuertos	780482.1602	2418722.0779
MAQUILA DE GALVANOPLASTIA	Atributo no considerado en este año	2017	Calle  10a	8A	44440	Colonia FERROCARRIL	Otras industrias manufactureras	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO	JALISCO	"20°38'33"""	GUADALAJARA	"103°20'57"""	Guadalajara	AAG1403901019	2083 	 		339999	Quimica	Galvanoplastia	671986.3405	2283474.4223
TRANSFORMACIÓN DE ALUMINIO	Atributo no considerado en este año	2017	Calle VIA MORELOS	7Q	55400	Colonia STA. MARIA TULPETLAC	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO SA DE CV,	MEXICO	"19°33'24"""	ECATEPEC DE MORELOS	"99°3'0"""	Ecatepec de Morelos	AAL7Q1503321	347 	 		331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	494746.4971	2162444.2738
AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)	Atributo no considerado en este año	2017	Calle AV. DOS	7Q	54900	Colonia FRACC. INDUSTRIAL CARTAGENA	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO, S.A DE C.V,AZINSA ALUMINIO, S.A. DE C.V.	MEXICO	"19°38'34"""	TULTITLAN DE MARIANO ESCOBEDO	"99°9'9"""	Tultitlan	AAL7Q1510911	4 	 		331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	483998.7598	2171967.9268
LAMINACIÓN DE VARILLA Y SIMILARES	Atributo no considerado en este año	2017	Calle Seminario	7I	56576	Colonia SAN JUAN TLALPIZAHUAC	Fabricación de otros productos de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS AMERICA S.A. DE C.V.,	MEXICO	"19°19'51"""	IXTAPALUCA	"98°56'58"""	Ixtapaluca	AAM1503900040	3 	 		331220	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero	505305.747	2137438.0757
MANUFACTURA DE PAQUETE ENERGÉTICO E INFLADOR  PARA LA  INDUSTRIA  AUTOMOTRIZ	Atributo no considerado en este año	2017	Calle AVE. ALCALA S/N CARR. A SAN FERNANDO	9M	88796	Colonia PARQUE IND. STIVA ALCALA	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,	TAMAULIPAS	"25°59'45"""	REYNOSA	"98°15'42"""	Reynosa	AAM9I2803211	KM.2 	 		336320	Automotriz	Produccion de otras auto partes	573886.4279	2875456.5873
COMERCIALIZADORA DE EJES Y AUTOPARTES	Atributo no considerado en este año	2017	Calle AVENIDA DE LOS COMERCIANTES	9M	36100	Colonia PARQUE INDUSTRIAL FIPASI	Fabricación de partes de sistemas de transmisión para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO	GUANAJUATO	"20°53'24"""	SILAO DE LA VICTORIA	"101°21'34"""	Silao	AAM9M1103711	1300 	 		336350	Automotriz	Produccion de otras auto partes	254545.9119	2311788.66
VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA	Atributo no considerado en este año	2017	Avenida EUGENIO GARZA SADA	KE	64780	Colonia MAS PALOMAS	Hojalatería y pintura de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	AUTOKAM AUTOMOTRIZ S.A. DE C.V.,	NUEVO LEON	"25°38'5"""	MONTERREY	"100°16'55"""	Monterrey	AAU1903900165	3800 	 		811121	Otros	Reparacion y mantenimiento automotriz	371287.6752	2835859.9158
FABRICACION DE AUTOMOVILES Y CAMIONETAS	Atributo no considerado en este año	2017	Boulevard Q5	9G	75012		Fabricación de automóviles y camionetas	Atributo no considerado en este año	Atributo no considerado en este año	AUDI MEXICO, S.A DE C.V.,AUDI	PUEBLA	"19°13'2"""	SAN JOSE CHIAPA	"97°45'8"""	San Jose Chiapa	AAU2112800014	1 	 	SAN JOSE  CHIAPA	336110	Automotriz	Produccion de automoviles, camiones, tractocamiones y similares	631151.4602	2125346.2759
