actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA).	Atributo no considerado en este año	2011	CALLE 10A	8A	44440	FERROCARRIL	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA	JALISCO	"20°38'27"""	GDL	"103°20'55"""	Guadalajara	AAG8A1403911	2083			332810.0	Quimica	Galvanoplastia		
COMPRA, VENTA Y MANTENIMIENTO DE AUTOS MARCA NISSAN	Atributo no considerado en este año	2011	AV. MORELOS SUR	KE	62076	EL POLVORÍN	Reparación mecánica en general de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	AUTOMOTRIZ Y AGRICOLA S.A. DE C.V.	MORELOS	"18°53'25"""	CUERNAVACA	"99°13'42"""	Cuernavaca	AAGKE1700711	35			811111.0	Otros	Reparacion y mantenimiento automotriz		
FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS.	Atributo no considerado en este año	2011	AVENIDA GUADALUPE	ND	20900	MARAVILLAS	Moldeo por fundición de piezas metálicas no ferrosas	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AGUASCALIENTES	"21°57'49"""	MARAVILLAS	"102°19'37"""	Jesus Maria	AAGND0100511	224			331520.0	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de metales no ferrosos		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2011	VIA MORELOS	7Q	55400	SANTA MARIA TULPETLAC	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	"19°2'40"""	TULPETLAC	"99°33'50"""	Ecatepec de Morelos	AAL7Q1503321	347		TULPETLAC	331310.0	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2011	VIA GUSTAVO BAZ	7Q	54100	SAN PEDRO BARRIENTOS	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	"19°34'58"""	TLALNEPANTLA	"99°12'0"""	Tlalnepantla de Baz	AAL7Q1510411	4874		BARRIENTOS	331310.0	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2011	AVENIDA DOS	7Q	54900	PARQEU INDUSTRIAL CARTAGENA	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO, S.A. DE C.V.	MEXICO	"19°38'42"""	TULTITLAN	"99°9'10"""	Tultitlan	AAL7Q1510911	4		PARQUE INDUSTRIAL CARTAGENA	331310.0	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
FABRICACION DE ACEROS ESPECIALES	Atributo no considerado en este año	2011	ELECTRIFICACION	7F	50070	INDEPENDENCIA	Complejos siderúrgicos	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS ANGLO S.A .DE C.V.	MEXICO	"19°17'40"""		"99°38'4"""	Toluca	AAN7L1510611	103		ZONA INDUSTRIAL	331111.0	Metalurgica (incluye la siderurgica)	Laminacion primaria de hierro y acero		
VENTA DE VEHICULOS NUEVOS Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ	Atributo no considerado en este año	2011	AV. GOMEZ MORIN	KE	62220	VILLA DE ARAGON	Reparación mecánica en general de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.	NUEVO LEON	"25°38'41"""	MONTERREY	"100°21'39"""	Monterrey	AARKE1901911	402			811111.0	Otros	Reparacion y mantenimiento automotriz		
FABRICACION DE FERTILIZANTES	Atributo no considerado en este año	2011	ISLA DE ENMEDIO	5N	60950		Fabricación de fertilizantes	Atributo no considerado en este año	Atributo no considerado en este año	AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V.	MICHOACAN	"17°55'0"""	LAZARO CARDENAS	"102°12'0"""	Lazaro Cardenas	ABA5N1605311	SN		RECINTO PORTUARIO	325310.0	Quimica	Produccion de fertilizantes quimicos		
PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES).	Atributo no considerado en este año	2011	DOMICILIO CONOCIDO	62	35100		Fabricación de explosivos	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS, S.A. DE C.V.	DURANGO	"25°43'32"""	DINAMITA	"103°38'17"""	Gomez Palacio	ABA621000711	SN		AREA RURAL	325920.0	Quimica	Produccion de explosivos		
