actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
PRESTADOR DE SERVICIOS AEROPORTUARIOS	Atributo no considerado en este año	2006	BOULEVARD DE LAS NACIONES SN AMATES	L7	39931	ACAPULCO	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE ACAPULCO S.A. DE C.V.	GUERRERO	"16°45'44"""	ACAPULCO	"99°45'15"""	Acapulco de Juarez	AACL71200111	SN		TERRENO CONCESIONADO PARA EXPLOTACIÓN DE SERVICIOS AEROPORTU	488112	Otros	Servicios de administracion de aeropuertos y helipuertos	0.0	0.0
GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA).	Atributo no considerado en este año	2006	CALLE 10A	8A	44440	FERROCARRIL	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA	JALISCO	20.64233	GDL	-103.34879	Guadalajara	AAG8A1403911	2083			332810	Quimica	Galvanoplastia		
SERVICIOS DE ADMINISTRACION DE AEROPUERTOS Y HELIPUERTOS	Atributo no considerado en este año	2006	CARRETERA PANAMERICANA KM.22	L7	20340	EJIDO BUENAVISTA DE PEÑUELAS	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE AGUASCALIENTES S.A. DE C.V.	AGUASCALIENTES	"21°53'06.28"""	AGUASCALIENTES	"102°17'00.15"""	Aguascalientes	AAGL70100111	N.A.	N.A.	ZONA MEDIO URBANA FUERA DE LA CD DE AGUASCALIENTES	488112	Otros	Servicios de administracion de aeropuertos y helipuertos	0.0	0.0
FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS.	Atributo no considerado en este año	2006	AVENIDA GUADALUPE	ND	20900	MARAVILLAS	Moldeo por fundición de piezas metálicas no ferrosas	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AGUASCALIENTES	21.95113	MARAVILLAS	-102.32801	Jesus Maria	AAGND0100511	224			331520	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de metales no ferrosos		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2006	VIA MORELOS	7Q	55400	SANTA MARIA TULPETLAC	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	"19°34'05.64"""	TULPETLAC	"99°03'08.07"""	Ecatepec de Morelos	AAL7Q1503311	347		TULPETLAC	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	0.0	0.0
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2006	VIA GUSTAVO BAZ	7Q	54100	SAN PEDRO BARRIENTOS	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	19.57988	TLALNEPANTLA	-99.20186	Tlalnepantla de Baz	AAL7Q1510411	4874		BARRIENTOS	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
MANUFACTURA ENSAMBLE DESARROLLO INVEST COMPRA VENTA Y EMPACADO DE MATERIALES DE CURACION	Atributo no considerado en este año	2006	RIO MICHIGAN	52	32648	HACIENDA DE LAS TORRES	Otras industrias manufactureras	Atributo no considerado en este año	Atributo no considerado en este año	ASO AMERICAS, S. DE R.L. DE C.V.	CHIHUAHUA	"31°36'39"""	CD JUAREZ	"106°23'21"""	Juarez	AAM520803711	9730		CENTRO INDUSTRIAL JUAREZ	339999	Articulos y productos compuestos de diferentes materiales	Articulos y productos compuestos de diferentes materiales	0.0	0.0
IMPRENTA	Atributo no considerado en este año	2006	DR. VERTIZ	5E	03020	NARVARTE	Impresión de libros, periódicos y revistas	Atributo no considerado en este año	Atributo no considerado en este año	FRANCISCO JOSE ALCANTARA MARTINEZ	DISTRITO FEDERAL	"19°23'21"""		"99°09'05"""	Benito Juarez	AAM5E0901411	871 BIS			323111	Otros	Edicion, Encuadernacion y/o impresion	0.0	0.0
CORTE Y PROCESO DE CABLE AUTOMOTRIZ	Atributo no considerado en este año	2006	AVE. DEL CARMEN 1206	91	31821	CENTRO	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V.	CHIHUAHUA	31.08714	ASCENSION	-108.0036	Ascension	AAM8V0800511	1206			336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	0.0	0.0
MANUFACTURA DE ARNESES AUTOMOTRICES	Atributo no considerado en este año	2006	AUXILIAR	91	32630	PARQUE GEMA	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 7	CHIHUAHUA	31.69026	JUAREZ	-106.45129	Juarez	AAM8V0803715	220		GEMA	336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	362779.6	3506615.06
