actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS.	Atributo no considerado en este año	2007	AVENIDA GUADALUPE	ND	20900	MARAVILLAS	Moldeo por fundición de piezas metálicas no ferrosas.	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AGUASCALIENTES	21.95113	MARAVILLAS	-102.32801	Jesus Maria	AAGND0100511	224			331520	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de metales no ferrosos		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2007	VIA MORELOS	7Q	55400	SANTA MARIA TULPETLAC	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	"19°34'05.64"""	TULPETLAC	"99°03'08.07"""	Ecatepec de Morelos	AAL7Q1503311	347		TULPETLAC	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	0.0	0.0
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2007	VIA GUSTAVO BAZ	7Q	54100	SAN PEDRO BARRIENTOS	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	19.57988	TLALNEPANTLA	-99.20186	Tlalnepantla de Baz	AAL7Q1510411	4874		BARRIENTOS	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
MANUFACTURA ENSAMBLE DESARROLLO INVEST COMPRA VENTA Y EMPACADO DE MATERIALES DE CURACION	Atributo no considerado en este año	2007	RIO MICHIGAN	52	32648	HACIENDA DE LAS TORRES	Otras industrias manufactureras.	Atributo no considerado en este año	Atributo no considerado en este año	ASO AMERICAS, S. DE R.L. DE C.V.	CHIHUAHUA	"31°36'39"""	CD JUAREZ	"106°23'21"""	Juarez	AAM520803711	9730		CENTRO INDUSTRIAL JUAREZ	339999	Articulos y productos compuestos de diferentes materiales	Articulos y productos compuestos de diferentes materiales	0.0	0.0
CORTE Y PROCESO DE CABLE AUTOMOTRIZ	Atributo no considerado en este año	2007	AVE. DEL CARMEN 1206	91	31821	CENTRO	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores.	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V.	CHIHUAHUA	31.08714	ASCENSION	-108.0036	Ascension	AAM8V0800511	1206			336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	0.0	0.0
MANUFACTURA DE ARNESES AUTOMOTRICES	Atributo no considerado en este año	2007	CHAMIZAL  CRUCE CON CALLE MAGNETO	91	32630		Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores.	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE.C.V.PLANTA 1	CHIHUAHUA	31.69057	JUAREZ	-106.45475	Juarez	AAM8V0803711	950		PARQUE INDISTRIAL GEMA	336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	362280.0	3506744.0
MANUFACTURA DE ARNESES AUTOMOTRICES	Atributo no considerado en este año	2007	CHAMIZAL Y MAGNETO	91	32630	PARQUE GEMA	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores.	Atributo no considerado en este año	Atributo no considerado en este año	AUTOPARTES Y ARNESES DE MEXICO S.A. DE C.V. PLANTA 2	CHIHUAHUA	31.69019	JUAREZ	-106.45333	Juarez	AAM8V0803712	524		GEMA	336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	362491.6	3506742.07
PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN).	Atributo no considerado en este año	2007	COMERCIANTES	9M	36100	PARQUE IND. FIPASI	Fabricación de otras partes para vehículos automotrices.	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	GUANAJUATO	"20°54'55"""	SILAO	"101°23'41"""	Silao	AAM9M1103711	1300		PARQUE INDUSTRIAL FIPASI	336390	Automotriz	Produccion de otras auto partes	0.0	0.0
PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES).	Atributo no considerado en este año	2007	DOMICILIO CONOCIDO	62	35100		Fabricación de explosivos.	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS, S.A. DE C.V.	DURANGO	25.72484	DINAMITA	-103.63808	Gomez Palacio	ABA621000711	SN		AREA RURAL	325920	Quimica	Produccion de explosivos		
ENSAMBLE DE LUMINARIAS	Atributo no considerado en este año	2007	AVE. LOS PARQUES	91	66445	INDUSTRIAL LOS PARQUES	Construcción de obras de generación y conducción de energía eléctrica.	Atributo no considerado en este año	Atributo no considerado en este año	ACUITY BRANDS LIGHTING DE MEXICO, S. DE R.L. DE C.V. PLANTA MEZQUITAL	NUEVO LEON	"25°44'43.00"""		"100°14'21.63"""	San Nicolas de los Garza	ABL911904611	320		LOS PARQUES	237131	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos		
