actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
MANUFACTURA DE COMPONENTES ELECTRONICOS	Atributo no considerado en este año	2014	Avenida Av. Sendero Divisorio	91	66425	Privada TABACHINES	Fabricación de componentes electrónicos	Atributo no considerado en este año	Atributo no considerado en este año	BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO	NUEVO LEON	"25°45'46"""	San Nicolás de los Garza	"100°18'33"""	San Nicolas de los Garza	AAA190000015	500 	B1 		334410	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos		
MAQUILA DE GALVANOPLASTIA	Atributo no considerado en este año	2014	Calle  10a	8A	44440	Colonia FERROCARRIL	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO	JALISCO	"20°38'33"""	Guadalajara	"103°20'57"""	Guadalajara	AAG1403901019	2083 	 		332810	Quimica	Galvanoplastia		
TRANSFORMACION DE ALUMINIO	Atributo no considerado en este año	2014	Calle VIA MORELOS	7Q	55400	Colonia STA. MARIA TULPETLAC	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO SA DE CV,	MEXICO	"19°33'36"""	Ecatepec de Morelos	"99°2'52"""	Ecatepec de Morelos	AAL7Q1503321	347 	 		331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
Compra venta de vehiculos  nuevos y usados	Atributo no considerado en este año	2014	Calle ALFONSO CANO	KE	81200	Ciudad LOS MOCHIS	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	AGENCIA AUTOMOTRIZ DE LOS MOCHIS S.A. DE C.V.,NISSAN LOS MOCHIS	SINALOA	"25°47'55"""	Los Mochis	"108°59'13"""	Ahome	AAMKE2500111	SIN NUMERO 300	 		468111	Otros	Reparacion y mantenimiento automotriz		
COMERCIALIZADORA DE EJES Y AUTOPARTES	Atributo no considerado en este año	2014	Avenida Av. Comerciantes	B2	36100		Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,MAERICAN AXLE & MANUFACTURING	GUANAJUATO	"20°53'57"""	Silao de la Victoria	"101°23'50"""	Silao	AAM1103700081	1300 	 	SILAO CENTRO	436112	Otros	Alquiler, renta o venta de equipos,aparatos, instrumentos  y otros		
LAMINACIÓN DE VARILLA Y SIMILARES	Atributo no considerado en este año	2014	Calle Seminario	7I	56576	Colonia SAN JUAN TLALPIZAHUAC	Complejos siderúrgicos	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS AMERICA S.A. DE C.V.,	MEXICO	"19°19'51"""	Ixtapaluca	"98°56'58"""	Ixtapaluca	AAM1503900040	3 	 		331111	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero		
MANUFACTURA DE PAQUETE ENERGÉTICO E INFLADOR  PARA LA  INDUSTRIA  AUTOMOTRIZ	Atributo no considerado en este año	2014	Calle AVE. ALCALA S/N CARR. A SAN FERNANDO	9M	88796	Colonia PARQUE IND. STIVA ALCALA	Fabricación de otras partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	ARC AUTOMOTRIZ DE MEXICO, S. DE R.L. DE C.V.,	TAMAULIPAS	"25°59'45"""	Reynosa	"98°15'42"""	Reynosa	AAM9I2803211	KM.2 	 		336390	Automotriz	Produccion de otras auto partes		
Venta de Automoviles y Refacciones Servicio de Mantto. Automotriz	Atributo no considerado en este año	2014	Calle AVE. GOMEZ MORIN	KE	66273	Colonia VILLA DE ARAGON	Reparación mecánica en general de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.,	NUEVO LEON	"25°38'54"""	San Pedro Garza García	"100°21'33"""	San Pedro Garza Garcia	AARKE1901911	402 	 		811111	Otros	Reparacion y mantenimiento automotriz		
VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA	Atributo no considerado en este año	2014	Avenida EUGENIO GARZA SADA	KE	64780	Colonia MAS PALOMAS	Hojalatería y pintura de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	AUTOKAM AUTOMOTRIZ S.A. DE C.V.,	NUEVO LEON	"25°38'5"""	Monterrey	"100°16'55"""	Monterrey	AAU1903900165	3800 	 		811121	Otros	Reparacion y mantenimiento automotriz		
PRODUCCIÓN DE FERTILIZANTES QUIMICOS	Atributo no considerado en este año	2014	Ninguno Sin Numero	5N	60950		Fabricación de fertilizantes	Atributo no considerado en este año	Atributo no considerado en este año	AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.,AGROINDUSTRIAS DEL BALSAS, S.A. DE C.V.	MICHOACAN	"17°55'23"""	Ciudad Lázaro Cárdenas	"102°10'32"""	Lazaro Cardenas	ABA1605200103	SIN NUMERO 	SIN NUMERO 	CENTRO	325310	Quimica	Produccion de fertilizantes quimicos		
