actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
SERVICIO DE COMPRESIÓN DE GAS NATURAL	Atributo no considerado en este año	2022	Circuito Mar de Kara	MI	89603	Colonia Puerto Industrial de Altamira	Suministro de gas por ductos al consumidor final	Atributo no considerado en este año	Atributo no considerado en este año	COMPRESIÓN ALTAMIRA S.A DE C.V.,	Tamaulipas	"22°38'43"""	ALTAMIRA	"98°4'39"""	Altamira	CAL2800300044	500 	 		222210	Petroleo y petroquimica	Transportacion por ductos de gas natural y otros tipos de gases	594783.3581	2504566.1046
Generación y transmisión de Energía Eléctrica	Atributo no considerado en este año	2022	Carretera Tampico Mante	AD	89603		Generación, transmisión y distribución de energía eléctrica	Atributo no considerado en este año	Atributo no considerado en este año	COGENERACIÓN DE ALTAMIRA S.A. DE C.V.,	Tamaulipas	"22°22'29"""	ALTAMIRA	"97°53'25"""	Altamira	CAL2800300190	KM 17 	 	PUERTO INDUSTRIAL DE ALTAMIRA	221110	Generación de energia electrica	Generacion y transmision de energia electrica	614235.5686	2474740.7286
PRODUCCIÓN,  VENTA  Y FABRICACIÓN DE PRODUCTOS DE ESPUMA DE POLIURETANO	Atributo no considerado en este año	2022	Calle SARA	6M	22600	Colonia YAMILLE	Fabricación de espumas y productos de uretano	Atributo no considerado en este año	Atributo no considerado en este año	CALINOR, S.A. DE C.V.,	Baja California	"32°29'33"""	TIJUANA	"116°56'39"""	Tijuana	CAL6M0200411	5 	S/N 		326150	Quimica	Fabricacion de productos de espumas uretanicas	505233.8934	3595045.0394
Fabricación,confección y maquila de ropa 	Atributo no considerado en este año	2022	Calle Camino a la Herradura 	3I	54350	Colonia CABECERA MUNICIPAL	Confección en serie de ropa interior y de dormir	Atributo no considerado en este año	Atributo no considerado en este año	CANMI S.A. DE C.V.  (PLANTA CHAPA DE MOTA),CHAPA DE MOTA	México	"19°49'24"""	CHAPA DE MOTA	"99°31'34"""	Chapa de Mota	CAN461502611	S/N. 	 		315221	Textiles, fibras e hilos	Fabricacion de telas y sus productos	444901.265	2192041.9181
FABRICACIÓN DE CEMENTO	Atributo no considerado en este año	2022	Avenida Lázaro Cárdenas	73	39903	Colonia La Sabana	Fabricación de cemento y productos a base de cemento en plantas integradas	Atributo no considerado en este año	Atributo no considerado en este año	HOLCIM MEXICO OPERACIONES, S.A. DE C.V. ,HOLCIM	Guerrero	"16°56'29"""	ACAPULCO DE JUAREZ	"99°50'25"""	Acapulco de Juárez	CAP1F1200111	0 	0 		327310	Cemento y Cal	Produccion de cemento	410504.057	1873269.3549
FABRICACIÓN DE CAL	Atributo no considerado en este año	2022	Carretera PROGRESO-IXMIQUILPAN KM 7.3	74	42740	Pueblo XOCHITLAN	Fabricación de cal	Atributo no considerado en este año	Atributo no considerado en este año	CAL DE APASCO S.A. DE C.V., UNIDAD I PROGRESO	Hidalgo	"20°19'50"""	PROGRESO	"99°10'35"""	Progreso de Obregón	CAP1305000007	SN 	 		327410	Cemento y Cal	Produccion de cal	481585.7867	2248083.9106
Captación, tratamiento y suministro de agua para uso domestico 	Atributo no considerado en este año	2022	Avenida AV. RECTOR HIDALGO	UB	60950	Colonia CENTRO	Captación, tratamiento y suministro de agua realizados por el sector público	Atributo no considerado en este año	Atributo no considerado en este año	COMITE DE AGUA POTABLE Y ALCANTARILLADO LAZARO CARDENAS,CAPALAC	Michoacán de Ocampo	"17°57'17"""	CIUDAD LAZARO CARDENAS	"102°11'52"""	Lázaro Cárdenas	CAP1605200212	960 	 		222111	Otros	Suministro de servicios de luz, agua, tratamiento de aguas, drenaje ,carga y descarga y ot	796806.6078	1987444.703
Producción de oxido de calcio	Atributo no considerado en este año	2022	Calle 4 ORIENTE	74	72000	Colonia CENTRO	Fabricación de cal	Atributo no considerado en este año	Atributo no considerado en este año	CAL DE ALTA PUREZA, S. DE R.L. DE C.V.,PLANTA OXICAL	Puebla	"19°2'38"""	HEROICA PUEBLA DE ZARAGOZA	"98°12'34"""	Puebla	CAP2111400555	12 L	 		327410	Cemento y Cal	Produccion de cal	583161.8821	2105896.1158
FABRICACIÓN DE CEMENTO	Atributo no considerado en este año	2022	Calle CARRETERA SALTILLO MONTERREY KM 23.5	73	25900	Ninguno 	Fabricación de cemento y productos a base de cemento en plantas integradas	Atributo no considerado en este año	Atributo no considerado en este año	HOLCIM MÉXICO OPERACIONES S.A. DE C.V.,	Coahuila de Zaragoza	"25°36'45"""	RAMOS ARIZPE	"100°51'58"""	Ramos Arizpe	CAP730502711	S/N 	 		327310	Cemento y Cal	Produccion de cemento	312602.1664	2834113.2837
FABRICACIÓN DE CEMENTO	Atributo no considerado en este año	2022	Calle KM 1.5 CARR. A CALERAS	73	28130	Colonia CALERAS	Fabricación de cemento y productos a base de cemento en plantas integradas	Atributo no considerado en este año	Atributo no considerado en este año	HOLCIM MÉXICO OPERACIONES, S.A. DE C.V.,	Colima	"18°58'53"""	TECOMAN	"103°52'16"""	Tecomán	CAP730600911	S/N 	S/N 		327310	Cemento y Cal	Produccion de cemento	618830.7816	2099163.5406
