nra,estado,municipio
ACO7F1510411,México,Tlalnepantla de Baz
ACO8N2803211,Tamaulipas,Reynosa
ACO910200411,Baja California,Tijuana
ACOEA1510611,México,Toluca
ACOLJ1403911,Jalisco,Guadalajara
ACOM91510611,México,Toluca
ACOM92007911,Oaxaca,Salina Cruz
ACORP0900311,Ciudad de México,Coyoacán
ACOTE2800311,Tamaulipas,Altamira
ACPMC1403912,Jalisco,Guadalajara
ACR7X0803711,Chihuahua,Juárez
ACRKE2111411,Puebla,Puebla
ACSKE2402811,San Luis Potosí,San Luis Potosí
ACSMC2111411,Puebla,Puebla
ACT7X0200311,Baja California,Tecate
ACU1903900043,Nuevo León,Monterrey
ACU191512111,México,Cuautitlán
ACUEE0900311,Ciudad de México,Coyoacán
ACUEE1901911,Nuevo León,San Pedro Garza García
ACUKE1903911,Nuevo León,Monterrey
ACUKE1903921,Nuevo León,Monterrey
ACUKE1904611,Nuevo León,San Nicolás de los Garza
ACUKE1904811,Nuevo León,Santa Catarina
ACURP2500611,Sinaloa,Culiacán
ACURP2500612,Sinaloa,Navolato
ACV5H1605311,Michoacán de Ocampo,Morelia
ADC0400200328,Campeche,Campeche
ADC0501800005,Coahuila de Zaragoza,Monclova
ADC2903300062,Tlaxcala,Tlaxcala
ADC940802111,Chihuahua,Delicias
ADCBE3105011,Yucatán,Mérida
ADDBB1510411,México,Tlalnepantla de Baz
ADE5P1901611,Nuevo León,Doctor González
ADEN22201411,Querétaro,Querétaro
ADH5G2901511,Tlaxcala,Ixtacuixtla de Mariano Matamoros
ADHEA2901511,Tlaxcala,Ixtacuixtla de Mariano Matamoros
ADIKE1503711,México,Huixquilucan
ADLSE0706211,Chiapas,Ostuacán
ADM7T2402811,San Luis Potosí,San Luis Potosí
ADM7T2402821,San Luis Potosí,San Luis Potosí
ADUEE1000511,Durango,Durango
AEA 91050021,Coahuila de Zaragoza,Acuña
AEA910500211,Coahuila de Zaragoza,Acuña
AEA9M1103711,Guanajuato,Silao de la Victoria
AEA9M2200611,Querétaro,Corregidora
AEBRP2201411,Querétaro,Querétaro
AEC0801900362,Chihuahua,Chihuahua
AEC9M0801911,Chihuahua,Chihuahua
AEC9M0801913,Chihuahua,Chihuahua
AECEA0801911,Chihuahua,Chihuahua
AEE8A0901011,Ciudad de México,Álvaro Obregón
AEEBU0900711,Ciudad de México,Iztapalapa
AEEBU0900712,Ciudad de México,Gustavo A. Madero
AEEBU0900712,Ciudad de México,Iztapalapa
AEI6D0803711,Chihuahua,Juárez
AEJ9M0803711,Chihuahua,Jiménez
AEJ9M0803712,Chihuahua,Juárez
AEL1501300158,México,Atizapán de Zaragoza
AEL640600911,Colima,Tecomán
AEL911501311,México,Atizapán de Zaragoza
AELLM1700411,Morelos,Ayala
AEM0900700106,Ciudad de México,Iztapalapa
AEM1507000029,México,La Paz
AEM5T1101711,Guanajuato,Irapuato
AEM8A1507011,México,La Paz
AEM8T1900611,Nuevo León,Apodaca
AEM972803211,Tamaulipas,Reynosa
AEM9M1503311,México,Ecatepec de Morelos
AEMEA1507011,México,La Paz
AEMLS1502011,México,Coacalco de Berriozábal
AEMSP0805111,Chihuahua,Ocampo
AEMSP0805112,Chihuahua,Ocampo
AEN6A1900911,Nuevo León,Cadereyta Jiménez
AEO7T1301311,Hidalgo,Atotonilco de Tula
AEO8A0901011,Ciudad de México,Álvaro Obregón
AEP2107400033,Puebla,Huejotzingo
AEP7T1306311,Hidalgo,Tepeji del Río de Ocampo
AEQME2802211,Tamaulipas,Matamoros
AER1505100108,México,Lerma
AER5V1505111,México,Lerma
AER5V1505111,México,Toluca
AERM62700411,Tabasco,Centro
AES641510611,México,Toluca
AES8A0900511,Ciudad de México,Gustavo A. Madero
AES8A1403911,Jalisco,Guadalajara
AESL70400311,Campeche,Carmen
AET1605300706,Michoacán de Ocampo,Morelia
AEV7T2902511,Tlaxcala,San Pablo del Monte
AEVLJ2902511,Tlaxcala,San Pablo del Monte
AEX1102700127,Guanajuato,Salamanca
AEX910803711,Chihuahua,Juárez
AFA5T0901411,Ciudad de México,Benito Juárez
AFCLJ1304411,Hidalgo,Nopala de Villagrán
AFE2G0710611,Chiapas,Venustiano Carranza
AFF7T0200411,Baja California,Tijuana
AFI7T0502711,Coahuila de Zaragoza,Ramos Arizpe
AFM1103200008,Guanajuato,San José Iturbide
AFM910500212,Coahuila de Zaragoza,Acuña
AFM910500213,Coahuila de Zaragoza,Acuña
AFM910500214,Coahuila de Zaragoza,Acuña
AFM910500216,Coahuila de Zaragoza,Acuña
AFM910500221,Coahuila de Zaragoza,Acuña
AFM910500222,Coahuila de Zaragoza,Acuña
AFM910502511,Coahuila de Zaragoza,Piedras Negras
AFM910503511,Coahuila de Zaragoza,Torreón
AFM910503521,Coahuila de Zaragoza,Torreón
AFM910803713,Chihuahua,Juárez
AFMRP0500231,Coahuila de Zaragoza,Acuña
AFMRP0500241,Coahuila de Zaragoza,Acuña
AFMRP0500261,Coahuila de Zaragoza,Acuña
AFO1Z1409711,Jalisco,Tlajomulco de Zúñiga
AFOBJ2110811,Puebla,Oriental
AFOEA1403911,Jalisco,Guadalajara
AFOHF1403911,Jalisco,Guadalajara
AFR6A0803711,Chihuahua,Juárez
AFRLN0803711,Chihuahua,Juárez
AFS1I0500211,Coahuila de Zaragoza,Acuña
AFUKE0901411,Ciudad de México,Benito Juárez
AGA5K1306311,Hidalgo,Tepeji del Río de Ocampo
AGA5K1510611,México,Toluca
AGC2405000022,San Luis Potosí,Villa de Reyes
AGD1404400004,Jalisco,Ixtlahuacán de los Membrillos
AGDMC1412011,Jalisco,Zapopan
AGEKE0900211,Ciudad de México,Azcapotzalco
AGEKE1304811,Hidalgo,Pachuca de Soto
AGM5B0803711,Chihuahua,Juárez
AGM5P2201411,Querétaro,Querétaro
AGMDA2201411,Querétaro,Querétaro
AGOMC3105011,Yucatán,Mérida
AGR1904800062,Nuevo León,Santa Catarina
AGR3105000622,Yucatán,Mérida
AGR5H1904811,Nuevo León,Santa Catarina
AGR5N2201411,Querétaro,Querétaro
AGR5P0801911,Chihuahua,Chihuahua
