nra	pag_1	nra_comp	pag_2	similitud
AFM910500212	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500212	AFM910500221	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500221	0.9166666666666666
AFM910500212	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500212	AFM910500222	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500222	0.9166666666666666
AFM910500213	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500213	AFM910500214	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500214	0.9166666666666666
AFM910500213	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500213	AFM910500216	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500216	0.9166666666666666
AFM910500213	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500213	AFM910500221	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500221	0.9166666666666666
AFM910500214	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500214	AFM910500216	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500216	0.9166666666666666
AFM910500214	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500214	AFM910500221	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500221	0.9166666666666666
AFM910500216	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500216	AFM910500221	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500221	0.9166666666666666
AFM910500221	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500221	AFM910500222	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910500222	0.9166666666666666
AFM910502511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910502511	AFM910503511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910503511	0.9166666666666666
AFM910503511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910503511	AFM910503521	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFM910503521	0.9166666666666666
