cas	sustancia	grupo	iarc
7440-38-2	Arsénico	Metales y sus Compuestos	1
106-99-0	Butadieno	Otras sustancias RETC	1
S/C8	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	NC
1330-78-5	Fosfato de tris(metilfenilo)		NC
108-05-4	Acetato de vinilo		2B
72-43-5	Metoxicloro	Plaguicidas	3
10024-97-2	Oxido nitroso	Gases de Efecto Invernadero (GEI)	NC
9016-87-9	Diisocianato de difenilmetano polimérico	Sustancias Organohalogenadas	3
74-87-3	Clorometano	Sustancias Organohalogenadas	3
75-71-8	Diclorodifluorometano (CFC-12)	Sustancias Agotadoras de la Capa de Ozono	NC
7440-02-0	Níquel (polvos respirables, humos o vapores)	Metales y sus Compuestos	2B
74-90-8	Cianuro de hidrógeno		NC
26471-62-5	Tolueno diisocianato	Hidrocarburos Aromáticos y Alifáticos	2B
1763-23-1	Ácido sulfónico de perfluorooctano y sus sales		NC
1897-45-6	Clorotalonil		2B
57-74-9	Clordano	Compuestos Orgánicos Persistentes (COP)	2B
92-67-1	4-Amino difenilo	Hidrocarburos Aromáticos y Alifáticos	1
118-74-1	Hexaclorobenceno	Compuestos Orgánicos Persistentes (COP)	2B
94-75-7	Acido 2,4 Diclorofenoxiacetico	Plaguicidas	2B
7783-06-4	Acido sulfhídrico	Otras sustancias RETC	NC
110-86-1	Piridina	Hidrocarburos Aromáticos y Alifáticos	2B
Cd	Cadmio (compuestos)	Metales y sus Compuestos	NC
205-99-2	Benzo(b)fluoranteno		2B
106-89-8	Epiclorhidrina	Sustancias Organohalogenadas	2A
542-88-1	Eter bis-cloro metilico	Sustancias Organohalogenadas	1
S/C2	Cadmio (compuestos)	Metales y sus Compuestos	NC
S/C7	Hidrobromofluorocarbonos	Gases de Efecto Invernadero (GEI)	NC
1309-64-4	Antimonio trióxido		NC
101-68-8	Metileno bis(fenilisocianato)		3
306-83-2	2,2-Dicloro-1,1,1-Trifluoroetano (HCFC-123)	Sustancias Agotadoras de la Capa de Ozono	NC
106-51-4	P-benzoquinona		3
7439-92-1	Plomo (polvos respirables, humos o vapores)		2B
126-72-7	Fosfato de tris(2,3-dibromopropilo)		2A
Cr	Cromo (compuestos)	Metales y sus Compuestos	NC
107-06-2	1,2,-Dicloroetano	Sustancias Organohalogenadas	2B
75-21-8	Oxido de etileno		1
1336-36-3	Bifenilos policlorados	Compuestos Orgánicos Persistentes (COP)	1
67-66-3	Cloroformo	Sustancias Organohalogenadas	2B
75-07-0	Acetaldehido	Otras sustancias RETC	2B
120-82-1	Triclorobenceno	Hidrocarburos Aromáticos y Alifáticos	NC
79-34-5	1,1,2,2-Tetracloroetano	Sustancias Organohalogenadas	2B
72-02-8	Endrin	Compuestos Orgánicos Persistentes (COP)	NC
79-46-9	2-Nitropropano	Otras sustancias RETC	2B
7440-43-9	Cadmio	Metales y sus Compuestos	1
81-81-2	Warfarina	Plaguicidas	NC
