_id,cas,grupo,iarc,silentsprint,ssi_nombre,ssi_url,sustancia
65bd5c5f7d2fe1563734dfc3,Hg,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Mercurio (compuestos)
65bd5c5f7d2fe1563734dfc4,2837-89-0,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,"2-Cloro-1,1,2,2-Tetrafluoroetano (HCFC-124)"
65bd5c5f7d2fe1563734dfc5,74-82-8,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Metano
65bd5c5f7d2fe1563734dfc6,72-20-8,Compuestos Orgánicos Persistentes (COP),3,No aparece en el listado,No aplica,No aplica,Endrin
65bd5c5f7d2fe1563734dfc7,92-52-4,Hidrocarburos Aromáticos y Alifáticos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Bifenilo
65bd5c5f7d2fe1563734dfc8,95-50-1,Sustancias Organohalogenadas,3,No aparece en el listado,No aplica,No aplica,"1,2-Diclorobenceno"
65bd5c5f7d2fe1563734dfc9,55-56-1,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Clorhexidina
65bd5c5f7d2fe1563734dfca,105-39-5,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Cloroacetato de etilo
65bd5c5f7d2fe1563734dfcb,7439-97-6,Metales y sus Compuestos,3,No aparece en el listado,No aplica,No aplica,Mercurio
65bd5c5f7d2fe1563734dfcc,107-13-1,Otras sustancias RETC,2B,Industrial chemicals,acrylonitrile,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=107-13-1,Acrilonitrilo
65bd5c5f7d2fe1563734dfcd,PCDDs,Compuestos Orgánicos Persistentes (COP),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Dioxinas
65bd5c5f7d2fe1563734dfce,56-23-5,Sustancias Agotadoras de la Capa de Ozono,2B,Chlorinated solvent,carbon tetrachloride ,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=56-23-5,Tetracloruro de carbono
65bd5c5f7d2fe1563734dfcf,76-14-2,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Diclorotetrafluoroetano (CFC-114)
65bd5c5f7d2fe1563734dfd0,10049-04-4,Otras sustancias RETC,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Dioxido de cloro
65bd5c5f7d2fe1563734dfd1,207-08-9,,2B,No aparece en el listado,No aplica,No aplica,Benzo(k)fluoranteno
65bd5c5f7d2fe1563734dfd2,72-55-9,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Diclorodifenildicloroetileno (DDE)
65bd5c5f7d2fe1563734dfd3,108-95-2,Hidrocarburos Aromáticos y Alifáticos,3,No aparece en el listado,No aplica,No aplica,Fenol
65bd5c5f7d2fe1563734dfd4,75-25-2,Sustancias Organohalogenadas,3,No aparece en el listado,No aplica,No aplica,Bromoformo
65bd5c5f7d2fe1563734dfd5,75-45-6,Sustancias Agotadoras de la Capa de Ozono,3,No aparece en el listado,No aplica,No aplica,Clorodifluorometano (HCFC-22)
65bd5c5f7d2fe1563734dfd6,302-01-2,Otras sustancias RETC,2A,Industrial chemicals,hydrazine,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=302-01-2,Hidracina
65bd5c5f7d2fe1563734dfd7,110-80-5,Otras sustancias RETC,No aparece en el listado,No aparece en el listado,No aplica,No aplica,2-Etoxietanol (Termonoetilico de etilenglicol)
65bd5c5f7d2fe1563734dfd8,62-53-3,Hidrocarburos Aromáticos y Alifáticos,2A,No aparece en el listado,No aplica,No aplica,Anilina
65bd5c5f7d2fe1563734dfd9,As,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Arsénico (compuestos)
65bd5c5f7d2fe1563734dfda,56-55-3,,2B,No aparece en el listado,No aplica,No aplica,Benzo(a)antraceno
65bd5c5f7d2fe1563734dfdb,7758-98-7,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Sulfato de cobre
65bd5c5f7d2fe1563734dfdc,75-69-4,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Triclorofluoroetano (CFC-11)
65bd5c5f7d2fe1563734dfdd,1332-21-4,Otras sustancias RETC,1,No aparece en el listado,No aplica,No aplica,Asbesto
