_id,aire,anio,cas,cve_ent,estado,iarc,nombre,nra,sector,sustancia,unidad,actprincipal,calle,colonia,coordenadaUTMX,coordenadaUTMY,cp,cve_mun,cveamb,descscian,entrec1,entrec2,latitudnorte,localidad,longitudoeste,municipio,numexterior,numinterior,parqueind,scian,subsector,lat,lng,calculada,enmunicipio,flat,flng
65298bb6bb426186d9058545,0.000000037,2007,107-02-8,28,TAMAULIPAS,2A,PEMEX REFINACION TERMINAL DE ALMACENAMIENTO Y DISTRIBUCCION NUEVO LAREDO,PREM92802711,Petroleo y petroquimica,Acroleina,kg/año,ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES,Carretera a Piedras Negras Km 3.5,Ejido La Sandia,No disponible,No disponible,88000,27,M9,Transporte de petróleo crudo por ductos.,No disponible,No disponible,27.47471,Nuevo Laredo,-99.56726,Nuevo Laredo,3.5,No disponible,Ejido La Sandia,486110,Almacenamiento y distribucion de productos derivados del petroleo,27.47471,-99.56726,0,1,27.47471,-99.56726
65298bb6bb426186d9058546,0,2007,7440-38-2,28,TAMAULIPAS,1,PEMEX REFINACION TERMINAL DE ALMACENAMIENTO Y DISTRIBUCCION NUEVO LAREDO,PREM92802711,Petroleo y petroquimica,Arsénico,kg/año,ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES,Carretera a Piedras Negras Km 3.5,Ejido La Sandia,No disponible,No disponible,88000,27,M9,Transporte de petróleo crudo por ductos.,No disponible,No disponible,27.47471,Nuevo Laredo,-99.56726,Nuevo Laredo,3.5,No disponible,Ejido La Sandia,486110,Almacenamiento y distribucion de productos derivados del petroleo,27.47471,-99.56726,0,1,27.47471,-99.56726
65298bb6bb426186d9058547,0.000000037,2007,71-43-2,28,TAMAULIPAS,1,PEMEX REFINACION TERMINAL DE ALMACENAMIENTO Y DISTRIBUCCION NUEVO LAREDO,PREM92802711,Petroleo y petroquimica,Benceno,kg/año,ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES,Carretera a Piedras Negras Km 3.5,Ejido La Sandia,No disponible,No disponible,88000,27,M9,Transporte de petróleo crudo por ductos.,No disponible,No disponible,27.47471,Nuevo Laredo,-99.56726,Nuevo Laredo,3.5,No disponible,Ejido La Sandia,486110,Almacenamiento y distribucion de productos derivados del petroleo,27.47471,-99.56726,0,1,27.47471,-99.56726
65298bb6bb426186d9058549,0,2007,7440-43-9,28,TAMAULIPAS,1,PEMEX REFINACION TERMINAL DE ALMACENAMIENTO Y DISTRIBUCCION NUEVO LAREDO,PREM92802711,Petroleo y petroquimica,Cadmio,kg/año,ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES,Carretera a Piedras Negras Km 3.5,Ejido La Sandia,No disponible,No disponible,88000,27,M9,Transporte de petróleo crudo por ductos.,No disponible,No disponible,27.47471,Nuevo Laredo,-99.56726,Nuevo Laredo,3.5,No disponible,Ejido La Sandia,486110,Almacenamiento y distribucion de productos derivados del petroleo,27.47471,-99.56726,0,1,27.47471,-99.56726
65298bb6bb426186d905854c,0.000000015,2007,50-00-0,28,TAMAULIPAS,1,PEMEX REFINACION TERMINAL DE ALMACENAMIENTO Y DISTRIBUCCION NUEVO LAREDO,PREM92802711,Petroleo y petroquimica,Formaldehido,kg/año,ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES,Carretera a Piedras Negras Km 3.5,Ejido La Sandia,No disponible,No disponible,88000,27,M9,Transporte de petróleo crudo por ductos.,No disponible,No disponible,27.47471,Nuevo Laredo,-99.56726,Nuevo Laredo,3.5,No disponible,Ejido La Sandia,486110,Almacenamiento y distribucion de productos derivados del petroleo,27.47471,-99.56726,0,1,27.47471,-99.56726
65298bb6bb426186d9058750,0,2007,7440-38-2,28,TAMAULIPAS,1,RADIADORES DANIEL S.A. de C.V. Planta 1,RDA9M2802711,Automotriz,Arsénico,kg/año,FABRICACION DE PANALES Y RADIADORES PARA TODO TIPO DE AUTOMOVILES,CANDELA,JARDIN,No disponible,No disponible,88000,27,9M,Fabricación de otras partes para vehículos automotrices.,No disponible,No disponible,27.46442,Nuevo Laredo,-99.51155,Nuevo Laredo,3411,No disponible,No disponible,336390,Produccion de otras auto partes,27.46442,-99.51155,0,1,27.46442,-99.51155
65298bb6bb426186d9058752,0,2007,7440-43-9,28,TAMAULIPAS,1,RADIADORES DANIEL S.A. de C.V. Planta 1,RDA9M2802711,Automotriz,Cadmio,kg/año,FABRICACION DE PANALES Y RADIADORES PARA TODO TIPO DE AUTOMOVILES,CANDELA,JARDIN,No disponible,No disponible,88000,27,9M,Fabricación de otras partes para vehículos automotrices.,No disponible,No disponible,27.46442,Nuevo Laredo,-99.51155,Nuevo Laredo,3411,No disponible,No disponible,336390,Produccion de otras auto partes,27.46442,-99.51155,0,1,27.46442,-99.51155
65298bb6bb426186d9058758,0,2007,7440-38-2,28,TAMAULIPAS,1,RADIADORES DANIEL S.A de C.V. Planta 2,RDA9M2802712,Automotriz,Arsénico,kg/año,FABRICACION DE RADIADORES PARA USO AUTOMOTRIZ,Rio Grande,Mirador,No disponible,No disponible,88180,27,9M,Fabricación de otras partes para vehículos automotrices.,No disponible,No disponible,27.46963,Nuevo Laredo,-99.54246,Nuevo Laredo,24,No disponible,Parque Industrial Río Grande,336390,Produccion de otras auto partes,27.46963,-99.54246,0,1,27.46963,-99.54246
65298bb6bb426186d905875a,0,2007,7440-43-9,28,TAMAULIPAS,1,RADIADORES DANIEL S.A de C.V. Planta 2,RDA9M2802712,Automotriz,Cadmio,kg/año,FABRICACION DE RADIADORES PARA USO AUTOMOTRIZ,Rio Grande,Mirador,No disponible,No disponible,88180,27,9M,Fabricación de otras partes para vehículos automotrices.,No disponible,No disponible,27.46963,Nuevo Laredo,-99.54246,Nuevo Laredo,24,No disponible,Parque Industrial Río Grande,336390,Produccion de otras auto partes,27.46963,-99.54246,0,1,27.46963,-99.54246
65298bb7bb426186d9058a5c,0,2007,7440-38-2,28,TAMAULIPAS,1,Kongsberg Driveline Systems S. de R.L. de C.V.,TAM9M2802711,"Equipos y articulos electronicos, electricos y domesticos",Arsénico,kg/año,Ensamble de Cables Automotrices,Avenida Transformacion,INFONAVIT,No disponible,No disponible,88275,27,91,Construcción de obras de generación y conducción de energía eléctrica.,No disponible,No disponible,27.44411,Nuevo Laredo,-99.50356,Nuevo Laredo,512,No disponible,Parque Industrial FINSA,237131,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",27.44411,-99.50356,0,1,27.44411,-99.50356
65298bb7bb426186d9058a5e,0,2007,7440-43-9,28,TAMAULIPAS,1,Kongsberg Driveline Systems S. de R.L. de C.V.,TAM9M2802711,"Equipos y articulos electronicos, electricos y domesticos",Cadmio,kg/año,Ensamble de Cables Automotrices,Avenida Transformacion,INFONAVIT,No disponible,No disponible,88275,27,91,Construcción de obras de generación y conducción de energía eléctrica.,No disponible,No disponible,27.44411,Nuevo Laredo,-99.50356,Nuevo Laredo,512,No disponible,Parque Industrial FINSA,237131,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",27.44411,-99.50356,0,1,27.44411,-99.50356
65298bb7bb426186d9058a61,0.7500171,2007,50-00-0,28,TAMAULIPAS,1,Kongsberg Driveline Systems S. de R.L. de C.V.,TAM9M2802711,"Equipos y articulos electronicos, electricos y domesticos",Formaldehido,kg/año,Ensamble de Cables Automotrices,Avenida Transformacion,INFONAVIT,No disponible,No disponible,88275,27,91,Construcción de obras de generación y conducción de energía eléctrica.,No disponible,No disponible,27.44411,Nuevo Laredo,-99.50356,Nuevo Laredo,512,No disponible,Parque Industrial FINSA,237131,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",27.44411,-99.50356,0,1,27.44411,-99.50356
65298bb7bb426186d9058a65,0.00141,2007,26471-62-5,28,TAMAULIPAS,2B,Kongsberg Driveline Systems S. de R.L. de C.V.,TAM9M2802711,"Equipos y articulos electronicos, electricos y domesticos",Tolueno diisocianato,kg/año,Ensamble de Cables Automotrices,Avenida Transformacion,INFONAVIT,No disponible,No disponible,88275,27,91,Construcción de obras de generación y conducción de energía eléctrica.,No disponible,No disponible,27.44411,Nuevo Laredo,-99.50356,Nuevo Laredo,512,No disponible,Parque Industrial FINSA,237131,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",27.44411,-99.50356,0,1,27.44411,-99.50356
65298bb7bb426186d9058b9f,0,2007,7440-38-2,28,TAMAULIPAS,1,TIMMINCO DE MEXICO SA DE CV,TMEM12802711,Metalurgica (incluye la siderurgica),Arsénico,kg/año,OTROS TRATAMIENTOS.,Ave. Jesus Carranza,Campestre,0,0,88278,27,BU,Fabricación de otros productos metálicos.,No disponible,No disponible,27.45624,Nuevo Laredo,-99.50328,Nuevo Laredo,4602,No disponible,No disponible,332999,Produccion de articulos de metales no ferrosos,27.45624,-99.50328,0,1,27.45624,-99.50328
65298bb7bb426186d9058c40,0,2007,7440-38-2,28,TAMAULIPAS,1,UGIMAG S.A. de C.V.,UGI9I2802711,"Equipos y articulos electronicos, electricos y domesticos",Arsénico,kg/año,FABRICACION DE IMANES PARA MOTORES ELECTRICOS,GENERAL MANUEL AVILA CAMACHO,PARQUE IND. O. LONGORIA,446023,3040120,88170,27,8T,Fabricación de motores y generadores eléctricos.,No disponible,No disponible,"27°29'1""",NUEVO LAREDO,"0.99°32'47""",Nuevo Laredo,6,No disponible,PARQUE INDUSTRIAL O LONGORIA,335311,Produccion de motores electricos,27.4836111111111,-99.5463888888889,1,1,27.4836111111111,-99.5463888888889
65298bb7bb426186d9058c42,0,2007,7440-43-9,28,TAMAULIPAS,1,UGIMAG S.A. de C.V.,UGI9I2802711,"Equipos y articulos electronicos, electricos y domesticos",Cadmio,kg/año,FABRICACION DE IMANES PARA MOTORES ELECTRICOS,GENERAL MANUEL AVILA CAMACHO,PARQUE IND. O. LONGORIA,446023,3040120,88170,27,8T,Fabricación de motores y generadores eléctricos.,No disponible,No disponible,"27°29'1""",NUEVO LAREDO,"0.99°32'47""",Nuevo Laredo,6,No disponible,PARQUE INDUSTRIAL O LONGORIA,335311,Produccion de motores electricos,27.4836111111111,-99.5463888888889,1,1,27.4836111111111,-99.5463888888889
65298bb7bb426186d9058d44,0,2007,7440-38-2,28,TAMAULIPAS,1,WIEGAND S.A. DE C.V. PLANTA 1,WIE9C2802711,"Equipos y articulos electronicos, electricos y domesticos",Arsénico,kg/año,FABRICACION DE RESISTENCIAS DE CALOR PARA APARATOS DOMESTICOS,ARIZONA Y FLORIDA,MIRADOR,446374,3038826,88190,27,91,Fabricación de enseres electrodomésticos menores.,No disponible,No disponible,"27°28'19""",NUEVO LAREDO,"99°32'34""",Nuevo Laredo,SN,No disponible,PARQUE INDUSTRIAL RIO GRANDE,335210,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",27.4719444444444,-99.5427777777778,1,1,27.4719444444444,-99.5427777777778
65298bb7bb426186d9058d46,0,2007,7440-43-9,28,TAMAULIPAS,1,WIEGAND S.A. DE C.V. PLANTA 1,WIE9C2802711,"Equipos y articulos electronicos, electricos y domesticos",Cadmio,kg/año,FABRICACION DE RESISTENCIAS DE CALOR PARA APARATOS DOMESTICOS,ARIZONA Y FLORIDA,MIRADOR,446374,3038826,88190,27,91,Fabricación de enseres electrodomésticos menores.,No disponible,No disponible,"27°28'19""",NUEVO LAREDO,"99°32'34""",Nuevo Laredo,SN,No disponible,PARQUE INDUSTRIAL RIO GRANDE,335210,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",27.4719444444444,-99.5427777777778,1,1,27.4719444444444,-99.5427777777778
65298bb7bb426186d9058d4c,0,2007,7440-38-2,28,TAMAULIPAS,1,WIEGAND S.A. DE C.V. PLANTA 2,WIE9C2802712,"Equipos y articulos electronicos, electricos y domesticos",Arsénico,kg/año,FABRICACION DE RESISTENCIAS DE CALOR PARA APARATOS DOMESTICOS,ARIZONA Y CALIFORNIA,MIRADOR,446428,3038703,88190,27,91,Fabricación de enseres electrodomésticos menores.,No disponible,No disponible,"27°28'15""",NUEVO LAREDO,"0.99°32'32""",Nuevo Laredo,SN,No disponible,PARQUE INDUSTRIAL RIO GRANDE,335210,"Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",27.4708333333333,-99.5422222222222,1,1,27.4708333333333,-99.5422222222222
