_id	aire	anio	cas	cve_ent	estado	iarc	nombre	nra	sector	sustancia	unidad	actprincipal	calle	colonia	coordenadaUTMX	coordenadaUTMY	cp	cve_mun	cveamb	descscian	entrec1	entrec2	latitudnorte	localidad	longitudoeste	municipio	numexterior	numinterior	parqueind	scian	subsector	lat	lng	calculada	enmunicipio	flat	flng
65298bc1bb426186d90608fc	0.012	2004	75-09-2	8	CHIHUAHUA	2A	MONARCH LITHO DE MEXICO S.A. DE C.V.	MLM5F0803711	Otros	Cloruro de metileno	kg/año	Producción de Impresiones y demás actividades relacionadas con la industria editorial	HENRY DUNANT	No disponible	0	0	32320	37	No disponible	No disponible	AV. DEL CHARRO	AV. RAFAEL PEREZ SERNA	31.74474	JUAREZ	-106.43052	Juarez	6451	No disponible	PARQUE INDUSTRIAL OMEGA	No disponible	No disponible	31.74474	-106.43052	0	1	31.74474	-106.43052
65298bc1bb426186d9060e8b	0.002	2004	79-01-6	8	CHIHUAHUA	1	Raychem Juárez S.A de C.V	RJU950803711	Equipos y articulos electronicos, electricos y domesticos	Tricloroetileno	kg/año	Ensamble y fabricacion de todo tipo de productos electronicos	Santiago Troncoso	Lote Bravo	0	0	32599	37	No disponible	No disponible	Candelaria.	Ramon Rayon	31.62771	Juárez	-106.37077	Juarez	331	No disponible	Salvarcar	No disponible	No disponible	31.62771	-106.37077	0	1	31.62771	-106.37077
65298bc1bb426186d9061233	0.000845	2019	7439-92-1	8	CHIHUAHUA	2B	AEES MANUFACTURERA S DE RL DE CV,	AFM910803713	Equipos y articulos electronicos, electricos y domesticos	Plomo (polvos respirables, humos o vapores)	kg/año	Manufactura y Ensamble de Arneses y Componentes Electrónicos Automotrices	Calle FRESNEL	Colonia PARQUE IND. A.J. BERMUDEZ	367736.8191	3510750.2213	32470	37	91	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	No disponible	No disponible	"31°43'28"""	JUAREZ	"106°23'45"""	Juarez	7650	 	No disponible	336320	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	31.7244444444444	-106.395833333333	1	1	31.7244444444444	-106.395833333333
65298bc2bb426186d9061769	477.933646	2019	75-07-0	8	CHIHUAHUA	2B	CFE GENERACIÓN IV,CCC SAMALAYUCA II	CGI0803700879	Generación de energía eléctrica	Acetaldehido	kg/año	GENERACIÓN DE ENERGÍA ELÉCTRICA	Carretera PANAMERICANA KM 166 T. SUECO-CD. JUAREZ	Pueblo SAMALAYUCA	358751.6409	3466819.4258	32730	37	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"31°19'38"""	JUAREZ	"106°29'4"""	Juarez	S/N N/A	N/S N/A	No disponible	221110	Generacion y transmision de energia electrica	31.3272222222222	-106.484444444444	1	1	31.3272222222222	-106.484444444444
65298bc2bb426186d906176e	8490.092333	2019	50-00-0	8	CHIHUAHUA	1	CFE GENERACIÓN IV,CCC SAMALAYUCA II	CGI0803700879	Generación de energía eléctrica	Formaldehido	kg/año	GENERACIÓN DE ENERGÍA ELÉCTRICA	Carretera PANAMERICANA KM 166 T. SUECO-CD. JUAREZ	Pueblo SAMALAYUCA	358751.6409	3466819.4258	32730	37	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"31°19'38"""	JUAREZ	"106°29'4"""	Juarez	S/N N/A	N/S N/A	No disponible	221110	Generacion y transmision de energia electrica	31.3272222222222	-106.484444444444	1	1	31.3272222222222	-106.484444444444
65298bc2bb426186d906177d	190.29109027	2019	75-07-0	8	CHIHUAHUA	2B	CFE GENERACIÓN IV,CT SAMALAYUCA I	CGI0803700849	Generación de energía eléctrica	Acetaldehido	kg/año	GENERACION DE ENERGIA ELECTRICA	Carretera PANAMERICANA KM 166 T. SUECO-CD. JUAREZ	Pueblo SAMALAYUCA	366600.3127	3470345.6395	32730	37	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"31°21'35"""	JUAREZ	"106°24'9"""	Juarez	S/N N/A	N/S N/A	No disponible	221110	Generacion y transmision de energia electrica	31.3597222222222	-106.4025	1	1	31.3597222222222	-106.4025
65298bc2bb426186d906177f	3380.3624	2019	50-00-0	8	CHIHUAHUA	1	CFE GENERACIÓN IV,CT SAMALAYUCA I	CGI0803700849	Generación de energía eléctrica	Formaldehido	kg/año	GENERACION DE ENERGIA ELECTRICA	Carretera PANAMERICANA KM 166 T. SUECO-CD. JUAREZ	Pueblo SAMALAYUCA	366600.3127	3470345.6395	32730	37	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"31°21'35"""	JUAREZ	"106°24'9"""	Juarez	S/N N/A	N/S N/A	No disponible	221110	Generacion y transmision de energia electrica	31.3597222222222	-106.4025	1	1	31.3597222222222	-106.4025
65298bc2bb426186d9061a5b	67.671	2019	7439-92-1	8	CHIHUAHUA	2B	DELPHI DIESEL SYSTEMS S. DE R.L. DE C.V.,	DDS0803700789	Automotriz	Plomo (polvos respirables, humos o vapores)	kg/año	Manufactura y ensamble de sensores y solenoides para el sistema de control automotriz	Calle AVE. ANTONIO J. BERMUDEZ	No disponible	350541.699	3463251.3123	32470	37	9M	Fabricación de otras partes para vehículos automotrices	No disponible	No disponible	"31°17'38"""	JUAREZ	"106°34'13"""	Juarez	1230	 	ANTONIO J. BERMUDEZ	336390	Produccion de otras auto partes	31.2938888888889	-106.570277777778	1	1	31.2938888888889	-106.570277777778
65298bc2bb426186d9061b64	279.865445048	2019	75-07-0	8	CHIHUAHUA	2B	ENERGIA CHIHUAHUA SA DE CV,	ECIAD0803711	Generación de energía eléctrica	Acetaldehido	kg/año	Generación de Energía Eléctrica	Calle CARRET. PANAMERICANA	Colonia ND	359019.8635	3467506.3035	32370	37	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"31°20'0"""	JUAREZ	"106°28'54"""	Juarez	KM. 166 	 	No disponible	221110	Generacion y transmision de energia electrica	31.3333333333333	-106.481666666667	1	1	31.3333333333333	-106.481666666667
65298bc2bb426186d9061b66	4967.61165	2019	50-00-0	8	CHIHUAHUA	1	ENERGIA CHIHUAHUA SA DE CV,	ECIAD0803711	Generación de energía eléctrica	Formaldehido	kg/año	Generación de Energía Eléctrica	Calle CARRET. PANAMERICANA	Colonia ND	359019.8635	3467506.3035	32370	37	AD	Generación, transmisión y distribución de energía eléctrica	No disponible	No disponible	"31°20'0"""	JUAREZ	"106°28'54"""	Juarez	KM. 166 	 	No disponible	221110	Generacion y transmision de energia electrica	31.3333333333333	-106.481666666667	1	1	31.3333333333333	-106.481666666667
