_id,actprincipal,aire,anio,calculada,calle,cas,colonia,coordenadaUTMX,coordenadaUTMY,cp,cve_ent,cve_mun,cveamb,descscian,enmunicipio,entrec1,entrec2,estado,flat,flng,iarc,lat,latitudnorte,lng,localidad,longitudoeste,municipio,nombre,nra,numexterior,numinterior,parqueind,scian,sector,subsector,sustancia,unidad
65298ba1bb426186d904a255,FABRICACIÓN DE TODO TIPO DE ENVASES DE VIDRIO,2.059187995,2018,1,Carretera  A SAN FELIPE KM.9,7440-02-0,Colonia COLORADO I,649542.7595,3600027.9429,21740,2,2,6Z,Fabricación de envases y ampolletas de vidrio,1,No disponible,No disponible,BAJA CALIFORNIA,32.5275,-115.4075,2B,32.5275,"32°31'39""",-115.4075,MEXICALI,"115°24'27""",Mexicali,"FEVISA INDUSTRIAL, S.A. DE C.V.,FEVISA",FIN6Z0200211,S/N , ,No disponible,327213,Vidrio,"Produccion de botellas, envases y similares de vidrio","Níquel (polvos respirables, humos o vapores)",kg/año
65298ba2bb426186d904a525,GENERACION DE ENERGIA ELECTRICA,226.28,2018,1,Carretera tijuana-ensenada,75-07-0,No disponible,515372.9336,3540705.8594,22760,2,1,AD,"Generación, transmisión y distribución de energía eléctrica",1,No disponible,No disponible,BAJA CALIFORNIA,32.0022222222222,-116.837222222222,2B,32.0022222222222,"32°0'8""",-116.837222222222,EL SAUZAL DE RODRIGUEZ,"116°50'14""",Ensenada,"IBERDROLA ENERGIA BAJA CALIFORNIA SA DE CV,CC BAJA CALIFORNIA III",IEB0200100521,km 80 , ,COSTA AZUL,221110,Generación de energía eléctrica,Generacion y transmision de energia electrica,Acetaldehido,kg/año
65298ba2bb426186d904a526,GENERACION DE ENERGIA ELECTRICA,1.109,2018,1,Carretera tijuana-ensenada,7440-38-2,No disponible,515372.9336,3540705.8594,22760,2,1,AD,"Generación, transmisión y distribución de energía eléctrica",1,No disponible,No disponible,BAJA CALIFORNIA,32.0022222222222,-116.837222222222,1,32.0022222222222,"32°0'8""",-116.837222222222,EL SAUZAL DE RODRIGUEZ,"116°50'14""",Ensenada,"IBERDROLA ENERGIA BAJA CALIFORNIA SA DE CV,CC BAJA CALIFORNIA III",IEB0200100521,km 80 , ,COSTA AZUL,221110,Generación de energía eléctrica,Generacion y transmision de energia electrica,Arsénico,kg/año
65298ba2bb426186d904a529,GENERACION DE ENERGIA ELECTRICA,6.1,2018,1,Carretera tijuana-ensenada,7440-43-9,No disponible,515372.9336,3540705.8594,22760,2,1,AD,"Generación, transmisión y distribución de energía eléctrica",1,No disponible,No disponible,BAJA CALIFORNIA,32.0022222222222,-116.837222222222,1,32.0022222222222,"32°0'8""",-116.837222222222,EL SAUZAL DE RODRIGUEZ,"116°50'14""",Ensenada,"IBERDROLA ENERGIA BAJA CALIFORNIA SA DE CV,CC BAJA CALIFORNIA III",IEB0200100521,km 80 , ,COSTA AZUL,221110,Generación de energía eléctrica,Generacion y transmision de energia electrica,Cadmio,kg/año
65298ba2bb426186d904a52e,GENERACION DE ENERGIA ELECTRICA,4016.58,2018,1,Carretera tijuana-ensenada,50-00-0,No disponible,515372.9336,3540705.8594,22760,2,1,AD,"Generación, transmisión y distribución de energía eléctrica",1,No disponible,No disponible,BAJA CALIFORNIA,32.0022222222222,-116.837222222222,1,32.0022222222222,"32°0'8""",-116.837222222222,EL SAUZAL DE RODRIGUEZ,"116°50'14""",Ensenada,"IBERDROLA ENERGIA BAJA CALIFORNIA SA DE CV,CC BAJA CALIFORNIA III",IEB0200100521,km 80 , ,COSTA AZUL,221110,Generación de energía eléctrica,Generacion y transmision de energia electrica,Formaldehido,kg/año
65298ba2bb426186d904a532,GENERACION DE ENERGIA ELECTRICA,11.649,2018,1,Carretera tijuana-ensenada,7440-02-0,No disponible,515372.9336,3540705.8594,22760,2,1,AD,"Generación, transmisión y distribución de energía eléctrica",1,No disponible,No disponible,BAJA CALIFORNIA,32.0022222222222,-116.837222222222,2B,32.0022222222222,"32°0'8""",-116.837222222222,EL SAUZAL DE RODRIGUEZ,"116°50'14""",Ensenada,"IBERDROLA ENERGIA BAJA CALIFORNIA SA DE CV,CC BAJA CALIFORNIA III",IEB0200100521,km 80 , ,COSTA AZUL,221110,Generación de energía eléctrica,Generacion y transmision de energia electrica,"Níquel (polvos respirables, humos o vapores)",kg/año
65298ba2bb426186d904a534,GENERACION DE ENERGIA ELECTRICA,2.77,2018,1,Carretera tijuana-ensenada,7439-92-1,No disponible,515372.9336,3540705.8594,22760,2,1,AD,"Generación, transmisión y distribución de energía eléctrica",1,No disponible,No disponible,BAJA CALIFORNIA,32.0022222222222,-116.837222222222,2B,32.0022222222222,"32°0'8""",-116.837222222222,EL SAUZAL DE RODRIGUEZ,"116°50'14""",Ensenada,"IBERDROLA ENERGIA BAJA CALIFORNIA SA DE CV,CC BAJA CALIFORNIA III",IEB0200100521,km 80 , ,COSTA AZUL,221110,Generación de energía eléctrica,Generacion y transmision de energia electrica,"Plomo (polvos respirables, humos o vapores)",kg/año
65298ba2bb426186d904a566,ENSAMBLE DE PRODUCTOS MEDICOS,734.2,2018,1,Calle AVE. CUARZO,75-09-2,Colonia MANEADERO RANCHO SANTA CLARA,537692.8553,3511961.7715,22790,2,1,1C,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio",1,No disponible,No disponible,BAJA CALIFORNIA,31.7422222222222,-116.601944444444,2A,31.7422222222222,"31°44'32""",-116.601944444444,ENSENADA,"116°36'7""",Ensenada,"ICU MEDICAL DE MEXICO S. DE R.L. DE C.V.,",IMM1C0200111,250, ,No disponible,339111,Articulos y productos compuestos de diferentes materiales,"Produccion de equipos y/o articulos, medicos y/o quirurgicos",Cloruro de metileno,kg/año
65298ba2bb426186d904a567,ENSAMBLE DE PRODUCTOS MEDICOS,7905.65,2018,1,Calle AVE. CUARZO,107-06-2,Colonia MANEADERO RANCHO SANTA CLARA,537692.8553,3511961.7715,22790,2,1,1C,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio",1,No disponible,No disponible,BAJA CALIFORNIA,31.7422222222222,-116.601944444444,2B,31.7422222222222,"31°44'32""",-116.601944444444,ENSENADA,"116°36'7""",Ensenada,"ICU MEDICAL DE MEXICO S. DE R.L. DE C.V.,",IMM1C0200111,250, ,No disponible,339111,Articulos y productos compuestos de diferentes materiales,"Produccion de equipos y/o articulos, medicos y/o quirurgicos","1,2,-Dicloroetano",kg/año
65298ba2bb426186d904a735,FABRICACION DE ARTICULOS Y PRODUCTOS METALICOS,179.93,2018,1,Calle BLVD. PACIFICO,79-01-6,Colonia P. IND. PACIFICO II,501974.7695,3590600.8802,22644,2,4,7X,Fabricación de otros productos metálicos,1,No disponible,No disponible,BAJA CALIFORNIA,32.4525,-116.978888888889,1,32.4525,"32°27'9""",-116.978888888889,TIJUANA,"116°58'44""",Tijuana,"IWAI METAL MEXICO SA DE CV,",IMM7X0200421,9871, ,No disponible,332999,Articulos y productos metalicos,Fabricacion de articulos y productos metalicos,Tricloroetileno,kg/año
65298ba2bb426186d904a743,FABRICACION Y MANUFACTURA DE PUERTAS Y VENTANAS DE FIBRA DE VIDRIO Y MADERA,17734.29,2018,1,Calle PRIVADA COLINAS,100-42-5,No disponible,511067.189,3590782.799,22244,2,4,4T,Fabricación de productos de madera para la construcción,1,No disponible,No disponible,BAJA CALIFORNIA,32.4538888888889,-116.882222222222,2A,32.4538888888889,"32°27'14""",-116.882222222222,TIJUANA,"116°52'56""",Tijuana,"JELD WEN DE MEXICO S.A. DE C.V.,",JWM6Y0200411,11552, ,EL FLORIDO,321910,Madera y Productos,Fabricacion de productos y articulos de madera,Estireno (fenil etileno),kg/año
65298ba2bb426186d904ab8d,AFINACION Y REFINACION DE OTROS METALES NO FERROSOS ,1399.67,2018,1,Calle Dos Oriente,7439-92-1,Colonia Ciudad Industrial Nueva Tijuana,507707.4047,3599282.6398,22444,2,4,LX,Fundición y refinación de otros metales no ferrosos,1,No disponible,No disponible,BAJA CALIFORNIA,32.5308333333333,-116.917777777778,2B,32.5308333333333,"32°31'51""",-116.917777777778,TIJUANA,"116°55'4""",Tijuana,"OXIDOS Y PIGMENTOS MEXICANOS, S.A. DE C.V.,",OPM7L0200421,137, ,No disponible,331419,Tratamiento de residuos peligrosos,Tratamiento termico de residuos peligrosos,"Plomo (polvos respirables, humos o vapores)",kg/año
65298ba2bb426186d904aedb,Galvanoplastia en piezas metalicas,4308,2018,1,Boulevard BLVD INSURGENTES,79-01-6,No disponible,508422.734,3591728.3803,22225,2,4,8A,Recubrimientos y terminados metálicos,1,No disponible,No disponible,BAJA CALIFORNIA,32.4625,-116.910277777778,1,32.4625,"32°27'45""",-116.910277777778,TIJUANA,"116°54'37""",Tijuana,"PLATINADORA BAJA SA DE CV,",PBA8A0200411,19814,5,Baja Maq Tijuana,332810,Quimica,Galvanoplastia,Tricloroetileno,kg/año
65298ba2bb426186d904af1e,Manufactura y ensamble de baterias,19.7,2018,1,Calle BLVD. PACIFICO,7439-92-1,No disponible,501251.9073,3592281.2138,22643,2,4,8Z,Fabricación de acumuladores y pilas,1,No disponible,No disponible,BAJA CALIFORNIA,32.4675,-116.986666666667,2B,32.4675,"32°28'3""",-116.986666666667,TIJUANA,"116°59'12""",Tijuana,"POWER SONIC, S. DE R.L. DE C.V.,",PSO8Z0200411,14553, ,PARQUE INDUSTRIAL PACIFICO,335910,Metalurgica (incluye la siderurgica),Produccion de acumuladores y pilas electricas,"Plomo (polvos respirables, humos o vapores)",kg/año
