nra,anio,cantidad_reportes
ABA621000711,2020,1
ABA621000711,2021,1
ABA621000711,2022,1
ABA6E1505111,2011,1
ABA6E1505111,2012,1
ABA6E1505111,2013,1
ABC0200402352,2022,1
ABC8A0200411,2008,1
ABC8A0200411,2009,1
ABC8A0200411,2011,1
ABC8A0200411,2012,1
ABC8A0200411,2013,1
ABC8A0200411,2014,1
ABC8A0200411,2015,1
ABC8A0200411,2017,1
ABC8A0200411,2018,1
ABC8A0200411,2019,1
ABC8A0200411,2020,1
ABC8A0200411,2021,1
ABCEA0200411,2004,1
ABCHM0900411,2013,1
ABCHM0900411,2014,1
ABCHM0900411,2015,1
ABCHM0900411,2016,1
ABCHM0900411,2017,1
ABCHM0900411,2018,1
ABCHM0900411,2019,1
ABCHM0900411,2020,1
ABCHM0900411,2021,1
ABCHM0900411,2022,1
ABCHM0901021,2013,1
ABCHM0901021,2014,1
ABCHM0901021,2015,1
ABCHM0901021,2016,1
ABCHM0901021,2017,1
ABCHM0901021,2018,1
ABCHM0901021,2019,1
ABCHM0901021,2020,1
ABCHM0901021,2021,1
ABCHM0901021,2022,1
ABE1Z0801911,2021,1
ABE1Z0801911,2022,1
ABE5Q1507011,2008,1
ABE5Q1507011,2010,1
ABE5Q1507011,2011,1
ABE5Q1507011,2012,1
ABE5Q1507011,2013,1
ABFLJ1508111,2009,1
ABFLJ1508111,2011,1
ABFLJ1508111,2012,1
ABFLJ1508111,2013,1
ABI5J1100511,2013,1
ABI5J1100511,2014,1
ABI5J1100511,2015,1
ABI5J1100511,2017,1
ABI5J1100511,2018,1
ABI5J1100511,2019,1
ABI5J1100511,2020,1
ABI5J1100511,2021,1
ABI5J1100511,2022,1
ABI861900611,2012,1
ABI861900611,2013,1
ABI861900611,2014,1
ABI861900611,2017,1
ABI861900611,2018,1
ABI861900611,2019,1
ABI861900611,2020,1
ABI861900611,2021,1
ABL1902600106,2017,1
ABL1902600106,2018,1
ABL1902600106,2019,1
ABL1902600106,2020,1
ABL1902600106,2022,1
ABL911904611,2006,1
ABL911904611,2007,1
ABL911904611,2008,1
ABL911904611,2011,1
ABL911904611,2013,1
ABL911904611,2022,1
ABL921902611,2007,1
ABL921902611,2010,1
ABL921902611,2011,1
ABL921902611,2012,1
ABL921902611,2013,1
ABL921902611,2022,1
ABM6M1503311,2005,1
ABM7U2402811,2021,1
ABP1Z2601811,2005,1
ABPMC1000711,2004,1
ABPMC1000711,2005,1
ABPMC1000711,2006,1
ABPMC1000711,2007,1
ABPMC1000711,2008,1
ABPMC1000711,2009,1
ABPMC1000711,2010,1
ABPMC1000711,2011,1
ABPMC1000711,2012,1
ABPMC1000711,2013,1
ABPMC1000711,2014,1
ABPMC1000711,2015,1
ABPMC1000711,2016,1
ABPMC1000711,2017,1
ABPMC1000711,2018,1
ABPMC1000711,2019,1
ABPMC1000711,2020,1
ABPMC1000711,2021,1
ABPMC1000711,2022,1
ABR910803711,2007,1
ABR910803711,2008,1
ABRLJ1505111,2010,1
ABRLJ1505111,2011,1
ABS7T0503011,2010,1
ABS7T0503011,2011,1
ABS7T0503011,2012,1
ABS7T0503011,2014,1
ABS7T0503011,2015,1
ABS7T0503011,2016,1
ABS7T0503011,2017,1
ABS7T0503011,2018,1
ABS7T0503011,2019,1
ABS7T0503011,2020,1
ACA0900200355,2018,1
ACA0900200355,2019,1
ACA0900200355,2020,1
ACA2300500033,2013,1
ACA2300500033,2015,1
ACA2300500033,2016,1
ACA2300500033,2017,1
ACA2300500033,2018,1
ACA2300500033,2019,1
ACA2300500033,2021,1
ACA2300500033,2022,1
ACA2300800026,2013,1
ACA2300800026,2015,1
ACA2300800026,2017,1
ACA3002800384,2022,1
ACA3105000082,2013,1
ACA3105000082,2014,1
ACA3105000082,2015,1
ACA3105000082,2016,1
ACA3105000082,2018,1
ACA3105000082,2019,1
