_id,latitudnorte,longitudoeste
65bec4d6675c397043f14e7e,"19°16'36.02""","99°28'39.08"""
65bec4d6675c397043f14e7f,"28°41'45""","100°31'28"""
65bec4d6675c397043f14e80,19.35993,-99.09703
65bec4d6675c397043f14e81,"25°21'50""","101°1'18"""
65bec4d6675c397043f14e82,"19°23'48""","102°2'20"""
65bec4d6675c397043f14e83,19.50792,-99.14849
65bec4d6675c397043f14e84,20.63528,-100.43724
65bec4d6675c397043f14e85,"20°21'10""","102°47'42"""
65bec4d6675c397043f14e86,20.63451,-100.4386
65bec4d6675c397043f14e87,19.5031,-99.2538
65bec4d6675c397043f14e88,19.46595,-99.21812
65bec4d6675c397043f14e89,"19°16' 23""","98°25'03"""
65bec4d6675c397043f14e8a,"19°40'56.54""","98°59'36.66"""
65bec4d6675c397043f14e8b,31.68238,-106.4428
65bec4d6675c397043f14e8c,"19°33'11""","-96°54'32"""
65bec4d6675c397043f14e8d,"28°39'1""","-106°1'23"""
65bec4d6675c397043f14e8e,"19°42'18""","-101°11'53"""
65bec4d6675c397043f14e8f,"19°34'0""","99°9'0"""
65bec4d6675c397043f14e90,"31°42'0""","106°33'0"""
65bec4d6675c397043f14e91,"19°30'56""","0.99°5'13"""
65bec4d6675c397043f14e92,25.58617,-103.39341
65bec4d6675c397043f14e93,26.05137,-98.37205
65bec4d6675c397043f14e94,"18°40'0""","98°27'0"""
65bec4d6675c397043f14e95,20.64449,-103.34538
65bec4d6675c397043f14e96,"18°55'20""","99°10'15"""
65bec4d6675c397043f14e97,19.64366,-99.15517
65bec4d6675c397043f14e98,"32°11'0""","116°33'0"""
65bec4d6675c397043f14e99,26.01808,-98.20077
65bec4d6675c397043f14e9a,32.53181,-116.90492
65bec4d6675c397043f14e9b,"19°46'38""","0.18°33'56"""
65bec4d6675c397043f14e9c,"26°3'0""","98°22'3"""
65bec4d6675c397043f14e9d,19.44696,-99.18344
65bec4d6675c397043f14e9e,"18°56'18""","99°11'14"""
65bec4d6675c397043f14e9f,25.84005,-97.43255
65bec4d6675c397043f14ea0,25.8395,-97.4385
65bec4d6675c397043f14ea1,"25°50'19""","0.97°25'54"""
65bec4d6675c397043f14ea2,"16°19'18""","93°21'34"""
65bec4d6675c397043f14ea3,"16°17'0""","93°17'10"""
65bec4d6675c397043f14ea4,"19°6'26""","0.98°18'39"""
65bec4d6675c397043f14ea5,"19°23'32""","98°10'28"""
65bec4d6675c397043f14ea6,20.71297,-103.31313
65bec4d6675c397043f14ea7,19.29432,-99.52661
65bec4d6675c397043f14ea8,19.25388,-99.1108
65bec4d6675c397043f14ea9,"19°28'10""","99°14'8"""
65bec4d6675c397043f14eaa,"0°0'0""","0°0'0"""
65bec4d6675c397043f14eab,"18°53'26""","99°8'44"""
65bec4d6675c397043f14eac,"27°26'49""","-99°30'3"""
65bec4d6675c397043f14ead,31.63128,-106.37229
65bec4d6675c397043f14eae,26.03075,-98.37259
65bec4d6675c397043f14eaf,"22°28'13""","97°53'20"""
65bec4d6675c397043f14eb0,"19°19'42.93""","99°36'11.74"""
65bec4d6675c397043f14eb1,"19°54'37.21""","99°11'47.65"""
65bec4d6675c397043f14eb2,"19°21'33""","0.99°35'30"""
65bec4d6675c397043f14eb3,27.42303,-99.5308
65bec4d6675c397043f14eb4,26.04482,-98.36406
65bec4d6675c397043f14eb5,27.47356,-99.54203
65bec4d6675c397043f14eb6,"19°26'19""","-99°12'2"""
65bec4d6675c397043f14eb7,"-99°3'14""","19°32'15"""
65bec4d6675c397043f14eb8,"25°51'39""","97°28'20"""
65bec4d6675c397043f14eb9,"20°37'44""","-100°23'49"""
65bec4d6675c397043f14eba,"22°28'15""","97°53'15"""
65bec4d6675c397043f14ebb,19.47205,-99.22643
65bec4d6675c397043f14ebc,"19°18'40""","99°08'22"""
65bec4d6675c397043f14ebd,19.36082,-99.19019
65bec4d6675c397043f14ebe,"20°31'6""","103°15'2"""
65bec4d6675c397043f14ebf,"25°42'9.99""","100°18'13.86"""
65bec4d6675c397043f14ec0,19.33662,-99.16035
65bec4d6675c397043f14ec1,"19°29'0""","99°7'0"""
65bec4d6675c397043f14ec2,"19°40'27""","-101°13'44"""
65bec4d6675c397043f14ec3,"19°6'45""","-98°15'37"""
65bec4d6675c397043f14ec4,"19°46'40""","99°23'0"""
65bec4d6675c397043f14ec5,"20°32'0""","100°41'0"""
65bec4d6675c397043f14ec6,"26°18'12""","-98°49'34"""
65bec4d6675c397043f14ec7,"25°41'7""","-100°28'31"""
65bec4d6675c397043f14ec8,19.55116,-99.20296
65bec4d6675c397043f14ec9,22.05015,-100.86391
65bec4d6675c397043f14eca,"25°50'35""","97°26'12"""
65bec4d6675c397043f14ecb,"18°52'0""","98°52'0"""
65bec4d6675c397043f14ecc,20.36894,-99.9672
65bec4d6675c397043f14ecd,"25°24'1""","100°56'19"""
