actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA).	Atributo no considerado en este año	2010	CALLE 10A	8A	44440.0	FERROCARRIL	Recubrimientos y terminados metálicos.	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA	JALISCO	"20°38'27"""	GDL	"103°20'55"""	Guadalajara	AAG8A1403911	2083			332810	Quimica	Galvanoplastia		
FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS.	Atributo no considerado en este año	2010	AVENIDA GUADALUPE	ND	20900.0	MARAVILLAS	Moldeo por fundición de piezas metálicas no ferrosas.	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AGUASCALIENTES	"21°57'49"""	MARAVILLAS	"102°19'37"""	Jesus Maria	AAGND0100511	224			331520	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de metales no ferrosos		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2010	VIA MORELOS	7Q	55400.0	SANTA MARIA TULPETLAC	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	"19°2'40"""	TULPETLAC	"99°33'50"""	Ecatepec de Morelos	AAL7Q1503321	347		TULPETLAC	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2010	VIA GUSTAVO BAZ	7Q	54100.0	SAN PEDRO BARRIENTOS	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V. PLANTA BARRIENTOS	MEXICO	"19°34'58"""	TLALNEPANTLA	"99°12'0"""	Tlalnepantla de Baz	AAL7Q1510411	4874		BARRIENTOS	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2010	AVENIDA DOS	7Q	54900.0	PARQEU INDUSTRIAL CARTAGENA	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO, S.A. DE C.V.	MEXICO	"19°38'42"""	TULTITLAN	"99°9'10"""	Tultitlan	AAL7Q1510911	4		PARQUE INDUSTRIAL CARTAGENA	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN).	Atributo no considerado en este año	2010	COMERCIANTES	9M	36100.0	PARQUE IND. FIPASI	Fabricación de otras partes para vehículos automotrices.	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	GUANAJUATO	"20°53'41"""	SILAO	"101°23'110"""	Silao	AAM9M1103711	1300		PARQUE INDUSTRIAL FIPASI	336390	Automotriz	Produccion de otras auto partes		
FABRICACION DE ACEROS ESPECIALES	Atributo no considerado en este año	2010	ELECTRIFICACION	7F	50070.0	INDEPENDENCIA	Complejos siderúrgicos.	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS ANGLO S.A .DE C.V.	MEXICO	"19°19'23"""		"99°6'0"""	Toluca	AAN7L1510611	103		ZONA INDUSTRIAL	331111	Metalurgica (incluye la siderurgica)	Laminacion primaria de hierro y acero		
FABRICACIÓN DE ACUMULADORES AUTOMOTRICES Y  SERVICIO ELECTRICO	Atributo no considerado en este año	2010	VIA MORELOS	8Z	55310.0	XALOSTOC	Fabricación de acumuladores y pilas.	Atributo no considerado en este año	Atributo no considerado en este año	ACUMULADORES ANAHUAC S.A DE C.V.	MEXICO	"19°31'25"""	MÉXICO	"99°5'16"""	Ecatepec de Morelos	AAN8Z1503311	45		ZONA INDRUSTIAL XALOSTOC	335910	Metalurgica (incluye la siderurgica)	Produccion de acumuladores y pilas electricas		
VENTA DE VEHICULOS NUEVOS Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ	Atributo no considerado en este año	2010	AV. GOMEZ MORIN	KE	62220.0	VILLA DE ARAGON	Reparación mecánica en general de automóviles y camiones.	Atributo no considerado en este año	Atributo no considerado en este año	ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.	NUEVO LEON	"25°38'52"""	MONTERREY	"100°21'32"""	Monterrey	AARKE1901911	402			811111	Otros	Reparacion y mantenimiento automotriz		
FABRICACION DE FERTILIZANTES	Atributo no considerado en este año	2010	ISLA DE ENMEDIO	5N	60950.0		Fabricación de fertilizantes.	Atributo no considerado en este año	Atributo no considerado en este año	Agroindustrias del Balsas, S.A. de C.V.	MICHOACAN	"17°55'0"""	LAZARO CARDENAS	"102°12'0"""	Lazaro Cardenas	ABA5N1605311	SN		RECINTO PORTUARIO	325310	Quimica	Produccion de fertilizantes quimicos		
PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES).	Atributo no considerado en este año	2010	DOMICILIO CONOCIDO	62	35100.0		Fabricación de explosivos.	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS, S.A. DE C.V.	DURANGO	"25°43'32"""	DINAMITA	"103°38'17"""	Gomez Palacio	ABA621000711	SN		AREA RURAL	325920	Quimica	Produccion de explosivos		
PRODUCCIÓN DE RESINAS SINTÉTICAS (INCLUYE PLASTIFICANTES).	Atributo no considerado en este año	2010	FERROCARRIL MÉXICO-ACAPULCO -RIO FRIO-	5Q	56500.0	LA MAGDALENA ATLICPAC	Fabricación de resinas sintéticas.	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS BETA, S.A.	MEXICO	"19°21'58"""	LOS REYES LA PAZ	"98°57'52"""	La Paz	ABE5Q1507011	350			325211	Quimica	Produccion de resinas sinteticas		
FABRICACIÓN Y ENSAMBLE DE LUMINARIOS FLUORESCENTES Y HID	Atributo no considerado en este año	2010	AVE. LA SILLA	92	67190.0	SANTA MARÍA	Fabricación de focos.	Atributo no considerado en este año	Atributo no considerado en este año	ACUITY BRANDS LIGHTING DE MEXICO, S. DE R.L. DE C.V.	NUEVO LEON	"25°39'12"""	GUADALUPE	"100°10'39"""	Guadalupe	ABL921902611	7711		LA SILLA	335110	Equipos y articulos electronicos, electricos y domesticos	Produccion de focos y tubos de iluminacion		
PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI	Atributo no considerado en este año	2010	BLVD. MIGUEL ALEMAN	MC	35000.0	CENTRO	Elaboración de aceites y grasas vegetales comestibles.	Atributo no considerado en este año	Atributo no considerado en este año	ADM BIO PRODUCTOS S.A. DE C.V.	DURANGO	"25°33'1"""	GOMEZ PALACIO	"103°29'0"""	Gomez Palacio	ABPMC1000711	KM. 11.40			311222	Quimica	Fabricacion de aceites y grasas alimenticias		
FABRICACION DE ARTICULOS DE METAL	Atributo no considerado en este año	2010	ALFREDO DEL MAZO	LJ	52000.0	PARQUE INDUSTRIAL EL CERRILLO	Moldeo por fundición de piezas metálicas no ferrosas.	Atributo no considerado en este año	Atributo no considerado en este año	ARTE EN BRONCE, S.A. DE C.V.	MEXICO	"19°17'51"""	LERMA	"261°32'10"""	Lerma	ABRLJ1505111	15	C	PARQUE INDUSTRIAL EL CERRILLO	331520	Metalurgica (incluye la siderurgica)	Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos		
Fundicion de Aluminio	Atributo no considerado en este año	2010	Calle Primera	7Q	25100.0	Nazario Ortiz Garza	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	Aluminio y Bronces de Saltillo, S.A. de C.V.	COAHUILA	"25°27'57"""	Saltillo	"100°59'52"""	Saltillo	ABS7T0503011	1000			331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA).	Atributo no considerado en este año	2010	Km17.5 CARRETERA TLALNEPANTLA CUAUTITLAN	8A	54879.0	EL PILAR	Recubrimientos y terminados metálicos.	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS CAMESA S.A. DE C.V.	MEXICO	"19°31'26"""	CUATITLAN	"99°9'1"""	Cuautitlan	ACA8A1502411	SIN NUMERO		ZONA INDUSTRIAL CUAUTITLAN	332810	Quimica	Galvanoplastia		
VENTA DE AUTOS NUEVOS Y SEMINUEVOS SERVICIO DE MANTENIMIENTO Y VENTA DE REFACCIONES	Atributo no considerado en este año	2010	AV. ALFONSO REYES	KE	64500.0	DEL NORTE	Reparación mecánica en general de automóviles y camiones.	Atributo no considerado en este año	Atributo no considerado en este año	AUTOMOVILES Y CAMIONES S.A. DE C.V.	NUEVO LEON	"25°42'33"""		"100°18'43"""	Monterrey	ACAKE1903911	3635			811111	Otros	Reparacion y mantenimiento automotriz		
COMPRA VENTA DE AUTOMOVILES NUEVOS, REFACCIONES Y SERVICIOS DE TALLER	Atributo no considerado en este año	2010	SUPERMANZANA 310 BLVD L.D.C.  S/N	KE	77500.0		Reparación mecánica en general de automóviles y camiones.	Atributo no considerado en este año	Atributo no considerado en este año	AUTOMOTORES DE CANCUN, S.A DE C.V.    MATRIZ COLOSIO	QUINTANA ROO	"21°7'38"""	CANCUN	"86°49'54"""	Benito Juarez	ACAKE2300531	5		CARRETERA CANCUN - TULUM	811111	Otros	Reparacion y mantenimiento automotriz		
COMPRA VENTA DE AUTOS NUEVOS, REFACCIONES Y SERVICIOS DE TALLER	Atributo no considerado en este año	2010	CARRETERA FEDERAL TULUM- CANCUN	KE	77710.0	ZAZIL HA	Reparación mecánica en general de automóviles y camiones.	Atributo no considerado en este año	Atributo no considerado en este año	AUTOMOTORES DE CANCUN, S.A. DE C.V.   PLAYA DEL CARMEN	QUINTANA ROO	"20°37'9"""	PLAYA DEL CARMEN	"87°4'1"""	Solidaridad	ACAKE2300811	104	1		811111	Otros	Reparacion y mantenimiento automotriz		
ADMINISTRACIÓN DE AEROPUERTOS	Atributo no considerado en este año	2010	CARRETERA CANCÚN - CHETUMAL KM.22	L7	77565.0		Administración de aeropuertos y helipuertos.	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE CANCÚN, S.A. DE C.V.	QUINTANA ROO	"21°2'12"""	CANCÚN	"86°52'37"""	Benito Juarez	ACARP2300511			AEROPUERTO	488112	Otros	Servicios de administracion de aeropuertos y helipuertos		
PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN).	Atributo no considerado en este año	2010	ISHIKAWA	9M	31170.0	JUAN GUERECA	Fabricación de otras partes para vehículos automotrices.	Atributo no considerado en este año	Atributo no considerado en este año	AUTO CONECTORES DE CHIHUAHUA ELCOM S DE R. L DE  C. V	CHIHUAHUA	"28°3'16"""	CHIHUAHUA	"105°41'27"""	Chihuahua	ACC9M0801911	1400		PARQUE INDUSTRIAL SUPRA	336390	Automotriz	Produccion de otras auto partes		
Inyección de Plástico para moldeo	Atributo no considerado en este año	2010	Boulevard Fusión esq. Ave. Mercury	6E	83297.0	Parque Industrial	Fabricación de otros productos de plástico sin reforzamiento.	Atributo no considerado en este año	Atributo no considerado en este año	Alambrados y Circuitos Eléctricos S.A. de C.V.	SONORA	"28°59'27"""	Hermosillo	"110°54'16"""	Hermosillo	ACE6E2603011	120		Parque Industrial Dynatech Sur	326199	Articulos y productos plasticos	Fabricacion de productos y articulos de plastico		
Metal mecanica	Atributo no considerado en este año	2010	carretera panamericana tramo Celaya-sala	7F	38110.0	rancho el chinaco	Complejos siderúrgicos.	Atributo no considerado en este año	Atributo no considerado en este año	ArcelorMittal Celaya S.A. de C.V.	GUANAJUATO	"20°30'57"""	Villagran	"100°54'45"""	Villagran	ACE7F1104411	km. 7.5			331111	Metalurgica (incluye la siderurgica)	Laminacion primaria de hierro y acero		
FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO.	Atributo no considerado en este año	2010	Camino a San Pedro Ahuacatlán	7T	76802.0	Zona Industrial Valle de Oro	Moldeo por fundición de piezas de hierro y acero.	Atributo no considerado en este año	Atributo no considerado en este año	Acerlan S.A. de C.V.	QUERETARO	"20°25'12"""		"99°58'51"""	San Juan del Rio	ACE7T2201611	3		Zona Industrial Valle de Oro	331510	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de hierro y acero		
