actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
FUNDICIÓN Y MOLDEO DE PIEZAS DE METALES NO FERROSOS.	Atributo no considerado en este año	2009	AVENIDA GUADALUPE	ND	20900.0	MARAVILLAS	Moldeo por fundición de piezas metálicas no ferrosas.	Atributo no considerado en este año	Atributo no considerado en este año	ALAN DE AGUASCALIENTES S.A. DE C.V.	AGUASCALIENTES	21.95113	MARAVILLAS	-102.32801	Jesus Maria	AAGND0100511	224			331520	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de metales no ferrosos		
AFINACIÓN Y LAMINACIÓN DE ALUMINIO (INCLUYE FUNDICIÓN, EXTRUSIÓN O ESTIRAJE).	Atributo no considerado en este año	2009	VIA GUSTAVO BAZ	7Q	54100.0	SAN PEDRO BARRIENTOS	Industria básica del aluminio.	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO S.A. DE C.V.	MEXICO	19.57988	TLALNEPANTLA	-99.20186	Tlalnepantla de Baz	AAL7Q1510411	4874		BARRIENTOS	331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio		
PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN).	Atributo no considerado en este año	2009	COMERCIANTES	9M	36100.0	PARQUE IND. FIPASI	Fabricación de otras partes para vehículos automotrices.	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S. DE R.L. DE C.V.	GUANAJUATO	"20°54'55"""	SILAO	"101°23'41"""	Silao	AAM9M1103711	1300		PARQUE INDUSTRIAL FIPASI	336390	Automotriz	Produccion de otras auto partes	0.0	0.0
FABRICACION DE ACEROS ESPECIALES	Atributo no considerado en este año	2009	ELECTRIFICACION	7L	50070.0	INDEPENDENCIA	Moldeo por fundición de piezas de hierro y acero.	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS ANGLO S.A .DE C.V.	MEXICO	"19°19'23"""		"99°6'0"""	Toluca	AAN7L1510611	103		ZONA INDUSTRIAL	331510	Metalurgica (incluye la siderurgica)	Afinacion y refinacion de otros metales no ferrosos		
FABRICACIÓN DE ACUMULADORES AUTOMOTRICES Y  SERVICIO ELECTRICO	Atributo no considerado en este año	2009	VIA MORELOS	8Z	55310.0	XALOSTOC	Fabricación de acumuladores y pilas.	Atributo no considerado en este año	Atributo no considerado en este año	ACUMULADORES ANAHUAC S.A DE C.V.	MEXICO	"19°19'24"""	MÉXICO	"19°19'49"""	Ecatepec de Morelos	AAN8Z1503311	45		ZONA INDRUSTIAL XALOSTOC	335910	Metalurgica (incluye la siderurgica)	Produccion de acumuladores y pilas electricas	0.0	0.0
PRODUCCIÓN DE EXPLOSIVOS (NO INCLUYE FUEGOS ARTIFICIALES).	Atributo no considerado en este año	2009	DOMICILIO CONOCIDO	62	35100.0		Fabricación de explosivos.	Atributo no considerado en este año	Atributo no considerado en este año	AUSTIN BACIS, S.A. DE C.V.	DURANGO	25.72484	DINAMITA	-103.63808	Gomez Palacio	ABA621000711	SN		AREA RURAL	325920	Quimica	Produccion de explosivos		
EXTRUSION, ANODIZADO Y PINTURA DE PERFILES DE ALUMINIO	Atributo no considerado en este año	2009	KM. 16,432 CARRETERA LIBRE TIJUANA-ENSEN	QU	22563.0	SAN ANTONIO DE LOS BUENOS	Recubrimientos y terminados metálicos.	Atributo no considerado en este año	Atributo no considerado en este año	ALUMINIO DE BAJA CALIFORNIA, S.A DE C.V.	BAJA CALIFORNIA	"32°25'45"""	TIJUANA	"117°1'52"""	Tijuana	ABC8A0200411	0			332810	Quimica	Anodizado de aluminio		
FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES ME	Atributo no considerado en este año	2009	Aquiles Serdan	LJ	55770.0	San Pedro Atzompan	Moldeo por fundición de piezas de hierro y acero.	Atributo no considerado en este año	Atributo no considerado en este año	Aleaciones de Bronces Finos, S.A. de C.V.	MEXICO	"19°29'35"""		"99°11'51"""	Tecamac	ABFLJ1508111	6			331510	Metalurgica (incluye la siderurgica)	Fundicion de chatarra de fierro, de aluminio, de bronce, de plomo y de otros materiales metalicos		
PRODUCCIÓN DE ACEITES Y GRASAS CUANDO EN SU FABRICACIÓN EXISTE REACCIÓN QUÍMICA O EXTRACCI	Atributo no considerado en este año	2009	BLVD. MIGUEL ALEMAN	MC	35000.0	CENTRO	Elaboración de aceites y grasas vegetales comestibles.	Atributo no considerado en este año	Atributo no considerado en este año	ADM BIO PRODUCTOS S.A. DE C.V.	DURANGO	25.55178	GOMEZ PALACIO	-103.48431	Gomez Palacio	ABPMC1000711	KM. 11.40			311222	Quimica	Fabricacion de aceites y grasas alimenticias		
GALVANOPLASTIA (EN PIEZAS METÁLICAS; NO INCLUYE JOYERÍA).	Atributo no considerado en este año	2009	Km17.5 CARRETERA TLALNEPANTLA CUAUTITLAN	8A	54879.0	EL PILAR	Recubrimientos y terminados metálicos.	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS CAMESA S.A. DE C.V.	MEXICO	"19°31'26"""	CUATITLAN	"99°9'1"""	Cuautitlan	ACA8A1502411	SIN NUMERO		ZONA INDUSTRIAL CUAUTITLAN	332810	Quimica	Galvanoplastia		
