actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
Producción de Resinas Sintéticas	Atributo no considerado en este año	2018	Calle NORTE 4	5Q	76809		Fabricación de resinas sintéticas	Atributo no considerado en este año	Atributo no considerado en este año	A P RESINAS, S.A. DE C.V.,PPG AP RESINAS, S.A. DE C.V.	QUERETARO	"20°22'18"""	SAN JUAN DEL RIO	"99°58'4"""	San Juan del Rio	PRE5Q2201611	3	 	NUEVO PARQUE INDUSTRIAL	325211	Quimica	Produccion de resinas sinteticas	398987.5321	2252926.3909
ELABORACIÓN DE GRASAS Y ACEITES  VEGETALES COMESTIBLES	Atributo no considerado en este año	2018	Avenida AV. HEROES DE NOCUPETARO	MB	58130	Colonia INDUSTRIAL	Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	AAK MEXICO S.A. DE C.V.,AAK MÉXICO	MICHOACAN	"19°42'25"""	MORELIA	"101°11'57"""	Morelia	AMEMC1605311	1022	 		325999	Quimica	Produccion de substancias quimicas a partir de mezclas 	269485.8945	2180573.9381
Fabricación de partes para el sistema de transmisión	Atributo no considerado en este año	2018	Calle AVENIDA PASEO DE LAS COLINAS	9M	36113		Fabricación de partes de sistemas de transmisión para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AAM MAQUILADORA MEXICO S DE RL DE CV,AAM MAQUILADORA	GUANAJUATO	"20°58'21"""	SILAO DE LA VICTORIA	"101°25'53"""	Silao	AMM9M1103711	301	 	LAS COLINAS	336350	Automotriz	Produccion de otras auto partes	247204.5282	2321034.8179
FABRICACIÓN DE PARTES PARA EL SISTEMA DE TRANSMISIÓN AUTOMOTRIZ 	Atributo no considerado en este año	2018	Calle PASEO DE LOS INDUSTRIALES PONIENTE	9J	36100		Fabricación de partes de sistemas de transmisión para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AAM MAQUILADORA MEXICO S DE RL DE CV,PLANTA 6	GUANAJUATO	"21°0'37"""	SILAO DE LA VICTORIA	"101°31'48"""	Silao	AMM1103700160	1200	 	PARQUE INDUSTRIAL FIPASI SILAO	336350	Automotriz	Produccion de partes para el sistema de transmision automotriz	237012.4505	2325398.098
PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN	Atributo no considerado en este año	2018	Carretera  LA TINAJA-CORDOBA	2A	94910	Rancho El limón	Panificación industrial	Atributo no considerado en este año	Atributo no considerado en este año	AB CALSA S.A. DE C.V.,	VERACRUZ	"18°44'36"""	CUITLAHUAC	"96°33'20"""	Cuitlahuac	ACAS73005311	KM 49 	 		311811	Alimenticio y/o de consumo humano	Panaderias	757728.3899	2074201.9749
Venta de vehiculos, refacciones y mantenimiento automotriz	Atributo no considerado en este año	2018	Boulevard PUERTO AEREO	KE	15700	Colonia Federal	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	ABAMEX CHEVROLET, S.A. DE C.V.,ABAMEX	DISTRITO FEDERAL	"19°25'30"""	VENUSTIANO CARRANZA	"99°5'35"""	Venustiano Carranza	ACE0901700011	141	 		468111	Otros	Reparacion y mantenimiento automotriz	490222.2096	2147860.5773
Fabricación Compra y Venta de Productos eléctricos y electrónicos	Atributo no considerado en este año	2018	Calle Profesor Rodolfo Gonzalez, Col. Jardines de la Victoria	91	67119		Maquinado de piezas metálicas para maquinaria y equipo en general	Atributo no considerado en este año	Atributo no considerado en este año	ABB INSTALLATION PRODUCTS MONTERREY, S. DE R.L. DE C.V., PLANTA WEATHERPROOF,	NUEVO LEON	"25°42'13"""	GUADALUPE	"100°13'15"""	Guadalupe	TBM911902612	235	 	Parque Industrial KALOS (Bodegas 16,17,18,19 y 20)	332710	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	377503.623	2843433.5717
Industria Maquiladora, Manufactura de componentes y conexiones electricas	Atributo no considerado en este año	2018	Calle Profesor Rodolfo Gonzalez (Bodegas 1,2,3,4), Col. Jardines de la Victoria	86	67119		Maquinado de piezas metálicas para maquinaria y equipo en general	Atributo no considerado en este año	Atributo no considerado en este año	ABB INSTALLATION PRODUCTS MONTERREY, S. DE R.L. DE C.V., PTA. BLACKBURN,	NUEVO LEON	"25°42'12"""	GUADALUPE	"100°13'25"""	Guadalupe	TBM911902611	100	 	Parque Industrial KALOS, Bodega # 2	332710	Articulos y productos metalicos	Fabricacion de articulos maquinados	377216.171	2843427.8729
Fundición e Inyección de Aluminio y ZAMAK	Atributo no considerado en este año	2018	Calle Profesor Rodolfo González  (Parque KALOS)	7Q	67110		Maquinado de piezas metálicas para maquinaria y equipo en general	Atributo no considerado en este año	Atributo no considerado en este año	ABB INSTALLATION PRODUCTS PROCESOS DE MANUFACTURA, S. DE R.L. DE C.V.,	NUEVO LEON	"25°40'56"""	GUADALUPE	"100°12'28"""	Guadalupe	T&B1902600103	100 NA	NA NA	Parque Industrial KALOS	332710	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	378776.6569	2841056.2026
Manufactura de equipos eléctricos 	Atributo no considerado en este año	2018	Calle AVDA. CENTRAL	91	78395		Fabricación de otros productos eléctricos	Atributo no considerado en este año	Atributo no considerado en este año	ABB MEXICO  S.A DE C.V.,	SAN LUIS POTOSI	"22°1'42"""	LA PILA	"100°53'25"""	San Luis Potosi	AME912402811	NO.310 	 	ZONA INDUSTRIAL [78395]	335999	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	304869.0401	2437195.2157
