actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
Fabricación de productos farmacéuticos y medicamentos.	Atributo no considerado en este año	2018	Calle CALZ. DE TLALPAN	5T	4980	Colonia EXHACIENDA COAPA	Fabricación de preparaciones farmacéuticas	Atributo no considerado en este año	Atributo no considerado en este año	ABBOTT LABORATORIES DE MEXICO SA DE CV,	DISTRITO FEDERAL	"19°18'36"""	COYOACAN	"99°8'27"""	Coyoacan	ALM5T0900322	3092	 		325412	Quimica	Produccion de farmaceuticos y medicamentos	485194.9668	2135164.5169
FABRICACIÓN DE OTROS PRODUCTOS DE HIERRO Y ACERO DE MATERIAL COMPRADO	Atributo no considerado en este año	2018	Calle SEPTIMA AVENIDA	7I	66603		Fabricación de otros productos de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ABINSA SA DE CV,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO	NUEVO LEON	"25°46'0"""	CIUDAD APODACA	"100°9'18"""	Apodaca	ABI861900611	150	 	PARQUE INDUSTRIAL MONTERREY	331220	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero	384165.297	2850372.0293
FABRICACIÓN DE PAPEL	Atributo no considerado en este año	2018	Calle BOULV. DE LOS RIOS	56	89603	Colonia PUERTO DE ALTAMIRA	Fabricación de papel a partir de pulpa	Atributo no considerado en este año	Atributo no considerado en este año	ABSORMEX CMPC TISSUE SA DE CV,ABSORMEX S.A. DE C.V.	TAMAULIPAS	"22°24'30"""	ALTAMIRA	"97°53'22"""	Altamira	IPG562800312	KM.4.5 	 		322122	Celulosa y papel	Produccion de papel	614297.0173	2478456.2263
ACABADOS DE SUPERFICIES METÁLICAS	Atributo no considerado en este año	2018	Calle KM. 3  CARR. TECATE-ENSENADA	8A	21482	Colonia MACLOVIO HERRERA	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS DE CALIDAD TECATE SA DE CV,ACABADOS DE CALIDAD TECATE, S.A. DE C.V.	BAJA CALIFORNIA	"32°32'53"""	TECATE	"116°37'28"""	Tecate	ACT7X0200311	S/N 	 		332810	Quimica	Galvanoplastia	535245.451	3601273.961
ACABADO DE PRODUCTOS TEXTILES	Atributo no considerado en este año	2018	Carretera PUEBLA-TLAXCALA ANTIGUA	3K	72100	Colonia SAN JERONIMO CALERAS	Acabado de productos textiles	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS RIO TEJO, S.A. DE C.V.,	PUEBLA	"19°6'38"""	HEROICA PUEBLA DE ZARAGOZA	"98°13'42"""	Puebla	ART2111400386	5003	A 		313310	Textiles, fibras e hilos	Acabado de fibras, hilos, hilados y telas textiles	581148.3841	2113256.3667
TEÑIDO ESTAMPADO Y ACABADO DE TELAS 	Atributo no considerado en este año	2018	Calle AUT. SAN MARTIN-TLAXCALA	3K	74059	Colonia SAN DAMIAN	Fabricación de banderas y otros productos textiles no clasificados en otra parte	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS TEXMELUCAN  S.A. DE C.V.,ACABADOS TEXMELUCAN S.A DE C.V	PUEBLA	"19°16'49"""	SAN MARTIN TEXMELUCAN DE LABASTIDA	"98°26'47"""	San Martin Texmelucan	ATE3I2113211	KM. 2 	 		314999	Textiles, fibras e hilos	Acabado de fibras, hilos, hilados y telas textiles	558151.0815	2131953.0072
Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. Automotriz	Atributo no considerado en este año	2018	Calzada  DEL VALLE	KE	66220	Colonia DEL VALLE	Reparación mecánica en general de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	ACCESO AUTOMOTRIZ SA DE CV,AUDI CALZADA DEL VALLE	NUEVO LEON	"25°39'21"""	SAN PEDRO GARZA GARCIA	"100°21'59"""	San Pedro Garza Garcia	AAUEE1901911	340 OTE 	 		811111	Otros	Reparacion y mantenimiento automotriz	362826.2733	2838279.078
Fabricación de ruedas de acero y aluminio	Atributo no considerado en este año	2018	Calle AV. NORTEAMERICA	9M	65550		Fabricación de productos metálicos forjados y troquelados	Atributo no considerado en este año	Atributo no considerado en este año	ACCURIDE DE MÉXICO, S.A. DE C.V.,PLANTA CIÉNEGA DE FLORES	NUEVO LEON	"25°56'53"""	CIENEGA DE FLORES	"100°13'44"""	Cienega de Flores	AME1901200031	301	 	Parque Industrial Las Américas	332110	Automotriz	Produccion de otras auto partes	376944.1371	2870510.7966
Fabricación y ensamble de correderas metálicas para cajones	Atributo no considerado en este año	2018	Calle CIRCUITO NORTE	8A	21395		Otras industrias manufactureras	Atributo no considerado en este año	Atributo no considerado en este año	ACCURIDE INTERNATIONAL S.A. DE C.V.,	BAJA CALIFORNIA	"32°35'8"""	MEXICALI	"115°22'42"""	Mexicali	AINNG0200211	6	 	NELSON	339999	Quimica	Galvanoplastia	652195.7054	3606523.9715
FABRICACION DE ACEITES COMESTIBLES	Atributo no considerado en este año	2018	Calle 17	MC	97288	Colonia CD. INDUSTRIAL	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ACEITERA DEL GOLFO S.A. DE C.V.,	YUCATAN	"20°55'59"""	MERIDA	"89°40'47"""	Merida	AGOMC3105011	407-B Bis	 		311222	Quimica	Fabricacion de aceites y grasas alimenticias	221299.6514	2317082.3871
Extracción de aceite de palma africana	Atributo no considerado en este año	2018	Carretera Camino a Monte Grande km 1.2	64	96000	Colonia AGRÍCOLA MICHAPAN	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ACEITES DE PALMA, SA DE CV,ACEITES DE PALMA S.A. DE C.V.	VERACRUZ	"18°2'55"""	ACAYUCAN	"94°54'54"""	Acayucan	APA1Z3000311	S/N 	 		311222	Quimica	Produccion de aceites esenciales	297269.0325	1996615.7964
Elaboración de aceites y grasas Y vegetales comestibles 	Atributo no considerado en este año	2018	Calle AV EJE NORTE SUR	MC	58200	Colonia CIUDAD INDUSTRIAL	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ACEITES ESPECIALES TH SA DE CV,ACEITES ESPECIALES TH S.A. DE C.V.	MICHOACAN	"19°43'41"""	MORELIA	"101°8'46"""	Morelia	AET1605300706	451	 		311222	Quimica	Fabricacion de aceites y grasas alimenticias	275069.209	2182838.824
PRODUCCION DE GRASAS, ACEITES COMESTIBLES Y JABONES	Atributo no considerado en este año	2018	Avenida Talisman	64	7470	Colonia AMPLIACION SAN JUAN DE ARAGON	Elaboración de otros alimentos	Atributo no considerado en este año	Atributo no considerado en este año	ACEITES Y JABONES, S.A. DE C.V.,	DISTRITO FEDERAL	"19°30'39"""	GUSTAVO A. MADERO	"99°7'3"""	Gustavo A. Madero	AJA0900500338	284	 		311999	Quimica	Produccion de aceites esenciales	487667.6867	2157385.6488
FUNDICION Y MOLDEO DE PIEZAS DE HIERRO Y ACERO	Atributo no considerado en este año	2018	Calle CAMINO A SAN PEDRO AHUACATLAN	7T	76803		Moldeo por fundición de piezas de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ACERLAN MATRIX METALS S.A. DE C.V.,ACERLAN MATRIX METALS S.A. DE C.V.	QUERETARO	"20°25'15"""	SAN JUAN DEL RIO	"99°58'49"""	San Juan del Rio	ACE7T2201611	3	 	Valle de Oro	331510	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de hierro y acero	397704.4675	2258374.7802
TRATAMIENTO TÉRMICO DE PIEZAS METÁLICAS CON COMBUSTIBLES FÓSILES; NO INCLUYE LA MICROINDUS	Atributo no considerado en este año	2018	Calle AV. LAS AMERICAS	MD	67130	Colonia INDUSTRIAL AMERICAS	Fabricación de otras partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	ACS INTERNACIONAL S DE R.L. DE C.V.,PLANTA LAS AMÉRICAS	NUEVO LEON	"25°41'48"""	GUADALUPE	"100°14'45"""	Guadalupe	AINMD1902611	601	 		336390	Metalurgica (incluye la siderurgica)	Tratamiento termico de piezas metalicas	374993.0855	2842701.4379
AFINACION Y REFINACION DE ALAMBRE (ASI COMO SUS ALEACIONES, INCLUYENDO EXTRUSION)	Atributo no considerado en este año	2018	Calle AVENIDA RUIZ CORTINEZ	7L	64400	Colonia ESTRELLA	Fabricación de alambre, productos de alambre y resortes	Atributo no considerado en este año	Atributo no considerado en este año	ACS INTERNACIONAL S DE R.L. DE C.V.,PLANTA RUIZ CORTINES	NUEVO LEON	"25°42'16"""	MONTERREY	"100°19'49"""	Monterrey	AIN7N1903911	1855 PTE. 	S/N 		332610	Metalurgica (incluye la siderurgica)	Afinacion y refinacion de otros metales no ferrosos	366503.1848	2843656.5775
FABRICACION DE HARINA Y BIODISEL	Atributo no considerado en este año	2018	Camino vecinal al ejido bajo Amacohite	64	29550	Ejido Bajo Amacohite	Elaboración de alimentos para animales	Atributo no considerado en este año	Atributo no considerado en este año	ACUAGRANJAS DOS LAGOS SA DE CV,ACUAGRANJA DOS LAGOS SA DE CV	CHIAPAS	"17°31'22"""	OSTUACAN	"93°29'39"""	Ostuacan	ADLSE0706211	SN 	 		311110	Quimica	Produccion de aceites esenciales	447538.8616	1937487.6606
SERVICIOS DE CONSERVACIÓN Y EXHIBICIÓN DE ESPECIES	Atributo no considerado en este año	2018	Boulevard  MANUEL AVILA CAMACHO	T1	91900	Colonia RICARDO FLORES MAGON	Jardines botánicos y zoológicos del sector privado	Atributo no considerado en este año	Atributo no considerado en este año	ACUARIO DE VERACRUZ, A.C.,ACUARIO DE VERACRUZ	VERACRUZ	"19°11'18"""	VERACRUZ	"96°7'10"""	Veracruz	AVESY3019311	S/N 	 		712131	Otros	Registro de colecciones de vida silvestre	802914.3125	2124176.3141
ENSAMBLE Y PINTURA DE COMPONENTES Y SISSTEMAS DE ILUMINACIÓN	Atributo no considerado en este año	2018	Calle URANIO	92	67205		Fabricación de focos	Atributo no considerado en este año	Atributo no considerado en este año	ACUITY BRANDS LIGHTING DE MEXICO S DE RL DE CV,ACUITY BRANDS LIGHTING DE MÉXICO, S. DE R.L. DE C.V.	NUEVO LEON	"25°39'57"""	LAS ESCOBAS	"100°9'15"""	Guadalupe	ABL1902600106	704	 	PARQUE KALOS DE GUADALUPE	335110	Equipos y articulos electronicos, electricos y domesticos	Produccion de focos y tubos de iluminacion	384151.6988	2839210.2649
FABRICACIÓN DE ACUMULADORES Y PILAS 	Atributo no considerado en este año	2018	Calle CARRETERA A PESQUERIA KM. 1	8Z	66650	Colonia LADRILLERA	Fabricación de acumuladores y pilas	Atributo no considerado en este año	Atributo no considerado en este año	ACUMULADORES OMEGA SA DE CV,ACUMULADORES OMEGA	NUEVO LEON	"25°48'3"""	PESQUERIA	"100°5'57"""	Pesqueria	AOM8Z1904111	S/N 	S/N 		335910	Metalurgica (incluye la siderurgica)	Produccion de acumuladores y pilas electricas	389807.2527	2854110.0384
Manufactura, ensamble y reparación de alarmas y detectores de humo y gas	Atributo no considerado en este año	2018	Avenida ROSA MARIA Y. FUENTES	91	32320		Otras industrias manufactureras	Atributo no considerado en este año	Atributo no considerado en este año	ADEMCO DE JUÁREZ S. DE R.L. DE C.V., PLANTA MXOH	CHIHUAHUA	"31°43'46"""	JUAREZ	"106°24'59"""	Juarez	AJU0803700310	7080	 	FUENTES	339999	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	365806.8542	3511348.6562
MANUFACTURA	Atributo no considerado en este año	2018	Avenida VALLE DEL CEDRO	91	32574		Otras industrias manufactureras	Atributo no considerado en este año	Atributo no considerado en este año	ADEMCO DE JUAREZ, S. DE R.L. DE C.V.,ADEMCO DE JUAREZ	CHIHUAHUA	"31°37'42"""	JUAREZ	"106°23'13"""	Juarez	AJU0803700383	1681	 	INTERMEX	339999	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	368455.4338	3500105.0861
La produccion, venta y almacenamiento de Resinas, Formol, Hexamina y Paraformol	Atributo no considerado en este año	2018	Calle Carretera Texmelucan-Tlaxcala	5Q	90120		Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	ADHESIVOS, S.A. DE C.V.,	TLAXCALA	"19°18'38"""	VILLA MARIANO MATAMOROS	"98°23'40"""	Ixtacuixtla de Mariano Matamoros	ADH5G2901511	6.5 km	 	Corredor  Industrial Ixtacuixtla	325999	Quimica	Produccion de resinas sinteticas	563597.5116	2135308.4781
FABRICACIÓN DE OTRAS PARTES PARA VEHÍCULOS AUTOMOTRICES	Atributo no considerado en este año	2018	Avenida LAURO VILLAR KM 9	MV	87499		Fabricación de asientos y accesorios interiores para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	ADIENT INDUSTRIES MÉXICO, S. DE R.L. DE C.V.,	TAMAULIPAS	"25°50'13"""	HEROICA MATAMOROS	"97°25'51"""	Matamoros	JCI2802200167	67	 	CIUDAD INDUSTRIAL	336360	Automotriz	Confeccion de asientos y accesorios de tela de uso automotriz	657240.9728	2858583.6965
FABRICACIÓN DE ASIENTOS AUTOMOTRICES	Atributo no considerado en este año	2018	Calle INDUSTRIAL	MV	90850	Colonia SECCIÓN PRIMERA	Otras industrias manufactureras	Atributo no considerado en este año	Atributo no considerado en este año	ADIENT MÉXICO, S. DE R.L. DE C.V.,ADIENT MEXICO, S. DE R.L. DE C.V.	TLAXCALA	"19°14'26"""	TEOLOCHOLCO	"98°12'11"""	Teolocholco	AME2902800003	S/N 	 		339999	Automotriz	Confeccion de asientos y accesorios de tela de uso automotriz	583753.6356	2127646.76
FABRICACIÓN DE ADITIVOS PARA ACEITES LUBRICANTES	Atributo no considerado en este año	2018	Calle NORTE 3	LQ	76806	Colonia NUEVO PARQUE INDUSTRIALSJR	Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	ADITIVOS MEXICANOS, S.A. DE C.V.,	QUERETARO	"20°22'12"""	SAN JUAN DEL RIO	"99°57'56"""	San Juan del Rio	AME692201611	13	 		325999	Petroleo y petroquimica	Produccion de petroquimicos secundarios	399224.6144	2252723.8438
PRODUCCION DE ACEITE Y GRASAS VEGETALES	Atributo no considerado en este año	2018	Boulevard BLVD. MIGUEL ALEMAN	MC	35000	Ciudad ZONA CENTRO	Elaboración de alimentos para animales	Atributo no considerado en este año	Atributo no considerado en este año	ADM BIO PRODUCTOS, S.A. DE C.V.,ADM BIO PRODUCTOS, S.A DE C.V.	DURANGO	"25°33'13"""	GOMEZ PALACIO	"103°28'58"""	Gomez Palacio	ABPMC1000711	SN KM 11.40	 		311110	Quimica	Fabricacion de aceites y grasas alimenticias	652397.6267	2827132.419
Servicios Portuarios	Atributo no considerado en este año	2018	Carretera A la Barra Norte Km. 6.5	RN	92800	Ejido La Calzada	Administración de puertos y muelles	Atributo no considerado en este año	Atributo no considerado en este año	ADMINISTRACION PORTUARIA INTEGRAL DE TUXPAN S. A. DE C. V.,APITUX S. A. DE C. V.	VERACRUZ	"20°56'59"""	TUXPAM DE RODRIGUEZ CANO	"97°20'42"""	Tuxpam	API3018900050	sn 	sn 		488310	Otros	Puertos	672077.5858	2317476.5264
FLETAMENTO DE EMBARCACIONES	Atributo no considerado en este año	2018	Avenida EUGENIO ECHEVERRIA CASTELLOT 	B0	24115	Colonia PLAYA NORTE	Transporte marítimo de altura, excepto de petróleo y gas natural	Atributo no considerado en este año	Atributo no considerado en este año	ADMINISTRADORES NAVIEROS DEL GOLFO S.A. DE C.V.,ADMINISTRADORES NAVIEROS DEL GOLFO S.A DE C.V.	CAMPECHE	"18°39'3"""	CIUDAD DEL CARMEN	"91°48'50"""	Carmen	ANG0400300268	57	 		483111	Otros	Transporte de carga en general	625089.9471	2062608.6265
FABRICACION DE TUBOS DE POLIETILENO DE ALTA DENSIDAD	Atributo no considerado en este año	2018	Calle CARR. A VILLA DE  GARCIA	MA	66360	Colonia ZONA  INDUSTRIAL	Fabricación de tubería y conexiones, y tubos para embalaje	Atributo no considerado en este año	Atributo no considerado en este año	ADS MEXICANA S.A. DE C.V.,ADS MEXICANA PLANTA MONTERREY	NUEVO LEON	"25°42'5"""	CIUDAD SANTA CATARINA	"100°31'0"""	Santa Catarina	AME6E1904811	KM 0.8 	 		326120	Quimica	Fabricacion de productos moldeados con diversas resinas 	347801.0369	2843501.5698
Ensamble de arneses electricos y/o electronicos	Atributo no considerado en este año	2018	Carretera  PRESA LA AMISTAD	91	26220		Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AEES MANUFACTURERA S DE RL DE CV,	COAHUILA	"29°20'36"""	CIUDAD ACUÑA	"100°59'53"""	Acuna	AFM910500221	KM. 5.0 	 	PARQUE INDUSTRIAL AMISTAD	336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	306011.4933	3247690.1942
FABRICACION DE AUTOPARTES DE PLASTICO CON Y SIN REFORZAMIENTO	Atributo no considerado en este año	2018	Boulevard CARRETERA A  MATAMOROS ENTRONQUE CON MIELERAS LOTE 11 Y 12 	9M	27277		Fabricación de autopartes de plástico con y sin reforzamiento	Atributo no considerado en este año	Atributo no considerado en este año	AEES MANUFACTURERA S DE RL DE CV,	COAHUILA	"25°31'44"""	TORREON	"103°21'35"""	Torreon	AFM910503511	S/N 	S/N 	IND. LAS AMERICAS	326192	Automotriz	Produccion de otras auto partes	664806.7053	2824533.0378
Manufactura y Ensamble de Arneses y Componentes Electrónicos Automotrices	Atributo no considerado en este año	2018	Calle FRESNEL	91	32470	Colonia PARQUE IND. A.J. BERMUDEZ	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AEES MANUFACTURERA S DE RL DE CV,	CHIHUAHUA	"31°43'28"""	JUAREZ	"106°23'45"""	Juarez	AFM910803713	7650	 		336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	367736.8191	3510750.2213
Fabricación, reconstrucción, ensamble y subensamble de equipo aeroespacial, incluso motore	Atributo no considerado en este año	2018	Avenida INDUSTRIA DE LA TRANSFORMACION	9S	76220		Fabricación de equipo aeroespacial	Atributo no considerado en este año	Atributo no considerado en este año	AERNNOVA COMPONENTES MEXICO SA DE CV,AERNNOVA COMPONENTES MEXICO S.A. DE C.V.	QUERETARO	"20°49'33"""	SANTA ROSA JAUREGUI	"100°25'35"""	Queretaro	ACM7X2201411	431	 	Querétaro	336410	Automotriz	Industria aeroespacial	351566.4873	2303556.029
Maquila de productos para el cuidado del hogar y cuidado personal 	Atributo no considerado en este año	2018	Avenida San Rafael	5W	52000		Fabricación de jabones, limpiadores y dentífricos	Atributo no considerado en este año	Atributo no considerado en este año	AEROBAL S.A. DE C.V.,	MEXICO	"19°18'13"""	LERMA DE VILLADA	"99°31'39"""	Lerma	AER1505100108	12	 	LERMA DE VILLADA CENTRO	325610	Quimica	Produccion de jabones y detergentes	444567.5887	2134522.2321
ADMINISTRACION DE AEROPUERTOS Y HELIPUERTOS	Atributo no considerado en este año	2018	Boulevard CANCUN-CHETUMAL APTO INTERNACIONAL DE CA	L7	77569	Colonia CANCUN (INTERNACIONAL DE CANCUN)	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE CANCUN SA DE CV,AEROPUERTO DE CANCUN SA DE CV	QUINTANA ROO	"21°2'23"""	CANCUN	"86°52'25"""	Benito Juarez	ACARP2300511	KM 22 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	513116.4051	2326576.6634
Administración de Aeropuertos y Helipuertos 	Atributo no considerado en este año	2018	Boulevard JUAN PABLO II KM. 14	L7	31390	Colonia AEROPUERTO	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE CHIHUAHUA S.A DE C.V,AEROPUERTO DE CHIHUAHUA	CHIHUAHUA	"28°42'8"""	CHIHUAHUA	"105°57'47"""	Chihuahua	ACIRP0801911	S/N 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	405924.9234	3175401.9614
Administración de aeropuertos	Atributo no considerado en este año	2018	Carretera PANAMERICANA	L7	32661	Colonia ZONA FEDERAL	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE CIUDAD JUAREZ S.A. DE C.V.,OMA	CHIHUAHUA	"31°38'13"""	JUAREZ	"106°26'8"""	Juarez	ACJL70803711	KM 18.5 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	363850.6641	3501098.719
Servicios aeroportuarios	Atributo no considerado en este año	2018	Calle KM.17.5 CARRET. GUADALAJARA CHAPALA	L7	45659	Aeropuerto Aeropuerto Internacional de Guadalajara	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE GUADALAJARA S.A. DE C.V.,AEROPUERTO INTERNACIONAL DON MIGUEL HIDALGO Y COSTILLA	JALISCO	"20°31'31"""	TLAJOMULCO DE ZUÑIGA	"103°18'19"""	Tlajomulco de Zuniga	AGUL71409711	S/N 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	676683.7036	2270535.2716
PRESTACION DE SERVICIOS AEROPORTUARIOS	Atributo no considerado en este año	2018	Calle CARRETERA INTERNACIONAL AL SUR	L7	82269	Colonia MAZATLAN (GRAL. RAFAEL BUELNA)	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE MAZATLAN, S.A. DE C.V.,	SINALOA	"23°9'59"""	MAZATLAN	"106°16'14"""	Mazatlan	AMARP2501211	S/N 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	369930.5356	2562509.1297
