actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
PRODUCCION DE ARTICULOS DE HULE	Atributo no considerado en este año	2016	Calle FORTINO ROCHA	6D	54090	Colonia SAN JOSE TEPETLACALCO	Fabricación de otros productos de hule	Atributo no considerado en este año	Atributo no considerado en este año	VULCANIZADORA EVEREST S.A. DE C.V.,VULCANIZADORA EVEREST, S.A. DE C.V.	MEXICO	"19°32'29"""	Tlalnepantla	"99°12'14"""	Tlalnepantla de Baz	VEV6D1510411	1			326290	Quimica	Fabricacion de articulos y productos de hule 	478605.0331	2160770.7807
TODO LO REFERENTE A PRODUCTOS DE CERÁMICA ARCILLA O SIMILARES.	Atributo no considerado en este año	2016	Avenida PAR. IND. RAMOS A. AV. METALURGICA	6T	25900	Colonia PAR. IND. RAMOS ARIZPE	Fabricación de azulejos y losetas no refractarias	Atributo no considerado en este año	Atributo no considerado en este año	VILBOMEX SA DE CV,VILBOMEX, SA DE CV.	COAHUILA	"25°32'20"""	Ramos Arizpe	"100°54'4"""	Ramos Arizpe	VIL6T0502711	LOTE 4900			327122	Cemento y Cal	Fabricacion de articulos y productos de ceramica, arcilla o similares	308956.8086	2825993.683
FABRICACION DE BARRENAS BROCAS DE PERFORACION	Atributo no considerado en este año	2016	Calle  TERCERA	MD	87380	Colonia FRACCIONAMIENTO MODERNO	Fabricación de otros productos metálicos	Atributo no considerado en este año	Atributo no considerado en este año	VAREL INTERNATIONAL DE MEXICO, S.A. DE C.V.,	TAMAULIPAS	"25°51'21"""	Heroica Matamoros	"97°30'1"""	Matamoros	VIM7U2802211	# 312			332999	Metalurgica (incluye la siderurgica)	Tratamiento termico de piezas metalicas	650275.0017	2860600.2132
Producción de automoviles y camiones (Incluye tractocamiones y similares)	Atributo no considerado en este año	2016	Calle LAGO DE GUADALUPE	9G	54935	Fraccionamiento Industrial Cartagena	Fabricación de camiones y tractocamiones	Atributo no considerado en este año	Atributo no considerado en este año	VOLVO GROUP MÉXICO S.A DE C.V.,VOLVO GROUP MÉXICO S.A. DE C.V.	MEXICO	"19°38'59"""	Tultitlán de Mariano Escobedo	"99°7'50"""	Tultitlan	VIM9G1510911	289			336120	Automotriz	Produccion de automoviles, camiones, tractocamiones y similares	486294.3878	2172743.4601
Producción de botellas, envases y similares de vidrio	Atributo no considerado en este año	2016	Calle MEXICO TOLUCA	6Z	50200		Fabricación de envases y ampolletas de vidrio	Atributo no considerado en este año	Atributo no considerado en este año	VITRO S.A.B. DE C.V.,	MEXICO	"19°17'19"""	San Pedro Totoltepec	"99°34'22"""	Toluca	VIT1510600370	KM. 57.5	S/N	EL COECILLO	327213	Vidrio	Produccion de botellas, envases y similares de vidrio	439814.8118	2132861.5225
Confección de otras prendas exteriores de vestir, fabrica de telas y confección de playera	Atributo no considerado en este año	2016	Calle 20	46	97450	Colonia CENTRO	Confección en serie de otra ropa exterior de materiales textiles	Atributo no considerado en este año	Atributo no considerado en este año	VERTICAL KNITS, S.A. DE C.V.,	YUCATAN	"21°6'10"""	Baca	"89°23'53"""	Baca	VKNR93100411	131-C			315229	Textiles, fibras e hilos	Confeccion de prendas de vestir	250862.352	2335403.6898
Fabricación de autopartes de plástico	Atributo no considerado en este año	2016	Avenida PARQUE INDUSTRIAL MONTERREY	9M	66603		Fabricación de autopartes de plástico con y sin reforzamiento	Atributo no considerado en este año	Atributo no considerado en este año	VARROC LIGHTING SYSTEMS, S. DE R.L. DE C.V.,	NUEVO LEON	"25°45'49"""	Ciudad Apodaca	"100°9'46"""	Apodaca	VLS1900600017	608		PARQUE INDUSTRIAL MONTERREY	326192	Automotriz	Produccion de otras auto partes	383380.2148	2850039.3358
Re-manufactura de motores a gasolina y/o diesel	Atributo no considerado en este año	2016	Calle AVE. DE LAS INDUSTRIAS	9I	66050		Fabricación de motores y sus partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	VEGE DE MÉXICO S.A. DE C.V.,LKQ	NUEVO LEON	"25°48'35"""	Ciudad General Escobedo	"100°20'56"""	Gral.  Escobedo	VMEKE1902111	317		PARQUE INDUSTRIAL ESCOBEDO	336310	Automotriz	Produccion de motores automotrices a gasolina y diesel	364762.5761	2855307.2725
FABRICACIÓN DE TRIPA DE CELULOSA REGENERADA PARA LA ELABORACIÓN DE EMBUTIDOS CÁRNICOS	Atributo no considerado en este año	2016	Calle KM. 3.5 CARRETERA ZACAPU-PANINDICUARO	N2	58616	Colonia CELANESE	Fabricación de otros productos de cartón y papel	Atributo no considerado en este año	Atributo no considerado en este año	VISCOFAN DE MEXICO S. DE R.L. DE C.V.,	MICHOACAN	"19°49'54"""	Zacapu	"101°46'41"""	Zacapu	VMEN31610711	S/N	SN SN		322299	Celulosa y papel	Produccion de papeles recubiertos y sus productos	208993.5626	2195271.2873
ALMACENAMIENTO DE LIQUIDOS A GRANEL	Atributo no considerado en este año	2016	Calle INTERIOR DEL RECINTO FISCAL AUTORIZADO FRENTE AL MUELLE 5	ZU	96400	Puerto COATZACOALCOS	Otros servicios de almacenamiento con instalaciones especializadas	Atributo no considerado en este año	Atributo no considerado en este año	VOPAK MEXICO, S. A. DE C. V.,VOPAK MEXICO, S.A. DE C.V.	VERACRUZ	"18°7'54"""	Coatzacoalcos	"94°25'5"""	Coatzacoalcos	VMEQB3003911	S/N			493190	Otros	Almacen de materiales, productos y otros	349979.8463	2005337.6415
Elaboración y Fabricación de productos veterinarios biológicos y farmacéuticos	Atributo no considerado en este año	2016	Avenida INGLATERRA	5T	45010		Fabricación de preparaciones farmacéuticas	Atributo no considerado en este año	Atributo no considerado en este año	VIRBAC MEXICO SA DE CV,	JALISCO	"20°43'37"""	Zapopan	"103°29'36"""	Zapopan	VME1412000522	5070	S/N	GUADALAJARA TECHNOLOGY PARK	325412	Quimica	Produccion de farmaceuticos y medicamentos	656879.9611	2292658.9028
FABRICACIÓN Y REPARACIÓN DE VÁLVULAS REFRACTARIAS	Atributo no considerado en este año	2016	Avenida RUIZ CORTINEZ	6R	67119		Fabricación de productos refractarios	Atributo no considerado en este año	Atributo no considerado en este año	VESUVIUS MEXICO SA DE CV,VESUVIUS MEXICO S.A. DE C.V. PLANTA GUADALUPE	NUEVO LEON	"25°42'8"""	Guadalupe	"100°13'16"""	Guadalupe	VME1902600105	140		JARDINES DE SAN RAFAEL	327123	Cemento y Cal	Produccion de articulos ceramicos no estructurales	377455.9265	2843284.2035
Fabricación de pigmentos y colorantes sintéticos (fritas, esmaltes cerámicos en polvo y ti	Atributo no considerado en este año	2016	Calle SAN FERNANDO	5J	66670	Fracción VALLE DE SANTA MARIA	Otras industrias manufactureras	Atributo no considerado en este año	Atributo no considerado en este año	VETRICERAMICI DE MEXICO S. DE R.L. DE C.V.,VETRICERAMICI	NUEVO LEON	"25°43'35"""	Pesquería	"100°5'59"""	Pesqueria	VME1904100007	101			339999	Quimica	Produccion de colorantes y pigmentos	389677.9257	2845857.5008
Almacenamiento y manejo de líquidos a granel	Atributo no considerado en este año	2016	Calle ESCOLLERA NORTE SAN JUAN DE ULUA	QB	91700	Puerto VERACRUZ	Otros servicios de almacenamiento con instalaciones especializadas	Atributo no considerado en este año	Atributo no considerado en este año	VOPAK MEXICO, S. A. DE C. V.,VOPAK MEXICO, S.A. DE C.V.	VERACRUZ	"19°12'53"""	Veracruz	"96°8'19"""	Veracruz	VME3019300117	S/N			493190	Otros	Almacenes de sustancias quimicas	800867.9065	2127089.2017
Fabricación de autmoviles y sus partes	Atributo no considerado en este año	2016	Calle BLVD. MINERAL DE VALENCIANA	9G	36275	Colonia PUERTO INTERIOR	Fabricación de automóviles y camionetas	Atributo no considerado en este año	Atributo no considerado en este año	VOLKSWAGEN DE MÉXICO S.A DE C.V,VOLKSWAGEN DE MÉXICO, S.A. DE C.V.	GUANAJUATO	"21°1'10"""	Silao de la Victoria	"101°28'34"""	Silao	VME9G1103711	611			336110	Automotriz	Produccion de automoviles, camiones, tractocamiones y similares	242616.0758	2326296.2811
PRODUCCIÓN DE AUTOMÓVILES Y CAMIONES (INCLUYE TRACTOCAMIONES Y SIMILARES)	Atributo no considerado en este año	2016	Carretera Autopista México-Puebla km 116	9G	72700	Ninguno A un costado de la Autopista México - Puebla	Fabricación de automóviles y camionetas	Atributo no considerado en este año	Atributo no considerado en este año	VOLKSWAGEN DE MÉXICO S.A DE C.V,VOLKSWAGEN DE MÉXICO	PUEBLA	"19°7'43"""	San Lorenzo Almecatla	"98°15'8"""	Cuautlancingo	VME9G2104111	S/N	S/N		336110	Automotriz	Produccion de automoviles, camiones, tractocamiones y similares	578643.9024	2115246.118
Fabricacion de piezas automotrices: engranes y flechas para la transmicion con tratamiento	Atributo no considerado en este año	2016	Calle BLVD. AEROPUERTO	9M	37680	Colonia LOS LOPEZ	Fabricación de otros productos metálicos	Atributo no considerado en este año	Atributo no considerado en este año	VCST DE MEXICO S DE RL  DE CV,	GUANAJUATO	"21°3'0"""	León de los Aldama	"101°34'22"""	Leon	VME9L1102011	2202	A		332999	Automotriz	Produccion de otras auto partes	232632.1529	2329844.9995
Venta de Automoviles y refacciones Servicio de Mantto. Automotriz	Atributo no considerado en este año	2016	Calle PABLO GONZALEZ	KE	64640	Colonia SAN JERONIMO	Reparación mecánica en general de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	VALOR MOTRIZ S. DE R.L. DE C.V.,	NUEVO LEON	"25°40'44"""	Monterrey	"100°21'20"""	Monterrey	VMOKE1903911	408			811111	Otros	Reparacion y mantenimiento automotriz	363951.3079	2840828.4881
FABRICACIÓN DE POSTES METÁLICOS PARA TRANSMISIÓN ELÉCTRICA	Atributo no considerado en este año	2016	Carretera CARR. A LAREDO	7J	66600		Fabricación de tubos y postes de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	VALMONT MONTERREY, S. DE R.L. DE C.V.,	NUEVO LEON	"25°51'12"""	Entronque Laredo-Salinas Victoria	"100°14'20"""	Apodaca	VMO7X1900611	KM. 21		PARQUE INDUSTRIAL AEROPUERTO 1ER. SECTOR	331210	Metalurgica (incluye la siderurgica)	Produccion de tubos y postes de hierro y acero	375828.5903	2860044.7781
