actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
MANUFACTURA DE COMPONENTES ELECTRONICOS	Atributo no considerado en este año	2015	Avenida Av. Sendero Divisorio	91	66425	Privada TABACHINES	Fabricación de componentes electrónicos	Atributo no considerado en este año	Atributo no considerado en este año	BELDEN LRC MEXICO S DE R.L. DE C.V.,BELDEN LRC MEXICO	NUEVO LEON	"25°45'46"""	San Nicolás de los Garza	"100°18'33"""	San Nicolas de los Garza	AAA190000015	500	B1		334410	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	368693.0927	2850093.9737
MAQUILA DE GALVANOPLASTIA	Atributo no considerado en este año	2015	Calle  10a	8A	44440	Colonia FERROCARRIL	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	JESUS ALVARADO GARCIA,TALLER DEL SR. JESUS ALVARADO	JALISCO	"20°38'33"""	Guadalajara	"103°20'57"""	Guadalajara	AAG1403901019	2083			332810	Quimica	Galvanoplastia	671986.3405	2283474.4223
TRANSFORMACION DE ALUMINIO	Atributo no considerado en este año	2015	Calle VIA MORELOS	7Q	55400	Colonia STA. MARIA TULPETLAC	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	ALMEXA ALUMINIO SA DE CV,	MEXICO	"19°33'36"""	Ecatepec de Morelos	"99°2'52"""	Ecatepec de Morelos	AAL7Q1503321	347			331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	494987.9919	2162796.0933
AFINACIÓN Y LAMINACION DE ALUMINIO (INCLUYE FUNDICION, EXTRUSION O ESTIRAJE)	Atributo no considerado en este año	2015	Calle AV. DOS	7Q	54900	Colonia FRACC. INDUSTRIAL CARTAGENA	Industria básica del aluminio	Atributo no considerado en este año	Atributo no considerado en este año	AZINSA ALUMINIO, S.A DE C.V,AZINSA ALUMINIO, S.A. DE C.V.	MEXICO	"19°38'34"""	Tultitlán de Mariano Escobedo	"99°9'9"""	Tultitlan	AAL7Q1510911	4			331310	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	483998.7598	2171967.9268
LAMINACIÓN DE VARILLA Y SIMILARES	Atributo no considerado en este año	2015	Calle Seminario	7I	56576	Colonia SAN JUAN TLALPIZAHUAC	Complejos siderúrgicos	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS AMERICA S.A. DE C.V.,	MEXICO	"19°19'51"""	Ixtapaluca	"98°56'58"""	Ixtapaluca	AAM1503900040	3			331111	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero	505305.747	2137438.0757
ENSAMBLE DE ESTRUCTURAS AERONAUTICAS	Atributo no considerado en este año	2015	Avenida BENITO JUAREZ	9S	76220		Fabricación de equipo aeroespacial	Atributo no considerado en este año	Atributo no considerado en este año	AERNNOVA AEROSPACE MEXICO SA DE CV,AERNNOVA AEROSPACE MEXICO S.A. DE C.V.	QUERETARO	"20°49'11"""	Santa Rosa Jáuregui	"100°26'42"""	Queretaro	AAM7X2201411	109		Querétaro	336410	Automotriz	Industria aeroespacial	349628.9088	2302886.3681
COMERCIALIZADORA DE EJES Y AUTOPARTES	Atributo no considerado en este año	2015	Calle AVENIDA DE LOS COMERCIANTES	9J	36100	Colonia PARQUE INDUSTRIAL FIPASI	Fabricación de partes de sistemas de transmisión para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AMERICAN AXLE & MANUFACTURING DE MEXICO S DE RL DE CV,AMERICAN AXLE & MANUFACTURING DE MEXICO	GUANAJUATO	"20°53'24"""	Silao de la Victoria	"101°21'34"""	Silao	AAM9M1103711	1300			336350	Automotriz	Produccion de partes para el sistema de transmision automotriz	254545.9119	2311788.66
Venta de Automoviles y Refacciones Servicio de Mantto. Automotriz	Atributo no considerado en este año	2015	Calle AVE. GOMEZ MORIN	KE	66273	Colonia VILLA DE ARAGON	Reparación mecánica en general de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V.,	NUEVO LEON	"25°38'54"""	San Pedro Garza García	"100°21'33"""	San Pedro Garza Garcia	AARKE1901911	402			811111	Otros	Reparacion y mantenimiento automotriz	363564.4651	2837445.0638
FABRICACION Y VENTA DE PELÍCULA PLÁSTICA DE POLIETILENO PARA USO AGRÍCOLA	Atributo no considerado en este año	2015	Calle CARRETERA A NOGALES	ZA	45221	Colonia LA VENTA DEL ASTILLERO	Fabricación de bolsas y películas de plástico flexible	Atributo no considerado en este año	Atributo no considerado en este año	EXPORTADORA DE PLASTICOS AGRICOLAS SA DE CV,EXPORTADORA DE PLASTICOS AGRICOLAS S.A. DE C.V.	JALISCO	"20°43'45"""	La Venta del Astillero	"103°31'19"""	Zapopan	AAT1412000676	11556			326110	Articulos y productos plasticos	Produccion de telas y laminados plasticos	653882.2297	2292895.4064
VENTA DE AUTOMOVILES Y REFACCIONES SERVICIO DE MANTTO. AUTOMOTRIZ LAMINADO Y PINTURA	Atributo no considerado en este año	2015	Avenida EUGENIO GARZA SADA	KE	64780	Colonia MAS PALOMAS	Hojalatería y pintura de automóviles y camiones	Atributo no considerado en este año	Atributo no considerado en este año	AUTOKAM AUTOMOTRIZ S.A. DE C.V.,	NUEVO LEON	"25°38'5"""	Monterrey	"100°16'55"""	Monterrey	AAU1903900165	3800			811121	Otros	Reparacion y mantenimiento automotriz	371287.6752	2835859.9158
