actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
Generación y transmisión de energía eléctrica	Atributo no considerado en este año	2020	Carretera  LUIS GIL PEREZ-REFORMA CHIAPAS	AD	86283	Ranchería ESTANCIA VIEJA 2DA SECCION	Generación, transmisión y distribución de energía eléctrica	Atributo no considerado en este año	Atributo no considerado en este año	ABENT 3T S.A.P.I DE C.V,ABENT 3T	TABASCO	"17°51'44"""	LUIS GIL PEREZ	"93°7'3"""	Centro	ATX2700400508	S/N 	S/N 		221110	Generación de energia electrica	Generacion y transmision de energia electrica	487545.9432	1974961.4552
FABRICACIÓN DE OTROS PRODUCTOS DE HIERRO Y ACERO DE MATERIAL COMPRADO	Atributo no considerado en este año	2020	Calle SEPTIMA AVENIDA	7I	66603		Fabricación de otros productos de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ABINSA SA DE CV,ABINSA S.A DE C.V. AB STEEL PLANTA PUEBLO NUEVO	NUEVO LEON	"25°46'0"""	CIUDAD APODACA	"100°9'18"""	Apodaca	ABI861900611	150 	 	PARQUE INDUSTRIAL MONTERREY	331220	Metalurgica (incluye la siderurgica)	Laminacion secundaria de hierro y acero	384165.297	2850372.0293
FABRICACIÓN DE PAPEL	Atributo no considerado en este año	2020	Calle BOULV. DE LOS RIOS	56	89603	Colonia PUERTO DE ALTAMIRA	Fabricación de papel a partir de pulpa	Atributo no considerado en este año	Atributo no considerado en este año	ABSORMEX CMPC TISSUE SA DE CV,ABSORMEX S.A. DE C.V.	TAMAULIPAS	"22°24'30"""	ALTAMIRA	"97°53'22"""	Altamira	IPG562800312	KM.4.5 	 		322122	Celulosa y papel	Produccion de papel	614297.0173	2478456.2263
ACABADOS DE SUPERFICIES METÁLICAS	Atributo no considerado en este año	2020	Calle KM. 3  CARR. TECATE-ENSENADA	8A	21482	Colonia MACLOVIO HERRERA	Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS DE CALIDAD TECATE SA DE CV,ACABADOS DE CALIDAD TECATE, S.A. DE C.V.	BAJA CALIFORNIA	"32°32'53"""	TECATE	"116°37'28"""	Tecate	ACT7X0200311	S/N 	 		332810	Quimica	Galvanoplastia	535245.451	3601273.961
ACABADO DE PRODUCTOS TEXTILES	Atributo no considerado en este año	2020	Carretera PUEBLA-TLAXCALA ANTIGUA	3K	72100	Colonia SAN JERONIMO CALERAS	Acabado de productos textiles	Atributo no considerado en este año	Atributo no considerado en este año	ACABADOS RIO TEJO, S.A. DE C.V.,	PUEBLA	"19°6'38"""	HEROICA PUEBLA DE ZARAGOZA	"98°13'42"""	Puebla	ART2111400386	5003 	A 		313310	Textiles, fibras e hilos	Acabado de fibras, hilos, hilados y telas textiles	581148.3841	2113256.3667
Comercio al por menor de automóviles y camionetas nuevos / Servicio de mantto. Automotriz	Atributo no considerado en este año	2020	Calzada  DEL VALLE	KE	66220	Colonia DEL VALLE	Comercio al por menor de automóviles y camionetas nuevos	Atributo no considerado en este año	Atributo no considerado en este año	ACCESO AUTOMOTRIZ SA DE CV,AUDI CALZADA DEL VALLE	NUEVO LEON	"25°39'21"""	SAN PEDRO GARZA GARCIA	"100°21'59"""	San Pedro Garza Garcia	AAUEE1901911	340 OTE 	 		468111	Otros	Reparacion y mantenimiento automotriz	362826.2733	2838279.078
Fabricación de ruedas de acero y aluminio	Atributo no considerado en este año	2020	Calle AV. NORTEAMERICA	9M	65550		Fabricación de productos metálicos forjados y troquelados	Atributo no considerado en este año	Atributo no considerado en este año	ACCURIDE DE MÉXICO, S.A. DE C.V.,PLANTA CIÉNEGA DE FLORES	NUEVO LEON	"25°56'53"""	CIENEGA DE FLORES	"100°13'44"""	Cienega de Flores	AME1901200031	301 	 	Parque Industrial Las Américas	332110	Automotriz	Produccion de otras auto partes	376944.1371	2870510.7966
Fabricación y ensamble de correderas metálicas para cajones	Atributo no considerado en este año	2020	Calle CIRCUITO NORTE	8A	21395		Recubrimientos y terminados metálicos	Atributo no considerado en este año	Atributo no considerado en este año	ACCURIDE INTERNATIONAL S.A. DE C.V.,	BAJA CALIFORNIA	"32°35'8"""	MEXICALI	"115°22'42"""	Mexicali	AINNG0200211	6 	 	NELSON	332810	Quimica	Galvanoplastia	652195.7054	3606523.9715
FABRICACION DE ACEITES COMESTIBLES	Atributo no considerado en este año	2020	Calle 17	MC	97288	Colonia CD. INDUSTRIAL	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ACEITERA DEL GOLFO S.A. DE C.V.,	YUCATAN	"20°55'59"""	MERIDA	"89°40'47"""	Merida	AGOMC3105011	407-B Bis	 		311222	Quimica	Fabricacion de aceites y grasas alimenticias	221299.6514	2317082.3871
Extracción de aceite de palma africana	Atributo no considerado en este año	2020	Calle KM 1.5	64	96000	Colonia AGRÍCOLA MICHAPAN	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ACEITES DE PALMA, SA DE CV,ACEITES DE PALMA S.A. DE C.V.	VERACRUZ	"18°2'55"""	ACAYUCAN	"94°54'54"""	Acayucan	APA1Z3000311	SN 	 		311222	Quimica	Produccion de aceites esenciales	297273.7626	1996642.1087
Elaboración de aceites y grasas Y vegetales comestibles 	Atributo no considerado en este año	2020	Calle AV EJE NORTE SUR	MC	58200	Colonia CIUDAD INDUSTRIAL	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ACEITES ESPECIALES TH SA DE CV,ACEITES ESPECIALES TH S.A. DE C.V.	MICHOACAN	"19°43'41"""	MORELIA	"101°8'46"""	Morelia	AET1605300706	451 	 		311222	Quimica	Fabricacion de aceites y grasas alimenticias	275069.209	2182838.824
FABRICACIÓN DE ACEITES Y MANTECAS VEGETALES COMESTIBLES Y SUS DERIVADOS	Atributo no considerado en este año	2020	Avenida VALLARTA	MC	45120	Colonia JUAN MANUEL VALLARTA	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ACEITES, GRASAS Y DERIVADOS, S.A. DE C.V.,AGYDSA	JALISCO	"20°40'36"""	ZAPOPAN	"103°24'37"""	Zapopan	AGDMC1412011	5106 	 		311222	Quimica	Fabricacion de aceites y grasas alimenticias	665571.1629	2287179.5248
PRODUCCION DE GRASAS, ACEITES COMESTIBLES Y JABONES	Atributo no considerado en este año	2020	Avenida Talisman	64	07470	Colonia AMPLIACION SAN JUAN DE ARAGON	Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	ACEITES Y JABONES, S.A. DE C.V.,	DISTRITO FEDERAL	"19°30'39"""	GUSTAVO A. MADERO	"99°7'3"""	Gustavo A. Madero	AJA0900500338	284 	 		325999	Quimica	Produccion de aceites esenciales	487667.6867	2157385.6488
FUNDICION Y MOLDEO DE PIEZAS DE HIERRO Y ACERO	Atributo no considerado en este año	2020	Calle CAMINO A SAN PEDRO AHUACATLAN	7T	76803		Moldeo por fundición de piezas de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ACERLAN MATRIX METALS S.A. DE C.V.,ACERLAN MATRIX METALS S.A. DE C.V.	QUERETARO	"20°25'15"""	SAN JUAN DEL RIO	"99°58'49"""	San Juan del Rio	ACE7T2201611	3 	 	Valle de Oro	331510	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de hierro y acero	397704.4675	2258374.7802
PRODUCCIÓN DE ALAMBRE Y CABLE	Atributo no considerado en este año	2020	Calle KM. 17.5 CARR. TLALNEPANTLA-CUAUTITLAN	7F	54879	Colonia EL PILAR	Fabricación de alambre, productos de alambre y resortes	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS CAMESA, S.A. DE C.V.,	MEXICO	"19°39'13"""	CUAUTITLAN	"99°10'58"""	Cuautitlan	ACA8A1502411	S/N 	 		332610	Metalurgica (incluye la siderurgica)	Laminacion primaria de hierro y acero	480818.0088	2173184.2009
Fabricación de alambre, productos de alambre y resortes	Atributo no considerado en este año	2020	Calle AV. MARGARITA MAZA DE JUAREZ	7F	07700	Colonia NUEVA INDUSTRIAL VALLEJO	Fabricación de alambre, productos de alambre y resortes	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS CAMESA, S.A. DE C.V.,CAMESA	DISTRITO FEDERAL	"19°30'27"""	GUSTAVO A. MADERO	"99°9'12"""	Gustavo A. Madero	ACA910900511	159 	 		332610	Metalurgica (incluye la siderurgica)	Laminacion primaria de hierro y acero	483907.8116	2157014.421
Fundición y Laminación de Hierro y Acero	Atributo no considerado en este año	2020	Avenida LA PRESA	7F	54187	Colonia FRACCIONAMIENTO INDUSTRIAL LA PRESA	Moldeo por fundición de piezas de hierro y acero	Atributo no considerado en este año	Atributo no considerado en este año	ACEROS CORSA S.A. DE C.V.,GERDAU CORSA	MEXICO	"19°31'11"""	TLALNEPANTLA	"99°7'27"""	Tlalnepantla de Baz	ACO7F1510411	2 	 		331510	Metalurgica (incluye la siderurgica)	Laminacion primaria de hierro y acero	486970.3885	2158357.6837
TRATAMIENTO TÉRMICO DE PIEZAS METÁLICAS CON COMBUSTIBLES FÓSILES; NO INCLUYE LA MICROINDUS	Atributo no considerado en este año	2020	Calle AV. LAS AMERICAS	MD	67130	Colonia INDUSTRIAL AMERICAS	Fabricación de otras partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	ACS INTERNACIONAL S DE R.L. DE C.V.,PLANTA LAS AMÉRICAS	NUEVO LEON	"25°41'48"""	GUADALUPE	"100°14'45"""	Guadalupe	AINMD1902611	601 	 		336390	Metalurgica (incluye la siderurgica)	Tratamiento termico de piezas metalicas	374993.0855	2842701.4379
AFINACION Y REFINACION DE ALAMBRE (ASI COMO SUS ALEACIONES, INCLUYENDO EXTRUSION)	Atributo no considerado en este año	2020	Calle AVENIDA RUIZ CORTINEZ	7L	64400	Colonia ESTRELLA	Fabricación de alambre, productos de alambre y resortes	Atributo no considerado en este año	Atributo no considerado en este año	ACS INTERNACIONAL S DE R.L. DE C.V.,PLANTA RUIZ CORTINES	NUEVO LEON	"25°42'16"""	MONTERREY	"100°19'49"""	Monterrey	AIN7N1903911	1855 PTE. 	S/N 		332610	Metalurgica (incluye la siderurgica)	Afinacion y refinacion de otros metales no ferrosos	366503.1848	2843656.5775
FABRICACION DE HARINA Y BIODISEL	Atributo no considerado en este año	2020	Camino vecinal al ejido bajo Amacohite	20	29550	Ejido Bajo Amacohite	Preparación y envasado de pescados y mariscos	Atributo no considerado en este año	Atributo no considerado en este año	ACUAGRANJAS DOS LAGOS SA DE CV,ACUAGRANJA DOS LAGOS SA DE CV	CHIAPAS	"17°31'22"""	OSTUACAN	"93°29'39"""	Ostuacan	ADLSE0706211	SN 	 		311710	Alimenticio y/o de consumo humano	Secado, salado y harinas de pescados y mariscos	447538.8616	1937487.6606
SERVICIOS DE CONSERVACIÓN Y EXHIBICIÓN DE ESPECIES	Atributo no considerado en este año	2020	Boulevard  MANUEL AVILA CAMACHO	T1	91900	Colonia RICARDO FLORES MAGON	Jardines botánicos y zoológicos del sector privado	Atributo no considerado en este año	Atributo no considerado en este año	ACUARIO DE VERACRUZ, A.C.,ACUARIO DE VERACRUZ	VERACRUZ	"19°11'13"""	VERACRUZ	"96°7'21"""	Veracruz	AVESY3019311	S/N 	 		712131	Otros	Registro de colecciones de vida silvestre	802588.5959	2124038.1447
ENSAMBLE Y PINTURA DE COMPONENTES Y SISSTEMAS DE ILUMINACIÓN	Atributo no considerado en este año	2020	Calle URANIO	92	67205		Fabricación de focos	Atributo no considerado en este año	Atributo no considerado en este año	ACUITY BRANDS LIGHTING DE MEXICO S DE RL DE CV,ACUITY BRANDS LIGHTING DE MÉXICO, S. DE R.L. DE C.V.	NUEVO LEON	"25°39'57"""	LAS ESCOBAS	"100°9'15"""	Guadalupe	ABL1902600106	704 	 	PARQUE KALOS DE GUADALUPE	335110	Equipos y articulos electronicos, electricos y domesticos	Produccion de focos y tubos de iluminacion	384151.6988	2839210.2649
FABRICACIÓN DE ACUMULADORES Y PILAS 	Atributo no considerado en este año	2020	Calle CARRETERA A PESQUERIA KM. 1	8Z	66650	Colonia LADRILLERA	Fabricación de acumuladores y pilas	Atributo no considerado en este año	Atributo no considerado en este año	ACUMULADORES OMEGA SA DE CV,ACUMULADORES OMEGA	NUEVO LEON	"25°48'3"""	PESQUERIA	"100°5'57"""	Pesqueria	AOM8Z1904111	S/N 	S/N 		335910	Metalurgica (incluye la siderurgica)	Produccion de acumuladores y pilas electricas	389807.2527	2854110.0384
MANUFACTURA	Atributo no considerado en este año	2020	Avenida VALLE DEL CEDRO	91	32574		Fabricación de otros productos eléctricos	Atributo no considerado en este año	Atributo no considerado en este año	ADEMCO DE JUAREZ, S. DE R.L. DE C.V.,ADEMCO DE JUAREZ	CHIHUAHUA	"31°37'42"""	JUAREZ	"106°23'13"""	Juarez	AJU0803700383	1681 	 	INTERMEX	335999	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	368455.4338	3500105.0861
La producción, venta y almacenamiento de Resinas, Formol, Hexamina y Paraformol	Atributo no considerado en este año	2020	Calle CARRETERA TEXMELUCAN TLAXCALA	5Q	90120	Colonia CORREDOR INDUSTRIAL IXTACUIXTLA	Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	ADHESIVOS, S.A. DE C.V.,	TLAXCALA	"19°18'38"""	VILLA MARIANO MATAMOROS	"98°23'36"""	Ixtacuixtla de Mariano Matamoros	ADH5G2901511	KM 6.5 	 		325999	Quimica	Produccion de resinas sinteticas	563723.6322	2135318.6898
FABRICACIÓN DE OTRAS PARTES AUTOMOTRICES	Atributo no considerado en este año	2020	Calle INDUSTRIAL	MV	90850	Colonia PRIMERA	Fabricación de asientos y accesorios interiores para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	ADIENT MEXICO, S DE RL DE CV,ADIENT MEXICO, S. DE R.L. DE C.V.	TLAXCALA	"19°14'25"""	TEOLOCHOLCO	"98°12'13"""	Teolocholco	AME2902800003	S/N 	 		336360	Automotriz	Confeccion de asientos y accesorios de tela de uso automotriz	583698.683	2127629.7023
FABRICACIÓN DE ADITIVOS PARA ACEITES LUBRICANTES	Atributo no considerado en este año	2020	Calle NORTE 3	69	76806	Colonia NUEVO PARQUE INDUSTRIALSJR	Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	ADITIVOS MEXICANOS, S.A. DE C.V.,	QUERETARO	"20°22'12"""	SAN JUAN DEL RIO	"99°57'56"""	San Juan del Rio	AME692201611	13 	 		325999	Quimica	Produccion de grasas, aceites lubricantes y aditivos	399224.6144	2252723.8438
PRODUCCION DE ACEITE Y GRASAS VEGETALES	Atributo no considerado en este año	2020	Boulevard BLVD. MIGUEL ALEMAN	MC	35000	Ciudad ZONA CENTRO	Elaboración de aceites y grasas vegetales comestibles	Atributo no considerado en este año	Atributo no considerado en este año	ADM BIO PRODUCTOS, S.A. DE C.V.,ADM BIO PRODUCTOS, S.A DE C.V.	DURANGO	"25°33'13"""	GOMEZ PALACIO	"103°28'58"""	Gomez Palacio	ABPMC1000711	SN KM 11.40	 		311222	Quimica	Fabricacion de aceites y grasas alimenticias	652397.6267	2827132.419
Servicios Portuarios	Atributo no considerado en este año	2020	Boulevard INTERIOR DEL RECINTO PORTUARIO	RN	60950	Colonia CENTRO	Administración de puertos y muelles	Atributo no considerado en este año	Atributo no considerado en este año	ADMINISTRACION PORTUARIA INTEGRAL DE LAZARO CARDENAS, S.A. DE C.V.,ADMINISTRACIÓN PORTUARIA INTEGRAL DE LÁZARO CÁRDENAS SN DE CV	MICHOACAN	"17°57'52"""	CIUDAD LAZARO CARDENAS	"102°10'54"""	Lazaro Cardenas	APISH1605212	S/N 	 		488310	Otros	Puertos	798502.3182	1988534.629
FABRICACIÓN DE AUTOPARTES DE PLÁSTICO CON Y SIN REFORZAMIENTO	Atributo no considerado en este año	2020	Calle CARRETERA A MATAMOROS ENTRONQUE CON MIELERAS LOTE 11 Y 12	9M	27277	Colonia IND. LAS AMERICAS	Fabricación de autopartes de plástico con y sin reforzamiento	Atributo no considerado en este año	Atributo no considerado en este año	AEES MANUFACTURERA, S. DE R.L. DE C.V.,	COAHUILA	"25°31'44"""	TORREON	"103°21'35"""	Torreon	AFM910503511	S/N 	S/N 		326192	Automotriz	Produccion de otras auto partes	664811.9358	2824533.8334
Ensamble de arneses electricos y/o electronicos	Atributo no considerado en este año	2020	Carretera  PRESA LA AMISTAD	91	26220		Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AEES MANUFACTURERA S DE RL DE CV,	COAHUILA	"29°20'36"""	CIUDAD ACUÑA	"100°59'53"""	Acuna	AFM910500221	KM. 5.0 	 	PARQUE INDUSTRIAL AMISTAD	336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	306011.4933	3247690.1942
manufactura y ensamble de arneses y componentes electronicos automotrices	Atributo no considerado en este año	2020	Calle FRESNEL	91	32470	Colonia PARQUE IND. A.J. BERMUDEZ	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	AEES MANUFACTURERA S DE RL DE CV,	CHIHUAHUA	"31°43'28"""	JUAREZ	"106°23'45"""	Juarez	AFM910803713	7650 	 		336320	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	367737.9665	3510761.9442
Fabricación, reconstrucción, ensamble y subensamble de equipo aeroespacial, incluso motore	Atributo no considerado en este año	2020	Avenida INDUSTRIA DE LA TRANSFORMACION	9S	76220		Fabricación de equipo aeroespacial	Atributo no considerado en este año	Atributo no considerado en este año	AERNNOVA COMPONENTES MEXICO SA DE CV,AERNNOVA COMPONENTES MEXICO S.A. DE C.V.	QUERETARO	"20°49'33"""	SANTA ROSA JAUREGUI	"100°25'35"""	Queretaro	ACM7X2201411	431 	 	Querétaro	336410	Automotriz	Industria aeroespacial	351566.4873	2303556.029
Maquila de productos para el cuidado del hogar, cuidado personal 	Atributo no considerado en este año	2020	Avenida San Rafael	5W	52000		Fabricación de jabones, limpiadores y dentífricos	Atributo no considerado en este año	Atributo no considerado en este año	AEROBAL S.A. DE C.V.,	MEXICO	"19°18'12"""	LERMA DE VILLADA	"99°31'39"""	Lerma	AER1505100108	12 	 	LERMA	325610	Quimica	Produccion de jabones y detergentes	444576.1777	2134482.9969
Venta de vehiculos, refacciones y mantenimiento automotriz	Atributo no considerado en este año	2020	Boulevard PUERTO AEREO 	KE	15700	Colonia FEDERAL	Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones	Atributo no considerado en este año	Atributo no considerado en este año	AEROPLASA AEROPUERTO SA DE CV,CHEVROLET AEROPUERTO	DISTRITO FEDERAL	"19°25'29"""	VENUSTIANO CARRANZA	"99°5'35"""	Venustiano Carranza	ACE0901700011	141 	 		436112	Otros	Reparacion y mantenimiento automotriz	490227.6936	2147854.074
ADMINISTRACIÓN DE AEROPUERTOS Y HELIPUERTOS	Atributo no considerado en este año	2020	Carretera  CANCUN CHETUMAL	L7	77569	Colonia AEROPUERTO CANCUN (INTERNACIONAL DE CANCUN)	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE CANCUN SA DE CV,AEROPUERTO DE CANCUN SA DE CV	QUINTANA ROO	"21°2'24"""	CANCUN	"86°52'21"""	Benito Juarez	ACARP2300511	KM 22 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	513223.3439	2326600.0324
Administración de Aeropuertos y Helipuertos 	Atributo no considerado en este año	2020	Boulevard JUAN PABLO II KM. 14	L7	31390	Colonia AEROPUERTO	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE CHIHUAHUA S.A DE C.V,AEROPUERTO DE CHIHUAHUA	CHIHUAHUA	"28°42'8"""	CHIHUAHUA	"105°57'47"""	Chihuahua	ACIRP0801911	S/N 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	405924.9234	3175401.9614
Servicios aeroportuarios	Atributo no considerado en este año	2020	Calle KM.17.5 CARRET. GUADALAJARA CHAPALA	L7	45659	Aeropuerto Aeropuerto Internacional de Guadalajara	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE GUADALAJARA S.A. DE C.V.,AEROPUERTO INTERNACIONAL DON MIGUEL HIDALGO Y COSTILLA	JALISCO	"20°31'31"""	TLAJOMULCO DE ZUÑIGA	"103°18'19"""	Tlajomulco de Zuniga	AGUL71409711	S/N 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	676683.7036	2270535.2716
PRESTACION DE SERVICIOS AEROPORTUARIOS	Atributo no considerado en este año	2020	Calle CARRETERA INTERNACIONAL AL SUR	L7	82269	Colonia MAZATLAN (GRAL. RAFAEL BUELNA)	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE MAZATLAN, S.A. DE C.V.,	SINALOA	"23°9'59"""	MAZATLAN	"106°16'14"""	Mazatlan	AMARP2501211	S/N 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	369930.5356	2562509.1297
Servicios de administración de aeropuertos y helipuertos 	Atributo no considerado en este año	2020	Carretera  Miguel Alemán	L7	66600	Aeropuerto APODACA CENTRO	Administración de aeropuertos y helipuertos	Atributo no considerado en este año	Atributo no considerado en este año	AEROPUERTO DE MONTERREY, S.A. DE C.V.,	NUEVO LEON	"25°46'35"""	CIUDAD APODACA	"100°6'50"""	Apodaca	AMO1900600139	KM 24 	 		488112	Otros	Servicios de administracion de aeropuertos y helipuertos	388306.1141	2851402.3063
