actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
ELABORACIÓN DE GRASAS Y ACEITES  VEGETALES COMESTIBLES	Atributo no considerado en este año	2020	Avenida AV. HEROES DE NOCUPETARO	MB	58130	Colonia INDUSTRIAL	Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	AAK MEXICO S.A. DE C.V.,AAK MÉXICO	MICHOACAN	"19°42'25"""	MORELIA	"101°11'57"""	Morelia	AMEMC1605311	1022 	 		325999	Quimica	Produccion de substancias quimicas a partir de mezclas 	269485.8945	2180573.9381
FABRICACIÓN DE PARTES PARA EL SISTEMA DE TRANSMISIÓN AUTOMOTRIZ 	Atributo no considerado en este año	2020	Calle PASEO DE LOS INDUSTRIALES PONIENTE	9J	36100		Fabricación de otras partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	AAM MAQUILADORA MEXICO S DE RL DE CV,PLANTA 6	GUANAJUATO	"21°0'37"""	SILAO DE LA VICTORIA	"101°31'48"""	Silao	AMM1103700160	1200 	 	PARQUE INDUSTRIAL FIPASI SILAO	336390	Automotriz	Produccion de partes para el sistema de transmision automotriz	237012.4505	2325398.098
PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN	Atributo no considerado en este año	2020	Carretera  CARR. FEDERAL IZUCAR -ATENCINGO 	2A	74590	Colonia ATZALA	Elaboración de levadura	Atributo no considerado en este año	Atributo no considerado en este año	AB CALSA S.A. DE C.V.,	PUEBLA	"18°32'39"""	ATZALA	"98°33'11"""	Atzala	ACABF2102111	S/N 	 		311992	Alimenticio y/o de consumo humano	Panaderias	547151.5808	2050450.2697
PRODUCCIÓN DE LEVADURA PARA PANIFICACIÓN	Atributo no considerado en este año	2020	Carretera  LA TINAJA-CORDOBA	2A	94910	Rancho El limón	Panificación industrial	Atributo no considerado en este año	Atributo no considerado en este año	AB CALSA S.A. DE C.V.,	VERACRUZ	"18°44'36"""	CUITLAHUAC	"96°33'20"""	Cuitlahuac	ACAS73005311	KM 49 	 		311811	Alimenticio y/o de consumo humano	Panaderias	757728.3899	2074201.9749
Industria Maquiladora, Manufactura de componentes y conexiones electricas	Atributo no considerado en este año	2020	Calle Profesor Rodolfo Gonzalez (Bodegas 1,2,3,4), Col. Jardines de la Victoria	86	67119		Maquinado de piezas metálicas para maquinaria y equipo en general	Atributo no considerado en este año	Atributo no considerado en este año	ABB INSTALLATION PRODUCTS MONTERREY, S. DE R.L. DE C.V., PTA. BLACKBURN,	NUEVO LEON	"25°42'12"""	GUADALUPE	"100°13'25"""	Guadalupe	TBM911902611	100 	 	Parque Industrial KALOS, Bodega # 2	332710	Articulos y productos metalicos	Fabricacion de articulos maquinados	377216.171	2843427.8729
Inyección de plastico	Atributo no considerado en este año	2020	Boulevard MILENIUM	6E	66626		Fabricación de otros productos de plástico de uso industrial sin reforzamiento	Atributo no considerado en este año	Atributo no considerado en este año	ABB INSTALLATION PRODUCTS MONTRREY, DE R.L. DE C.V. PLANTA APODACA,	NUEVO LEON	"25°45'22"""	CIUDAD APODACA	"100°8'15"""	Apodaca	TBM1900600314	6001 	A 	PARQUE INDUSTRIAL MILENIUM	326194	Articulos y productos plasticos	Fabricacion de productos y articulos de plastico	385914.417	2849173.0715
Fundición e Inyección de Aluminio y ZAMAK	Atributo no considerado en este año	2020	Calle Profesor Rodolfo González  (Parque KALOS)	7Q	67110		Maquinado de piezas metálicas para maquinaria y equipo en general	Atributo no considerado en este año	Atributo no considerado en este año	ABB INSTALLATION PRODUCTS PROCESOS DE MANUFACTURA, S. DE R.L. DE C.V.,	NUEVO LEON	"25°40'56"""	GUADALUPE	"100°12'28"""	Guadalupe	T&B1902600103	100 NA	NA NA	Parque Industrial KALOS	332710	Metalurgica (incluye la siderurgica)	Afinacion y laminacion de aluminio	378776.6569	2841056.2026
Manufactura de equipos eléctricos 	Atributo no considerado en este año	2020	Calle AVDA. CENTRAL	91	78395		Fabricación de otros productos eléctricos	Atributo no considerado en este año	Atributo no considerado en este año	ABB MEXICO  S.A DE C.V.,	SAN LUIS POTOSI	"22°1'42"""	LA PILA	"100°53'25"""	San Luis Potosi	AME912402811	NO.310 	 	ZONA INDUSTRIAL [78395]	335999	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	304869.0401	2437195.2157
Fabricación de productos farmacéuticos y medicamentos.	Atributo no considerado en este año	2020	Calle CALZ. DE TLALPAN	5T	04980	Colonia EXHACIENDA COAPA	Fabricación de preparaciones farmacéuticas	Atributo no considerado en este año	Atributo no considerado en este año	ABBOTT LABORATORIES DE MEXICO SA DE CV,	DISTRITO FEDERAL	"19°18'36"""	COYOACAN	"99°8'27"""	Coyoacan	ALM5T0900322	3092 	 		325412	Quimica	Produccion de farmaceuticos y medicamentos	485194.9668	2135164.5169
FABRICACIÓN DE PARTES PLÁSTICAS PARA LA INDUSTRIA AUTOMOTRIZ	Atributo no considerado en este año	2020	Calle RARAMURIS	9M	76806		Fabricación de autopartes de plástico con y sin reforzamiento	Atributo no considerado en este año	Atributo no considerado en este año	ABC INOAC DE MEXICO S.A. DE C.V.,ABC INOAC DE MÉXICO, S.A. DE C.V.	QUERETARO	"20°21'55"""	SAN JUAN DEL RIO	"99°57'10"""	San Juan del Rio	AIM2201600336	3 	 	PARQUE INDUSTRIAL NUEVO SAN JUAN	326192	Automotriz	Produccion de otras auto partes	400561.9585	2252208.4303
