CLEE,Name,Stratum,Entity,Municipality,Locality,AGEB,rdate,NAICSCode,NAICSName,Latitude,Longitude
08032212222000071000055042M6,OFICINA CONTABLE,0 a 5 personas,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,458,2020-11,212222,Minería de plata,26.9270518,-105.65909276
08032212222000085000000000U0,TRANSFORMACIONES Y SERVICIOS METALURGICOS,51 a 100 personas,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,621,2022-11,212222,Minería de plata,26.92544589,-105.7051328
08032212222000094000000000U2,MINA EL ARBOLITO,31 a 50 personas,Chihuahua,Hidalgo del Parral,El Arbolito,922,2022-11,212222,Minería de plata,26.95472271,-105.7106451
08032212222000101000000000U5,MINA LA CASUALIDAD,0 a 5 personas,Chihuahua,Hidalgo del Parral,La Esmeralda,941,2022-11,212222,Minería de plata,26.92949948,-105.7090122
08032212231000021000055039S6,MINA DIABRAS UNIDAD MALPASO,0 a 5 personas,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,509,2022-11,212231,Minería de cobre,26.93821063,-105.6660974
08032212232000012000000000U3,MINA VIRGO,11 a 30 personas,Chihuahua,Hidalgo del Parral,Ánimas de Arriba,937,2011-03,212232,Minería de plomo y zinc,26.98913861,-105.64598833
08032212232000023010000000U0,"MINERALES VESPER, S.A. DE C.V.",11 a 30 personas,Chihuahua,Hidalgo del Parral,Vesper,937,2012-06,212222,Minería de plata,26.98592528,-105.64119333
08032212232000033000000000U9,MINERA MARTES 13,11 a 30 personas,Chihuahua,Hidalgo del Parral,La Palma,941,2016-10,212232,Minería de plomo y zinc,26.95491361,-105.70075278
08032212232000061000017291S6,MINERA FRESNILLO .A.DE C.V.,0 a 5 personas,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,443,2020-11,212232,Minería de plomo y zinc,26.92758369,-105.64959615
08032212232000074000000000U0,GRUPO GORMINMET,31 a 50 personas,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,1460,2020-11,212232,Minería de plomo y zinc,26.98115203,-105.66362476
08032213119000021000002368S2,TALLER CENTRAL,51 a 100 personas,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,509,2010-07,212232,Minería de plomo y zinc,26.94139242,-105.66811106
08032213119000051011000000U9,TOMBSTONE EXPLORATION DE MEXICO S.A. DE C.V.,31 a 50 personas,Chihuahua,Hidalgo del Parral,Hidalgo del Parral,373,2010-07,212231,Minería de cobre,26.93333324,-105.67041882
08044212222000014000000000U5,JOAQUIN ROLANDO CHAVEZ GONZALEZ,31 a 50 personas,Chihuahua,Matamoros,San Martín,209,2010-07,212222,Minería de plata,26.72406232,-105.68918372
08044212232000015001000000U1,CONTRATISTAS DE OBRA MINERA SA DE CV,31 a 50 personas,Chihuahua,Matamoros,Mariano Matamoros,302,2010-07,212222,Minería de plata,26.77039687,-105.59199689
08044212232000023000000000U5,TRANSFORMACIONES Y SERVICIOS METALURGICOS,11 a 30 personas,Chihuahua,Matamoros,Peinado,209,2022-11,212232,Minería de plomo y zinc,26.74275365,-105.6363591
