	cas	sustancia	grupo	iarc	silentsprint
64	7761-88-8	Nitrato de plata		No aparece en el listado	No aparece en el listado
65	115-29-7	Endosulfan	Plaguicidas	No aparece en el listado	No aparece en el listado
66	50-32-8	Benzo(a)pireno		1	Product of combustion
67	10102-44-0	Bióxido de nitrógeno	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
68	98-82-8	Cumeno		2B	No aparece en el listado
69	57-12-5	Cianuro inorgánico/orgánico	Otras sustancias RETC	No aparece en el listado	No aparece en el listado
70	79-01-6	Tricloroetileno	Hidrocarburos Aromáticos y Alifáticos	1	No aparece en el listado
71	S/C9	Perfluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
72	84-74-2	Dibutilftalato	Hidrocarburos Aromáticos y Alifáticos	No aparece en el listado	No aparece en el listado
73	108-88-3	Tolueno		3	No aparece en el listado
74	50-00-0	Formaldehido	Otras sustancias RETC	1	No aparece en el listado
75	193-39-5	Indeno(1,2,3-c,d)pireno		2B	No aparece en el listado
76	8001-35-2	Toxafeno	Compuestos Orgánicos Persistentes (COP)	2B	No aparece en el listado
77	S/C6	Plomo (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
78	4098-71-9	Diisocianato de isoforona		No aparece en el listado	No aparece en el listado
79	PCDFs	Furanos	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado
80	107-02-8	Acroleina	Otras sustancias RETC	2A	No aparece en el listado
81	79-06-1	Acrilamina	Otras sustancias RETC	2A	Industrial chemicals
82	2921-88-2	Clorpirifos		No aparece en el listado	No aparece en el listado
83	71-43-2	Benceno	Hidrocarburos Aromáticos y Alifáticos	1	Industrial chemicals
84	76-44-8	Heptacloro	Compuestos Orgánicos Persistentes (COP)	2B	No aparece en el listado
85	91-59-8	Beta-naftalina	Hidrocarburos Aromáticos y Alifáticos	1	No aparece en el listado
86	75-09-2	Cloruro de metileno	Sustancias Organohalogenadas	2A	Chlorinated solvent
87	67-72-1	Hexacloroetano	Sustancias Organohalogenadas	2B	No aparece en el listado
88	106-46-7	1,4-Diclorobenceno	Sustancias Organohalogenadas	2B	No aparece en el listado
89	1330-20-7	Xileno (mezcla de isómeros)		3	No aparece en el listado
90	123-91-1	Dioxano	Otras sustancias RETC	2B	Industrial chemicals
91	2551-62-4	Hexafluoruro de azufre	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
92	7440-38-2	Arsénico	Metales y sus Compuestos	1	No aparece en el listado
93	106-99-0	Butadieno	Otras sustancias RETC	1	Industrial chemicals
94	S/C8	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
95	1330-78-5	Fosfato de tris(metilfenilo)		No aparece en el listado	No aparece en el listado
96	108-05-4	Acetato de vinilo		2B	No aparece en el listado
97	72-43-5	Metoxicloro	Plaguicidas	3	No aparece en el listado
98	10024-97-2	Oxido nitroso	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
99	9016-87-9	Diisocianato de difenilmetano polimérico	Sustancias Organohalogenadas	3	No aparece en el listado
100	74-87-3	Clorometano	Sustancias Organohalogenadas	3	No aparece en el listado
101	75-71-8	Diclorodifluorometano (CFC-12)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
102	7440-02-0	Níquel (polvos respirables, humos o vapores)	Metales y sus Compuestos	2B	No aparece en el listado
103	74-90-8	Cianuro de hidrógeno		No aparece en el listado	No aparece en el listado
104	26471-62-5	Tolueno diisocianato	Hidrocarburos Aromáticos y Alifáticos	2B	Industrial chemicals
105	1763-23-1	Ácido sulfónico de perfluorooctano y sus sales		No aparece en el listado	No aparece en el listado
106	1897-45-6	Clorotalonil		2B	No aparece en el listado
107	57-74-9	Clordano	Compuestos Orgánicos Persistentes (COP)	2B	No aparece en el listado
108	92-67-1	4-Amino difenilo	Hidrocarburos Aromáticos y Alifáticos	1	Dyes
109	118-74-1	Hexaclorobenceno	Compuestos Orgánicos Persistentes (COP)	2B	No aparece en el listado
110	94-75-7	Acido 2,4 Diclorofenoxiacetico	Plaguicidas	2B	No aparece en el listado
111	7783-06-4	Acido sulfhídrico	Otras sustancias RETC	No aparece en el listado	No aparece en el listado
112	110-86-1	Piridina	Hidrocarburos Aromáticos y Alifáticos	2B	No aparece en el listado
113	Cd	Cadmio (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
114	205-99-2	Benzo(b)fluoranteno		2B	No aparece en el listado
115	106-89-8	Epiclorhidrina	Sustancias Organohalogenadas	2A	No aparece en el listado
116	542-88-1	Eter bis-cloro metilico	Sustancias Organohalogenadas	1	No aparece en el listado
117	S/C2	Cadmio (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
118	S/C7	Hidrobromofluorocarbonos	Gases de Efecto Invernadero (GEI)	No aparece en el listado	No aparece en el listado
119	1309-64-4	Antimonio trióxido		No aparece en el listado	No aparece en el listado
120	101-68-8	Metileno bis(fenilisocianato)		3	No aparece en el listado
121	306-83-2	2,2-Dicloro-1,1,1-Trifluoroetano (HCFC-123)	Sustancias Agotadoras de la Capa de Ozono	No aparece en el listado	No aparece en el listado
122	106-51-4	P-benzoquinona		3	No aparece en el listado
123	7439-92-1	Plomo (polvos respirables, humos o vapores)		2B	No aparece en el listado
124	126-72-7	Fosfato de tris(2,3-dibromopropilo)		2A	No aparece en el listado
125	Cr	Cromo (compuestos)	Metales y sus Compuestos	No aparece en el listado	No aparece en el listado
126	107-06-2	1,2,-Dicloroetano	Sustancias Organohalogenadas	2B	Chlorinated solvent
127	75-21-8	Oxido de etileno		1	Industrial chemicals
128	1336-36-3	Bifenilos policlorados	Compuestos Orgánicos Persistentes (COP)	1	No aparece en el listado
129	67-66-3	Cloroformo	Sustancias Organohalogenadas	2B	No aparece en el listado
130	75-07-0	Acetaldehido	Otras sustancias RETC	2B	No aparece en el listado
131	120-82-1	Triclorobenceno	Hidrocarburos Aromáticos y Alifáticos	No aparece en el listado	No aparece en el listado
132	79-34-5	1,1,2,2-Tetracloroetano	Sustancias Organohalogenadas	2B	No aparece en el listado
133	72-02-8	Endrin	Compuestos Orgánicos Persistentes (COP)	No aparece en el listado	No aparece en el listado
134	79-46-9	2-Nitropropano	Otras sustancias RETC	2B	No aparece en el listado
135	7440-43-9	Cadmio	Metales y sus Compuestos	1	No aparece en el listado
136	81-81-2	Warfarina	Plaguicidas	No aparece en el listado	No aparece en el listado
