	cas	sustancia	grupo	iarc
74	50-00-0	Formaldehido	Otras sustancias RETC	Ejemplo 74
75	193-39-5	Indeno(1,2,3-c,d)pireno		Ejemplo 75
76	8001-35-2	Toxafeno	Compuestos Orgánicos Persistentes (COP)	Ejemplo 76
77	S/C6	Plomo (compuestos)	Metales y sus Compuestos	Ejemplo 77
78	4098-71-9	Diisocianato de isoforona		Ejemplo 78
79	PCDFs	Furanos	Compuestos Orgánicos Persistentes (COP)	Ejemplo 79
80	107-02-8	Acroleina	Otras sustancias RETC	Ejemplo 80
81	79-06-1	Acrilamina	Otras sustancias RETC	Ejemplo 81
82	2921-88-2	Clorpirifos		Ejemplo 82
83	71-43-2	Benceno	Hidrocarburos Aromáticos y Alifáticos	Ejemplo 83
84	76-44-8	Heptacloro	Compuestos Orgánicos Persistentes (COP)	Ejemplo 84
85	91-59-8	Beta-naftalina	Hidrocarburos Aromáticos y Alifáticos	Ejemplo 85
86	75-09-2	Cloruro de metileno	Sustancias Organohalogenadas	Ejemplo 86
87	67-72-1	Hexacloroetano	Sustancias Organohalogenadas	Ejemplo 87
88	106-46-7	1,4-Diclorobenceno	Sustancias Organohalogenadas	Ejemplo 88
89	1330-20-7	Xileno (mezcla de isómeros)		Ejemplo 89
90	123-91-1	Dioxano	Otras sustancias RETC	Ejemplo 90
91	2551-62-4	Hexafluoruro de azufre	Gases de Efecto Invernadero (GEI)	Ejemplo 91
92	7440-38-2	Arsénico	Metales y sus Compuestos	Ejemplo 92
93	106-99-0	Butadieno	Otras sustancias RETC	Ejemplo 93
94	S/C8	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	Ejemplo 94
95	1330-78-5	Fosfato de tris(metilfenilo)		Ejemplo 95
96	108-05-4	Acetato de vinilo		Ejemplo 96
97	72-43-5	Metoxicloro	Plaguicidas	Ejemplo 97
98	10024-97-2	Oxido nitroso	Gases de Efecto Invernadero (GEI)	Ejemplo 98
99	9016-87-9	Diisocianato de difenilmetano polimérico	Sustancias Organohalogenadas	Ejemplo 99
100	74-87-3	Clorometano	Sustancias Organohalogenadas	Ejemplo 100
101	75-71-8	Diclorodifluorometano (CFC-12)	Sustancias Agotadoras de la Capa de Ozono	Ejemplo 101
102	7440-02-0	Níquel (polvos respirables, humos o vapores)	Metales y sus Compuestos	Ejemplo 102
103	74-90-8	Cianuro de hidrógeno		Ejemplo 103
104	26471-62-5	Tolueno diisocianato	Hidrocarburos Aromáticos y Alifáticos	Ejemplo 104
105	1763-23-1	Ácido sulfónico de perfluorooctano y sus sales		Ejemplo 105
106	1897-45-6	Clorotalonil		Ejemplo 106
107	57-74-9	Clordano	Compuestos Orgánicos Persistentes (COP)	Ejemplo 107
108	92-67-1	4-Amino difenilo	Hidrocarburos Aromáticos y Alifáticos	Ejemplo 108
109	118-74-1	Hexaclorobenceno	Compuestos Orgánicos Persistentes (COP)	Ejemplo 109
110	94-75-7	Acido 2,4 Diclorofenoxiacetico	Plaguicidas	Ejemplo 110
111	7783-06-4	Acido sulfhídrico	Otras sustancias RETC	Ejemplo 111
112	110-86-1	Piridina	Hidrocarburos Aromáticos y Alifáticos	Ejemplo 112
113	Cd	Cadmio (compuestos)	Metales y sus Compuestos	Ejemplo 113
114	205-99-2	Benzo(b)fluoranteno		Ejemplo 114
115	106-89-8	Epiclorhidrina	Sustancias Organohalogenadas	Ejemplo 115
116	542-88-1	Eter bis-cloro metilico	Sustancias Organohalogenadas	Ejemplo 116
117	S/C2	Cadmio (compuestos)	Metales y sus Compuestos	Ejemplo 117
118	S/C7	Hidrobromofluorocarbonos	Gases de Efecto Invernadero (GEI)	Ejemplo 118
119	1309-64-4	Antimonio trióxido		Ejemplo 119
120	101-68-8	Metileno bis(fenilisocianato)		Ejemplo 120
121	306-83-2	2,2-Dicloro-1,1,1-Trifluoroetano (HCFC-123)	Sustancias Agotadoras de la Capa de Ozono	Ejemplo 121
122	106-51-4	P-benzoquinona		Ejemplo 122
123	7439-92-1	Plomo (polvos respirables, humos o vapores)		Ejemplo 123
124	126-72-7	Fosfato de tris(2,3-dibromopropilo)		Ejemplo 124
125	Cr	Cromo (compuestos)	Metales y sus Compuestos	Ejemplo 125
126	107-06-2	1,2,-Dicloroetano	Sustancias Organohalogenadas	Ejemplo 126
127	75-21-8	Oxido de etileno		Ejemplo 127
128	1336-36-3	Bifenilos policlorados	Compuestos Orgánicos Persistentes (COP)	Ejemplo 128
129	67-66-3	Cloroformo	Sustancias Organohalogenadas	Ejemplo 129
130	75-07-0	Acetaldehido	Otras sustancias RETC	Ejemplo 130
131	120-82-1	Triclorobenceno	Hidrocarburos Aromáticos y Alifáticos	Ejemplo 131
132	79-34-5	1,1,2,2-Tetracloroetano	Sustancias Organohalogenadas	Ejemplo 132
133	72-02-8	Endrin	Compuestos Orgánicos Persistentes (COP)	Ejemplo 133
134	79-46-9	2-Nitropropano	Otras sustancias RETC	Ejemplo 134
135	7440-43-9	Cadmio	Metales y sus Compuestos	Ejemplo 135
136	81-81-2	Warfarina	Plaguicidas	Ejemplo 136
