"NRA"	"Establecimiento"	"Sector"	"Entidad Federativa"	"Municipio"	"Grupo Sustancia"	"Sustancia"	"CAS"	"Unidad"	"Aire"	"Agua"	"Suelo"	"Reutilización"	"Reciclado"	"Coprocesamiento"	"Tratamiento"	"Disposición Final"	"Alcantarillado"	"Incineración"	"Otro"
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"			0.000182903								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Mercurio"	"7439-97-6"	"kg/año"			0.0000365806								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Arsénico"	"7440-38-2"	"kg/año"			0.00034019958								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Cadmio"	"7440-43-9"	"kg/año"			0.000731612								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"			0.00182903								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"			0.002194836								
"AACL71200111"	"AEROPUERTO DE ACAPULCO, S.A. DE C.V."	"Otros"	"GUERRERO"	"Acapulco de Juarez"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"			0.00365806								
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"		0.05552									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Mercurio"	"7439-97-6"	"kg/año"		0.0016656									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Arsénico"	"7440-38-2"	"kg/año"		0.0049968									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Cadmio"	"7440-43-9"	"kg/año"		0.019432									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"		0.11104									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"		0.11104									
"AAGKE1700711"	"AUTOMOTRIZ Y AGRICOLA S.A DE C.V"	"Otros"	"MORELOS"	"Cuernavaca"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"		0.19432									
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	0.009502296										
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.008208		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.004752		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									0.0432		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									0.00432		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"									0.0003888		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"									0.216		
"AAGND0100511"	"ALAN DE AGUASCALIENTES S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"AGUASCALIENTES"	"Jesus Maria"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"									0.216		
"AAL1000700012"	"AUTOS ALAMEDA S.A. DE C.V."	"Otros"	"DURANGO"	"Gomez Palacio"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"					876						
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.76006		
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"Hidrocarburos Aromáticos y Alifáticos"	"Anilina"	"62-53-3"	"kg/año"						810					
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.076006		
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									3.8003		
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									3.8003		
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"									0.076006		
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"									3.8003		
"AAL7Q1503321"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Ecatepec de Morelos"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"									3.8003		
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"		0.532925									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"		0.554242									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"		1.598775									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"		5.32925									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"		0.042634									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"		5.32925									
"AAL7Q1510411"	"ALMEXA ALUMINIO S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tlalnepantla de Baz"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"		4.2634									
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Otros"	"Bióxido de nitrógeno"	"10102-44-0"	"kg/año"	380										
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	486.138										
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.02595		
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Gases de Efecto Invernadero"	"Metano"	"74-82-8"	"ton/año"	0.009103										
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.00282		
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									0.0282		
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									0.0705		
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"									0.00537		
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"									0.0846		
"AAL7Q1510911"	"AZINSA ALUMINIO, S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tultitlan"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"									0.2202		
"AAM9M1103711"	"AMERICAN  AXLE & MANUFACTURING S DE RL DE CV"	"Automotriz"	"GUANAJUATO"	"Silao"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	101.61										
"AAM9M1103711"	"AMERICAN  AXLE & MANUFACTURING S DE RL DE CV"	"Automotriz"	"GUANAJUATO"	"Silao"	"Metales"	"Cadmio"	"7440-43-9"	"kg/año"		9.21									
"AAM9M1103711"	"AMERICAN  AXLE & MANUFACTURING S DE RL DE CV"	"Automotriz"	"GUANAJUATO"	"Silao"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"		30.723									
"AAM9M1103711"	"AMERICAN  AXLE & MANUFACTURING S DE RL DE CV"	"Automotriz"	"GUANAJUATO"	"Silao"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"		30.723									
"AAM9M1103711"	"AMERICAN  AXLE & MANUFACTURING S DE RL DE CV"	"Automotriz"	"GUANAJUATO"	"Silao"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"		24.578	70800								
"AAN7L1510611"	"ACEROS ANGLO S.A .DE C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Toluca"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	19.20543										
"AANEE0900711"	"AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Iztapalapa"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.026724		
"AANEE0900711"	"AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Iztapalapa"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.005285		
"AANEE0900711"	"AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Iztapalapa"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									0.0262		
"AANEE0900711"	"AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Iztapalapa"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									0.0655		
"AANEE0900711"	"AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Iztapalapa"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"									0.002239		
"AANEE0900711"	"AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Iztapalapa"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"									0.12838		
"AANEE0900711"	"AUTOMOVILÍSTICA ANDRADE, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Iztapalapa"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"									0.131		
"AARKE1901911"	"ALIANZA AUTOMOTRIZ RIVERO S.A. DE C.V."	"Otros"	"NUEVO LEON"	"Monterrey"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"					52						
"AAZEE0900211"	"ANGAR AZCAPOTZALCO, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Azcapotzalco"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.01225		
"AAZEE0900211"	"ANGAR AZCAPOTZALCO, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Azcapotzalco"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.00049		
"AAZEE0900211"	"ANGAR AZCAPOTZALCO, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Azcapotzalco"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									0.0098		
"AAZEE0900211"	"ANGAR AZCAPOTZALCO, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Azcapotzalco"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									0.0245		
"AAZEE0900211"	"ANGAR AZCAPOTZALCO, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Azcapotzalco"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"									0.002254		
"AAZEE0900211"	"ANGAR AZCAPOTZALCO, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Azcapotzalco"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"									0.04802		
"AAZEE0900211"	"ANGAR AZCAPOTZALCO, S.A. DE C.V."	"Otros"	"DISTRITO FEDERAL"	"Azcapotzalco"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"									0.049		
"ABA5N1605311"	"Agroindustrias del Balsas, S.A. de C.V."	"Quimica"	"MICHOACAN"	"Lazaro Cardenas"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	222894.16										
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	1901.987										
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Otros"	"Asbesto"	"1332-21-4"	"kg/año"						96.6					
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"			0.200785								
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Mercurio"	"7439-97-6"	"kg/año"			0.003089								
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Arsénico"	"7440-38-2"	"kg/año"			1.652615								
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Cadmio"	"7440-43-9"	"kg/año"			0.03089								
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"						0.525					
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"			0.09267								
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"			0.09267								
"ABA621000711"	"AUSTIN BACIS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"			0.03089								
"ABA6E1505111"	"ABA S.A. DE C.V."	"Articulos y productos plasticos"	"MEXICO"	"Lerma"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.01271528		
"ABA6E1505111"	"ABA S.A. DE C.V."	"Articulos y productos plasticos"	"MEXICO"	"Lerma"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.006993404		
"ABA6E1505111"	"ABA S.A. DE C.V."	"Articulos y productos plasticos"	"MEXICO"	"Lerma"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									0.317882		
"ABA6E1505111"	"ABA S.A. DE C.V."	"Articulos y productos plasticos"	"MEXICO"	"Lerma"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									0.158941		
"ABA6E1505111"	"ABA S.A. DE C.V."	"Articulos y productos plasticos"	"MEXICO"	"Lerma"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"									0.0158941		
"ABA6E1505111"	"ABA S.A. DE C.V."	"Articulos y productos plasticos"	"MEXICO"	"Lerma"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"									0.317882		
"ABA6E1505111"	"ABA S.A. DE C.V."	"Articulos y productos plasticos"	"MEXICO"	"Lerma"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"									0.953646		
"ABC8A0200411"	"ALUMINIO DE BAJA CALIFORNIA S.A. DE C.V."	"Quimica"	"BAJA CALIFORNIA"	"Tijuana"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	1831.315										
"ABC8A0200411"	"ALUMINIO DE BAJA CALIFORNIA S.A. DE C.V."	"Quimica"	"BAJA CALIFORNIA"	"Tijuana"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"		2.046									
"ABC8A0200411"	"ALUMINIO DE BAJA CALIFORNIA S.A. DE C.V."	"Quimica"	"BAJA CALIFORNIA"	"Tijuana"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"		16.28	8.14								
"ABE5Q1507011"	"ACABADOS BETA S.A"	"Quimica"	"MEXICO"	"La Paz"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"											0.0345634
"ABE5Q1507011"	"ACABADOS BETA S.A"	"Quimica"	"MEXICO"	"La Paz"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"											0.00345634
"ABE5Q1507011"	"ACABADOS BETA S.A"	"Quimica"	"MEXICO"	"La Paz"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"											0.172817
"ABE5Q1507011"	"ACABADOS BETA S.A"	"Quimica"	"MEXICO"	"La Paz"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"											0.08468033
"ABE5Q1507011"	"ACABADOS BETA S.A"	"Quimica"	"MEXICO"	"La Paz"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"											0.003456
"ABE5Q1507011"	"ACABADOS BETA S.A"	"Quimica"	"MEXICO"	"La Paz"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"											0.172817
"ABE5Q1507011"	"ACABADOS BETA S.A"	"Quimica"	"MEXICO"	"La Paz"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"											0.172817
"ABFLJ1508111"	"Aleaciones de Bronces Finos, S.A. de C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tecamac"	"Otros"	"Bióxido de nitrógeno"	"10102-44-0"	"kg/año"	489.59										
"ABFLJ1508111"	"Aleaciones de Bronces Finos, S.A. de C.V."	"Metalurgica (incluye la siderurgica)"	"MEXICO"	"Tecamac"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	539.76										
"ABI861900611"	"ABINSA S.A. DE C.V. AB STEEL Planta Pueblo Nuevo"	"Articulos y productos metalicos"	"NUEVO LEON"	"Apodaca"	"Metales"	"Mercurio"	"7439-97-6"	"kg/año"								0.000775			
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	54.69										
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.20844		
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Metales"	"Mercurio"	"7439-97-6"	"kg/año"								117.3			
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Metales"	"Arsénico"	"7440-38-2"	"kg/año"									17.2		
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.20844		
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									0.62532		
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									0.41688		
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Metales"	"Mercurio (compuestos)"	"S/C4"	"kg/año"									0.020844		
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"									2.0844		
"ABL921902611"	"ACUITY BRANDS LIGHTING DE MÉXICO, S.A DE R.L. DE C.V., PLANTA GUADALUPE"	"Equipos y articulos electronicos, electricos y domesticos"	"NUEVO LEON"	"Guadalupe"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"					13586				2.0844		
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	5261.2										
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.505004		
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Arsénico (compuestos)"	"S/C1"	"kg/año"									0.6480184		
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Cadmio (compuestos)"	"S/C2"	"kg/año"									0.18542944		
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Cromo (compuestos)"	"S/C3"	"kg/año"									2.52502		
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Níquel (compuestos)"	"S/C5"	"kg/año"									0.0977356		
"ABPMC1000711"	"ADM BIO PRODUCTOS S.A. DE C.V."	"Quimica"	"DURANGO"	"Gomez Palacio"	"Metales"	"Plomo (compuestos)"	"S/C6"	"kg/año"									0.7487276		
"ABS7T0503011"	"Aluminio y Bronces de Saltillo, S.A. de C.V."	"Metalurgica (incluye la siderurgica)"	"COAHUILA"	"Saltillo"	"Gases de Efecto Invernadero"	"Oxido nitroso"	"10024-97-2"	"ton/año"	0.000079										
"ABS7T0503011"	"Aluminio y Bronces de Saltillo, S.A. de C.V."	"Metalurgica (incluye la siderurgica)"	"COAHUILA"	"Saltillo"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	50.264										
"ABS7T0503011"	"Aluminio y Bronces de Saltillo, S.A. de C.V."	"Metalurgica (incluye la siderurgica)"	"COAHUILA"	"Saltillo"	"Gases de Efecto Invernadero"	"Metano"	"74-82-8"	"ton/año"	0.00079										
"ACA8A1502411"	"ACEROS CAMESA S.A. DE C.V."	"Quimica"	"MEXICO"	"Cuautitlan"	"Gases de Efecto Invernadero"	"Bióxido de carbono"	"124-38-9"	"ton/año"	7930.2432										
"ACA8A1502411"	"ACEROS CAMESA S.A. DE C.V."	"Quimica"	"MEXICO"	"Cuautitlan"	"Otros"	"Cianuro inorgánico/orgánico"	"57-12-5"	"kg/año"									0.21571752		
"ACA8A1502411"	"ACEROS CAMESA S.A. DE C.V."	"Quimica"	"MEXICO"	"Cuautitlan"	"Gases de Efecto Invernadero"	"Metano"	"74-82-8"	"ton/año"	0.15199										
