cas	sustancia	grupo	iarc
75-09-2	Cloruro de metileno	Sustancias Organohalogenadas	No Considerado
67-72-1	Hexacloroetano	Sustancias Organohalogenadas	No Considerado
106-46-7	1,4-Diclorobenceno	Sustancias Organohalogenadas	No Considerado
1330-20-7	Xileno (mezcla de isómeros)		No Considerado
123-91-1	Dioxano	Otras sustancias RETC	No Considerado
2551-62-4	Hexafluoruro de azufre	Gases de Efecto Invernadero (GEI)	No Considerado
7440-38-2	Arsénico	Metales y sus Compuestos	No Considerado
106-99-0	Butadieno	Otras sustancias RETC	No Considerado
S/C8	Hidrofluorocarbonos	Gases de Efecto Invernadero (GEI)	No Considerado
1330-78-5	Fosfato de tris(metilfenilo)		No Considerado
108-05-4	Acetato de vinilo		No Considerado
72-43-5	Metoxicloro	Plaguicidas	No Considerado
10024-97-2	Oxido nitroso	Gases de Efecto Invernadero (GEI)	No Considerado
9016-87-9	Diisocianato de difenilmetano polimérico	Sustancias Organohalogenadas	No Considerado
74-87-3	Clorometano	Sustancias Organohalogenadas	No Considerado
75-71-8	Diclorodifluorometano (CFC-12)	Sustancias Agotadoras de la Capa de Ozono	No Considerado
7440-02-0	Níquel (polvos respirables, humos o vapores)	Metales y sus Compuestos	No Considerado
74-90-8	Cianuro de hidrógeno		No Considerado
26471-62-5	Tolueno diisocianato	Hidrocarburos Aromáticos y Alifáticos	No Considerado
1763-23-1	Ácido sulfónico de perfluorooctano y sus sales		No Considerado
1897-45-6	Clorotalonil		No Considerado
57-74-9	Clordano	Compuestos Orgánicos Persistentes (COP)	No Considerado
92-67-1	4-Amino difenilo	Hidrocarburos Aromáticos y Alifáticos	No Considerado
118-74-1	Hexaclorobenceno	Compuestos Orgánicos Persistentes (COP)	No Considerado
94-75-7	Acido 2,4 Diclorofenoxiacetico	Plaguicidas	No Considerado
7783-06-4	Acido sulfhídrico	Otras sustancias RETC	No Considerado
110-86-1	Piridina	Hidrocarburos Aromáticos y Alifáticos	No Considerado
Cd	Cadmio (compuestos)	Metales y sus Compuestos	No Considerado
205-99-2	Benzo(b)fluoranteno		No Considerado
106-89-8	Epiclorhidrina	Sustancias Organohalogenadas	No Considerado
542-88-1	Eter bis-cloro metilico	Sustancias Organohalogenadas	No Considerado
S/C2	Cadmio (compuestos)	Metales y sus Compuestos	No Considerado
S/C7	Hidrobromofluorocarbonos	Gases de Efecto Invernadero (GEI)	No Considerado
1309-64-4	Antimonio trióxido		No Considerado
101-68-8	Metileno bis(fenilisocianato)		No Considerado
306-83-2	2,2-Dicloro-1,1,1-Trifluoroetano (HCFC-123)	Sustancias Agotadoras de la Capa de Ozono	No Considerado
106-51-4	P-benzoquinona		No Considerado
7439-92-1	Plomo (polvos respirables, humos o vapores)		No Considerado
126-72-7	Fosfato de tris(2,3-dibromopropilo)		No Considerado
Cr	Cromo (compuestos)	Metales y sus Compuestos	No Considerado
107-06-2	1,2,-Dicloroetano	Sustancias Organohalogenadas	No Considerado
75-21-8	Oxido de etileno		No Considerado
1336-36-3	Bifenilos policlorados	Compuestos Orgánicos Persistentes (COP)	No Considerado
67-66-3	Cloroformo	Sustancias Organohalogenadas	No Considerado
75-07-0	Acetaldehido	Otras sustancias RETC	No Considerado
120-82-1	Triclorobenceno	Hidrocarburos Aromáticos y Alifáticos	No Considerado
79-34-5	1,1,2,2-Tetracloroetano	Sustancias Organohalogenadas	No Considerado
72-02-8	Endrin	Compuestos Orgánicos Persistentes (COP)	No Considerado
79-46-9	2-Nitropropano	Otras sustancias RETC	No Considerado
7440-43-9	Cadmio	Metales y sus Compuestos	No Considerado
81-81-2	Warfarina	Plaguicidas	No Considerado
