CLAVE	SITIO	ORGANISMO_DE_CUENCA	ESTADO	MUNICIPIO	ACUIFERO	SUBTIPO	LONGITUD	LATITUD	PERIODO	ALC_mg/L	CALIDAD_ALC	CONDUCT_mS/cm	CALIDAD_CONDUC	SDT_mg/L	CALIDAD_SDT_ra	CALIDAD_SDT_salin	FLUORUROS_mg/L	CALIDAD_FLUO	DUR_mg/L	CALIDAD_DUR	COLI_FEC_NMP/100_mL	CALIDAD_COLI_FEC	N_NO3_mg/L	CALIDAD_N_NO3	AS_TOT_mg/L	CALIDAD_AS	CD_TOT_mg/L	CALIDAD_CD	CR_TOT_mg/L	CALIDAD_CR	HG_TOT_mg/L	CALIDAD_HG	PB_TOT_mg/L	CALIDAD_PB	MN_TOT_mg/L	CALIDAD_MN	FE_TOT_mg/L	CALIDAD_FE	SEMAFORO	CONTAMINANTES	CUMPLE_CON_ALC	CUMPLE_CON_COND	CUMPLE_CON_SDT_ra	CUMPLE_CON_SDT_salin	CUMPLE_CON_FLUO	CUMPLE_CON_DUR	CUMPLE_CON_CF	CUMPLE_CON_NO3	CUMPLE_CON_AS	CUMPLE_CON_CD	CUMPLE_CON_CR	CUMPLE_CON_HG	CUMPLE_CON_PB	CUMPLE_CON_MN	CUMPLE_CON_FE	IARC
OCBAL2809	POZO PAJARITOS	BALSAS	MORELOS	AXOCHIAPAN	TEPALCINGO-AXOCHIAPAN	POZO	-98.77833	18.50515	2022	284	Alta	1082	Permisible para riego				0.69	Media	380	Potable - Dura	460000	Fuertemente contaminada	1.77	Potable - Excelente	0.0131	Apta como FAAP					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	CF,	SI	SI	ND	ND	SI	SI	NO	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL2810	POZO COL. EMILIANO ZAPATA	BALSAS	MORELOS	AYALA	CUAUTLA-YAUTEPEC	POZO	-98.99409	18.69335	2022	370	Alta	1202	Permisible para riego				0.868	Potable - Optima	454	Potable - Dura	75	Buena calidad	3.75	Potable - Excelente	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	SI	SI	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL2819	BONANZA	BALSAS	MORELOS	JOJUTLA	ZACATEPEC	POZO	-99.20771	18.60531	2022	244	Alta	1008	Permisible para riego				0.676	Media	363	Potable - Dura	21	Buena calidad	2.76	Potable - Excelente	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	SI	SI	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL2833	TETECALITA-CHICONCUAC	BALSAS	MORELOS	EMILIANO ZAPATA	CUERNAVACA	POZO	-99.18458	18.77216	2022	261	Alta	695	Buena para riego				0.499	Media	329	Potable - Dura	28	Buena calidad	6.61	Potable - Buena calidad	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	SI	SI	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL2854	POZO LA ALBORADA (CAMPESTRE ASTURIANO)	BALSAS	MÉXICO	TEPETLIXPA	CUAUTLA-YAUTEPEC	POZO	-98.86337	18.96856	2022	184	Alta	317	Buena para riego				0.354	Baja			43	Buena calidad	2.2	Potable - Excelente	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	ND	SI	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL2855	TEPALCINGO	BALSAS	MORELOS	TEPALCINGO	TEPALCINGO-AXOCHIAPAN	POZO	-98.83972	18.60004	2022	286	Alta	1292	Permisible para riego				<0.2	Baja	460	Potable - Dura	1500	Contaminada	8.14	Potable - Buena calidad	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	CF,	SI	SI	ND	ND	SI	SI	NO	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL2857	POZO TLAXIACO	BALSAS	OAXACA	HEROICA CIUDAD DE TLAXIACO	JUXTLAHUACA	POZO	-97.66029	17.24958	2022	162	Alta	640	Buena para riego	456	Excelente para riego	Potable - Dulce	<0.2	Baja	384.3	Potable - Dura	<1.1	Potable - Excelente	0.875	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	0.008	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.347	Sin efectos en la salud - Puede dar color al agua	0.058	Potable - Excelente	Amarillo	MN,	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	NC
OCBAL2858	POZO N°6 TAMAZULAPAN	BALSAS	OAXACA	VILLA DE TAMAZULÁPAM DEL PROGRESO	TAMAZULAPAN	POZO	-97.54652	17.66765	2022	215	Alta	665	Buena para riego	565.8	Cultivos sensibles	Potable - Dulce	<0.2	Baja	501.5	Muy dura e indeseable usos industrial y domestico	<1.1	Potable - Excelente	1.188	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	0.011	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.146	Potable - Excelente	5.477	Sin efectos en la salud - Puede dar color al agua	Amarillo	DT,FE,	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	NO	NC
OCBAL2866	POZO HUAJUAPAN	BALSAS	OAXACA	HEROICA CIUDAD DE HUAJUAPAN DE LEÓN	HUAJUAPAN DE LEON	POZO	-97.77236	17.80557	2022	300	Alta	1105	Permisible para riego				0.536	Media	417	Potable - Dura	2400	Contaminada	12.06	No apta como FAAP	0.0255	No apta como FAAP					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	CF,AS,NO3,	SI	SI	ND	ND	SI	SI	NO	NO	NO	ND	ND	SI	ND	SI	SI	1
OCBAL2868	POZO SAN AGUSTIN ATENANGO	BALSAS	OAXACA	SAN AGUSTÍN ATENANGO	MARISCALA	POZO	-97.96749	17.61476	2022	112	Media	532	Buena para riego	312	Excelente para riego	Potable - Dulce	<0.2	Baja	289.5	Potable - Dura	<1.1	Potable - Excelente	0.371	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	0.012	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.002	Potable - Excelente	0.099	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
