CLAVE	SITIO	ORGANISMO_DE_CUENCA	ESTADO	MUNICIPIO	ACUIFERO	SUBTIPO	LONGITUD	LATITUD	PERIODO	ALC_mg/L	CALIDAD_ALC	CONDUCT_mS/cm	CALIDAD_CONDUC	SDT_mg/L	CALIDAD_SDT_ra	CALIDAD_SDT_salin	FLUORUROS_mg/L	CALIDAD_FLUO	DUR_mg/L	CALIDAD_DUR	COLI_FEC_NMP/100_mL	CALIDAD_COLI_FEC	N_NO3_mg/L	CALIDAD_N_NO3	AS_TOT_mg/L	CALIDAD_AS	CD_TOT_mg/L	CALIDAD_CD	CR_TOT_mg/L	CALIDAD_CR	HG_TOT_mg/L	CALIDAD_HG	PB_TOT_mg/L	CALIDAD_PB	MN_TOT_mg/L	CALIDAD_MN	FE_TOT_mg/L	CALIDAD_FE	SEMAFORO	CONTAMINANTES	CUMPLE_CON_ALC	CUMPLE_CON_COND	CUMPLE_CON_SDT_ra	CUMPLE_CON_SDT_salin	CUMPLE_CON_FLUO	CUMPLE_CON_DUR	CUMPLE_CON_CF	CUMPLE_CON_NO3	CUMPLE_CON_AS	CUMPLE_CON_CD	CUMPLE_CON_CR	CUMPLE_CON_HG	CUMPLE_CON_PB	CUMPLE_CON_MN	CUMPLE_CON_FE	IARC
BROTE CARMINA 3	CARMINA 3 BROTE	RÍO BRAVO	COAHUILA DE ZARAGOZA	ACUÑA 	PRESA LA AMISTAD	BROTE	-101.07538	29.44255	2022	139.7	Media	884	Permisible para riego	562.4	Cultivos sensibles	Potable - Dulce	0.82	Potable - Optima	505.8	Muy dura e indeseable usos industrial y domestico	97	Buena calidad	0.591	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.032	Potable - Excelente	<0.025	Potable - Excelente	Amarillo	DT,	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-1	POZO SAN FERNANDO 1	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53551	25.50971	2022	141.3	Media	279	Buena para riego	184.6	Excelente para riego	Potable - Dulce	0.52	Media	132	Potable - Dura	<1.1	Potable - Excelente	0.317	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-10	POZO EL HUARACHE	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	PRINCIPAL-REGION LAGUNERA	POZO	-103.49819	25.52886	2022	200	Alta	519	Buena para riego	378	Excelente para riego	Potable - Dulce	0.43	Media	230	Potable - Dura	<1.1	Potable - Excelente	3.182	Potable - Excelente	0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	0.015	No apta como FAAP	0.025	Potable - Excelente	0.375	Sin efectos en la salud - Puede dar color al agua	Rojo	PB,FE,	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	NO	1
CAZEPA-11	POZO LAS AURAS	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	PRINCIPAL-REGION LAGUNERA	POZO	-103.51438	25.54889	2022	176.8	Alta	548	Buena para riego	322	Excelente para riego	Potable - Dulce	0.5	Media	188	Potable - Dura	<1.1	Potable - Excelente	3.843	Potable - Excelente	0.021	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.002	Potable - Excelente	0.029	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-2	POZO SAN FERNANDO 2	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53953	25.50946	2022	168.4	Alta	378	Buena para riego	247.4	Excelente para riego	Potable - Dulce	0.55	Media	152	Potable - Dura	<1.1	Potable - Excelente	0.295	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.088	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-25	POZO RAYMUNDO	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.54054	25.51169	2022	170.2	Alta	372	Buena para riego	242.8	Excelente para riego	Potable - Dulce	0.48	Media	162	Potable - Dura	<1.1	Potable - Excelente	0.44	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.003	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-3	POZO SAN FERNANDO 3	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53687	25.50951	2022	203.4	Alta	540	Buena para riego	384.4	Excelente para riego	Potable - Dulce	0.47	Media	220	Potable - Dura	<1.1	Potable - Excelente	1.748	Potable - Excelente	0.016	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.003	Potable - Excelente	0.051	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-4	POZO SAN FERNANDO 4	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53752	25.50777	2022	206.8	Alta	551	Buena para riego	387.8	Excelente para riego	Potable - Dulce	0.52	Media	216	Potable - Dura	<1.1	Potable - Excelente	1.058	Potable - Excelente	0.013	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.049	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-5	POZO SAN FERNANDO 5	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.5385	25.50933	2022	207.9	Alta	546	Buena para riego	395.2	Excelente para riego	Potable - Dulce	0.46	Media	226	Potable - Dura	<1.1	Potable - Excelente	0.891	Potable - Excelente	0.015	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.009	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-7	POZO SAN FERNANDO 7	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VILLA JUAREZ	POZO	-103.53713	25.50861	2022	203.4	Alta	532	Buena para riego	378.8	Excelente para riego	Potable - Dulce	0.46	Media	220	Potable - Dura	<1.1	Potable - Excelente	1.21	Potable - Excelente	0.011	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
CAZEPA-8	POZO EL BORDO	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	PRINCIPAL-REGION LAGUNERA	POZO	-103.52094	25.52657	2022	225.4	Alta	502	Buena para riego	392.8	Excelente para riego	Potable - Dulce	0.34	Baja	240	Potable - Dura	41	Buena calidad	4.118	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.042	Potable - Excelente	0.907	Sin efectos en la salud - Puede dar color al agua	Amarillo	FE,	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NC
CAZEPA-9	POZO VILLA JARDIN	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	PRINCIPAL-REGION LAGUNERA	POZO	-103.51117	25.54824	2022	204.4	Alta	564	Buena para riego	400.8	Excelente para riego	Potable - Dulce	0.53	Media	238	Potable - Dura	<1.1	Potable - Excelente	4.296	Potable - Excelente	0.022	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLAGU19	POZO PASO BLANCO	LERMA SANTIAGO PACÍFICO	AGUASCALIENTES	JESÚS MARÍA	VALLE DE AGUASCALIENTES	POZO	-102.31557	21.97497	2022	429.7	Indeseable como FAAP	925	Permisible para riego	620.8	Cultivos sensibles	Potable - Dulce	1.01	Potable - Optima	283.1	Potable - Dura	<1.1	Potable - Excelente	1.671	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Amarillo	ALC,	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLAGU3	PALO ALTO POZO Nº 2	LERMA SANTIAGO PACÍFICO	AGUASCALIENTES	EL LLANO	EL LLANO	POZO	-101.96439	21.9055	2022	202.9	Alta	514	Buena para riego	396.4	Excelente para riego	Potable - Dulce	3.06	Alta	128.5	Potable - Dura	<1.1	Potable - Excelente	1.591	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	FLUO,	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLAGU42	CALVILLO POZO NO. 1 INDEPENDENCIA	LERMA SANTIAGO PACÍFICO	AGUASCALIENTES	CALVILLO	VALLE DE CALVILLO	POZO	-102.728	21.84439	2022	117.2	Media	354	Buena para riego	269	Excelente para riego	Potable - Dulce	1.04	Potable - Optima	94.4	Potable - Moderadamente suave	<1.1	Potable - Excelente	2.732	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLAGU49	POZO TAPIAS VIEJAS	LERMA SANTIAGO PACÍFICO	AGUASCALIENTES	JESÚS MARÍA	VENADERO	POZO	-102.53558	21.85116	2022	170.3	Alta	376	Buena para riego	250.4	Excelente para riego	Potable - Dulce	1.78	Alta	106.4	Potable - Moderadamente suave	<1.1	Potable - Excelente	1.652	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	FLUO,	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLAGU5576	POZO NUM 6 PARRAS	LERMA SANTIAGO PACÍFICO	AGUASCALIENTES	AGUASCALIENTES	VALLE DE AGUASCALIENTES	POZO	-102.2816666667	21.9150277778	2022	218.1	Alta	526	Buena para riego	382.2	Excelente para riego	Potable - Dulce	1.36	Potable - Optima	140.6	Potable - Dura	<1.1	Potable - Excelente	1.453	Potable - Excelente	0.016	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLAGU7	POZO COSIO	LERMA SANTIAGO PACÍFICO	AGUASCALIENTES	COSÍO	VALLE DE AGUASCALIENTES	POZO	-102.28801	22.36685	2022	202.9	Alta	555	Buena para riego	327.4	Excelente para riego	Potable - Dulce	1.74	Alta	112.4	Potable - Moderadamente suave	<1.1	Potable - Excelente	1.527	Potable - Excelente	0.035	No apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	FLUO,AS,	SI	SI	SI	SI	NO	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	1
DLAGU9	POZO EL SALITRILLO	LERMA SANTIAGO PACÍFICO	AGUASCALIENTES	RINCÓN DE ROMOS	VALLE DE AGUASCALIENTES	POZO	-102.29449	22.18435	2022	317.9	Alta	681	Buena para riego	460.8	Excelente para riego	Potable - Dulce	1.15	Potable - Optima	196.8	Potable - Dura	31	Buena calidad	1.318	Potable - Excelente	0.016	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ108	POZO A.P. CNA 7 (ANTES POZO A.P. CNA 6)	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	TODOS SANTOS	POZO	-110.22067	23.46493	2022	177.6	Alta	426	Buena para riego	271	Excelente para riego	Potable - Dulce	0.34	Baja	170.3	Potable - Dura	<1.1	Potable - Excelente	6.246	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ117	LAS PARRITAS	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	EL CARRIZAL	POZO	-110.088778	23.799861	2022	377.6	Alta	1140	Permisible para riego	769	Cultivos sensibles	Potable - Dulce	0.34	Baja	478.9	Potable - Dura	5475	Contaminada	6.925	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	CF,	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ118	SAN ANTONIO	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	LOS PLANES	POZO	-110.054722	23.824722	2022	329.8	Alta	1441	Permisible para riego	1098.3	Cultivos con manejo especial	Ligeramente salobres	0.55	Media	530.4	Muy dura e indeseable usos industrial y domestico	3654	Contaminada	6.819	Potable - Buena calidad	0.58	No apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.018	Potable - Excelente	0.25	Potable - Excelente	Rojo	DT,CF,AS,	SI	SI	SI	SI	SI	NO	NO	SI	NO	SI	SI	SI	SI	SI	SI	1
DLBAJ119	AGUA AMARGA Y SAN PEDRO MEXICO	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	LOS PLANES	POZO	-109.907091	23.94632	2022	134.5	Media	1186	Permisible para riego	682	Cultivos sensibles	Potable - Dulce	0.5	Media	239.5	Potable - Dura	52	Buena calidad	5.445	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ122	EL TRIUNFO	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	EL CARRIZAL	POZO	-110.108253	23.807347	2022	215.9	Alta	1462	Permisible para riego	925	Cultivos sensibles	Potable - Dulce	0.57	Media	225.6	Potable - Dura			7.075	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.009	Potable - Excelente	0.136	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	ND	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ125	JUAN DOMINGUEZ COTA	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	LOS PLANES	POZO	-109.95892	23.97374	2022	97.7	Media	4934	Indeseable para riego	3210	Cultivos tolerantes	Salobres	0.26	Baja	940	Muy dura e indeseable usos industrial y domestico	10	Buena calidad	0.863	Potable - Excelente	0.028	No apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	0.0006	Potable - Excelente	0.164	No apta como FAAP	0.034	Potable - Excelente	0.777	Sin efectos en la salud - Puede dar color al agua	Rojo	CONDUC,SDT_ra,SDT_salin,DT,AS,PB,FE,	SI	NO	NO	NO	SI	NO	SI	SI	NO	SI	SI	SI	NO	SI	NO	1
DLBAJ127	TIRO SANTA CRUZ	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	LOS PLANES	POZO	-110.0611	23.80554	2022	252.8	Alta	1320	Permisible para riego	988.3	Cultivos sensibles	Potable - Dulce	0.38	Baja	550.2	Muy dura e indeseable usos industrial y domestico	51	Buena calidad	0.237	Potable - Excelente	0.13	No apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	DT,AS,	SI	SI	SI	SI	SI	NO	SI	SI	NO	SI	SI	SI	SI	SI	SI	1
DLBAJ128	EL ROSARIO II	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	EL CARRIZAL	POZO	-110.11185	23.74221	2022	355.9	Alta	1490	Permisible para riego	970.8	Cultivos sensibles	Potable - Dulce	0.37	Baja	522.5	Muy dura e indeseable usos industrial y domestico	2481	Contaminada	0.21	Potable - Excelente	0.019	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.432	Puede afectar la salud	1.385	Sin efectos en la salud - Puede dar color al agua	Rojo	DT,CF,MN,FE,	SI	SI	SI	SI	SI	NO	NO	SI	SI	SI	SI	SI	SI	NO	NO	NC
DLBAJ129	SP. A.P. 1, L. 9, COL. SIN.	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	COMONDÚ	SANTO DOMINGO	POZO	-111.72009	25.13549	2022	192.8	Alta	893	Permisible para riego	582.4	Cultivos sensibles	Potable - Dulce	0.39	Baja	232.7	Potable - Dura	<1.1	Potable - Excelente	9.611	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ130	L. 16-17 COL. LAGUNA	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	COMONDÚ	SANTO DOMINGO	POZO	-111.8038	25.2401	2022	247.9	Alta	1073	Permisible para riego	701	Cultivos sensibles	Potable - Dulce	0.61	Media	136.1	Potable - Dura	<1.1	Potable - Excelente	2.912	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	0.013	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.002	Potable - Excelente	0.094	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ131	L. 20, EJ. STO. DOMINGO	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	COMONDÚ	SANTO DOMINGO	POZO	-111.92221	25.5047	2022	269.3	Alta	8467	Indeseable para riego	7084	Indeseable para riego	Salobres	0.55	Media	2794.1	Muy dura e indeseable usos industrial y domestico	3448	Contaminada	5.17	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.026	Potable - Excelente	1.308	Sin efectos en la salud - Puede dar color al agua	Rojo	CONDUC,SDT_ra,SDT_salin,DT,CF,FE,	SI	NO	NO	NO	SI	NO	NO	SI	SI	SI	SI	SI	SI	SI	NO	NC
DLBAJ136	EL SARGENTO	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	LOS PLANES	POZO	-109.9646667	23.96966	2022	125.9	Media	514	Buena para riego	281.6	Excelente para riego	Potable - Dulce	0.5	Media	51.5	Potable - Suave	<1.1	Potable - Excelente	0.688	Potable - Excelente	0.138	No apta como FAAP	<0.003	Potable - Excelente	0.006	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.005	Potable - Excelente	0.114	Potable - Excelente	Rojo	AS,	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	1
DLBAJ137M1	POZO 51 AP	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LA PAZ	LOS PLANES	POZO	-109.939889	23.966833	2022	99.8	Media	2114	Dudosa para riego	1417.7	Cultivos con manejo especial	Ligeramente salobres	0.3	Baja	542.2	Muy dura e indeseable usos industrial y domestico	<1.1	Potable - Excelente	11.725	No apta como FAAP	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	0.027	Potable - Excelente	Rojo	CONDUC,DT,NO3,	SI	NO	SI	SI	SI	NO	SI	NO	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ148	RANCHO AGUA DULCE, GVO. GLEZ.	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LORETO	SAN JUAN B. LONDO	POZO	-111.4857	26.2279	2022	266.2	Alta	1066	Permisible para riego	691	Cultivos sensibles	Potable - Dulce	0.31	Baja	319.9	Potable - Dura			9.038	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	ND	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ149	POZO NO. 14	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LORETO	SAN JUAN B. LONDO	POZO	-111.50755	26.24466	2022	242.8	Alta	897	Permisible para riego	572	Cultivos sensibles	Potable - Dulce	0.47	Media	195.3	Potable - Dura	<1.1	Potable - Excelente	3.501	Potable - Excelente	0.028	No apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.002	Potable - Excelente	<0.025	Potable - Excelente	Rojo	AS,	SI	SI	SI	SI	SI	SI	SI	SI	NO	SI	SI	SI	SI	SI	SI	1
DLBAJ150	POZO 2A	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	LORETO	SAN JUAN B. LONDO	POZO	-111.54894	26.30176	2022	210.1	Alta	1813	Permisible para riego	1135	Cultivos con manejo especial	Ligeramente salobres	0.42	Media	369.8	Potable - Dura	<1.1	Potable - Excelente	6.321	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ157	MULEGE 1	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	MULEGÉ	MULEGE	POZO	-112.00146	26.88679	2022	192.8	Alta	1419	Permisible para riego	948	Cultivos sensibles	Potable - Dulce	0.34	Baja	365.6	Potable - Dura	<1.1	Potable - Excelente	10.096	Potable - Buena calidad	0.013	Apta como FAAP	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.002	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ161	CNA-SI-03 (EJ. ALFREDO V. BONFIL)	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	MULEGÉ	SAN IGNACIO	POZO	-112.762754	27.3359	2022	193.8	Alta	953	Permisible para riego	683.2	Cultivos sensibles	Potable - Dulce	0.33	Baja	367.7	Potable - Dura	85	Buena calidad	1.889	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.097	Potable - Excelente	2.21	Sin efectos en la salud - Puede dar color al agua	Amarillo	FE,	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NO	NC
DLBAJ183	LAGUNEROS 2	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	MULEGÉ	VIZCAINO	POZO	-113.67867	27.82175	2022	141.8	Media	824	Permisible para riego	630.4	Cultivos sensibles	Potable - Dulce	0.31	Baja	274.2	Potable - Dura	<1.1	Potable - Excelente	1.57	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	0.037	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	0.19	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
DLBAJ184	DIAZ ORDAZ 2. 2A. ETAPA	PENÍNSULA DE BAJA CALIFORNIA	BAJA CALIFORNIA SUR	MULEGÉ	VIZCAINO	POZO	-113.4545	27.7335	2022	151	Alta	720	Buena para riego	420.4	Excelente para riego	Potable - Dulce	0.76	Potable - Optima	78.9	Potable - Moderadamente suave	<1.1	Potable - Excelente	3.752	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	0.04	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
