estado,municipio,cve_ent
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Alvaro Obregon,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
