nra,estado,municipio
ACC5U1901211,NUEVO LEON,Cienega de Flores
ACC9M0801911,CHIHUAHUA,Chihuahua
ACCEE1903921,NUEVO LEON,Monterrey
ACCQA1409711,JALISCO,Tlajomulco de Zuniga
ACCUB1802011,NAYARIT,Bahia de Banderas
ACCUB1802011,Nayarit,Bahía de Banderas
ACD521403911,JALISCO,Guadalajara
ACE0901700011,DISTRITO FEDERAL,Venustiano Carranza
ACE1I1904611,NUEVO LEON,San Nicolas de los Garza
ACE5H2402811,SAN LUIS POTOSI,San Luis Potosi
ACE6E2603011,SONORA,Hermosillo
ACE6S2901711,TLAXCALA,Mazatecochco de Jose Maria Morelos
ACE6S2901711,Tlaxcala,Mazatecochco de José María Morelos
ACE7F1104411,GUANAJUATO,Villagran
ACE7T2201611,QUERETARO,San Juan del Rio
ACE7T2201611,Querétaro,San Juan del Río
ACE8V0801711,CHIHUAHUA,Cuauhtemoc
ACE8V0801911,CHIHUAHUA,Chihuahua
ACE8V0803211,CHIHUAHUA,Hidalgo del Parral
ACE8V0804511,CHIHUAHUA,Meoqui
ACE8V0805011,CHIHUAHUA,Nuevo Casas Grandes
ACE8V2500111,SINALOA,Ahome
ACE9K2201111,QUERETARO,El Marques
ACE9K2201112,QUERETARO,El Marques
ACFKE1904611,NUEVO LEON,San Nicolas de los Garza
ACG8A0900611,DISTRITO FEDERAL,Iztacalco
ACI3L1509511,MEXICO,Tepotzotlan
ACIRP0801911,CHIHUAHUA,Chihuahua
ACIRP0801911,Chihuahua,Chihuahua
ACJL70803711,CHIHUAHUA,Juarez
ACL5I1901011,NUEVO LEON,Carmen
ACLMB2603011,SONORA,Hermosillo
ACM1903900209,NUEVO LEON,Monterrey
ACM1M1901211,NUEVO LEON,Cienega de Flores
ACM3L1100711,GUANAJUATO,Celaya
ACM3L1100711,Guanajuato,Celaya
ACM5W1505711,MEXICO,Naucalpan de Juarez
ACM690900511,DISTRITO FEDERAL,Gustavo A. Madero
ACM6E0503011,COAHUILA,Saltillo
ACM7X2201411,QUERETARO,Queretaro
ACM7X2201411,Querétaro,Querétaro
ACM9M2201111,QUERETARO,El Marques
ACMEA1510911,MEXICO,Tultitlan
ACO5E0900711,DISTRITO FEDERAL,Iztapalapa
ACO5V1100711,GUANAJUATO,Celaya
ACO5W1510411,MEXICO,Tlalnepantla de Baz
ACO7F1510411,MEXICO,Tlalnepantla de Baz
ACO8N2803211,TAMAULIPAS,Reynosa
ACO910200411,BAJA CALIFORNIA,Tijuana
ACOEA1510611,MEXICO,Toluca
ACOLJ1403911,JALISCO,Guadalajara
ACOM91510611,MEXICO,Toluca
ACOM92007911,OAXACA,Salina Cruz
ACORP0900311,DISTRITO FEDERAL,Coyoacan
ACOTE2800311,TAMAULIPAS,Altamira
ACPMC1403912,JALISCO,Guadalajara
ACR7X0803711,CHIHUAHUA,Juarez
ACR7X0803711,Chihuahua,Juárez
ACRKE2111411,PUEBLA,Puebla
ACSKE2402811,SAN LUIS POTOSI,San Luis Potosi
ACSMC2111411,PUEBLA,Puebla
ACT7X0200311,BAJA CALIFORNIA,Tecate
ACU1903900043,NUEVO LEON,Monterrey
ACU191512111,MEXICO,Cuautitlan
ACUEE0900311,DISTRITO FEDERAL,Coyoacan
ACUEE1901911,NUEVO LEON,San Pedro Garza Garcia
ACUKE1903911,NUEVO LEON,Monterrey
ACUKE1903911,Nuevo León,Monterrey
ACUKE1903921,NUEVO LEON,Monterrey
ACUKE1904611,NUEVO LEON,San Nicolas de los Garza
ACUKE1904811,NUEVO LEON,Santa Catarina
ACUKE1904811,Nuevo León,Santa Catarina
ACURP2500611,SINALOA,Culiacan
ACURP2500612,SINALOA,Navolato
ACV5H1605311,MICHOACAN,Morelia
ADC0400200328,Campeche,Campeche
ADC0501800005,COAHUILA,Monclova
ADC2903300062,Tlaxcala,Tlaxcala
ADC940802111,CHIHUAHUA,Delicias
ADCBE3105011,Yucatán,Mérida
ADDBB1510411,MEXICO,Tlalnepantla de Baz
ADE5P1901611,NUEVO LEON,Dr. Gonzalez
ADEN22201411,QUERETARO,Queretaro
ADH5G2901511,TLAXCALA,Ixtacuixtla de Mariano Matamoros
ADH5G2901511,Tlaxcala,Ixtacuixtla de Mariano Matamoros
ADHEA2901511,TLAXCALA,Ixtacuixtla de Mariano Matamoros
ADIKE1503711,MEXICO,Huixquilucan
ADLSE0706211,CHIAPAS,Ostuacan
ADLSE0706211,Chiapas,Ostuacán
ADM7T2402811,SAN LUIS POTOSI,San Luis Potosi
ADM7T2402821,SAN LUIS POTOSI,San Luis Potosi
ADUEE1000511,DURANGO,Durango
AEA 91050021,COAHUILA,Acuna
AEA910500211,COAHUILA,Acuna
AEA9M1103711,GUANAJUATO,Silao
AEA9M2200611,QUERETARO,Corregidora
AEBRP2201411,QUERETARO,Queretaro
AEC0801900362,CHIHUAHUA,Chihuahua
AEC0801900362,Chihuahua,Chihuahua
AEC9M0801911,CHIHUAHUA,Chihuahua
AEC9M0801913,CHIHUAHUA,Chihuahua
AECEA0801911,CHIHUAHUA,Chihuahua
AEE8A0901011,DISTRITO FEDERAL,Alvaro Obregon
AEEBU0900711,Ciudad de México,Iztapalapa
AEEBU0900711,DISTRITO FEDERAL,Iztapalapa
AEEBU0900712,Ciudad de México,Iztapalapa
AEEBU0900712,DISTRITO FEDERAL,Gustavo A. Madero
AEEBU0900712,DISTRITO FEDERAL,Iztapalapa
AEI6D0803711,CHIHUAHUA,Juarez
AEJ9M0803711,CHIHUAHUA,Jimenez
AEJ9M0803712,CHIHUAHUA,Juarez
AEL1501300158,MEXICO,Atizapan de Zaragoza
AEL640600911,COLIMA,Tecoman
AEL911501311,MEXICO,Atizapan de Zaragoza
AELLM1700411,MORELOS,Ayala
AEM0900700106,DISTRITO FEDERAL,Iztapalapa
AEM1507000029,MEXICO,La Paz
AEM5T1101711,GUANAJUATO,Irapuato
AEM8A1507011,MEXICO,La Paz
AEM8T1900611,NUEVO LEON,Apodaca
AEM972803211,TAMAULIPAS,Reynosa
AEM972803211,Tamaulipas,Reynosa
AEM9M1503311,MEXICO,Ecatepec de Morelos
AEMEA1507011,MEXICO,La Paz
AEMLS1502011,MEXICO,Coacalco de Berriozabal
AEMSP0805111,CHIHUAHUA,Ocampo
AEMSP0805111,Chihuahua,Ocampo
AEMSP0805112,CHIHUAHUA,Ocampo
AEMSP0805112,Chihuahua,Ocampo
AEN6A1900911,NUEVO LEON,Cadereyta Jimenez
AEN6A1900911,Nuevo León,Cadereyta Jiménez
AEO7T1301311,HIDALGO,Atotonilco de Tula
AEO8A0901011,DISTRITO FEDERAL,Alvaro Obregon
AEP2107400033,PUEBLA,Huejotzingo
AEP7T1306311,HIDALGO,Tepeji del Rio de Ocampo
