_id,latitudnorte,longitudoeste
65be16a76925a840ab8f46cb,"-99°3'14""","19°32'15"""
65be16a76925a840ab8f46cc,"25°51'39""","97°28'20"""
65be16a76925a840ab8f46cd,"20°37'44""","-100°23'49"""
65be16a76925a840ab8f46ce,"22°28'15""","97°53'15"""
65be16a76925a840ab8f46d0,"19°18'40""","99°08'22"""
65be16a76925a840ab8f46d2,"20°31'6""","103°15'2"""
65be16a76925a840ab8f46d3,"25°42'9.99""","100°18'13.86"""
65be16a76925a840ab8f46d5,"19°29'0""","99°7'0"""
65be16a76925a840ab8f46d6,"19°40'27""","-101°13'44"""
65be16a76925a840ab8f46d7,"19°6'45""","-98°15'37"""
65be16a76925a840ab8f46d8,"19°46'40""","99°23'0"""
65be16a76925a840ab8f46d9,"20°32'0""","100°41'0"""
65be16a76925a840ab8f46da,"26°18'12""","-98°49'34"""
65be16a76925a840ab8f46db,"25°41'7""","-100°28'31"""
65be16a76925a840ab8f46de,"25°50'35""","97°26'12"""
65be16a76925a840ab8f46df,"18°52'0""","98°52'0"""
65be16a76925a840ab8f46e1,"25°24'1""","100°56'19"""
65be16a76925a840ab8f46e2,"19°11'12""","98°18'35"""
65be16a76925a840ab8f46e4,"31°38'43""","-106°22'44"""
65be16a76925a840ab8f46e7,"-100°26'20""","25°40'3"""
65be16a76925a840ab8f46e8,"28°11'0""","105°30'0"""
65be16a76925a840ab8f46eb,"25°31'30""","100°56'45"""
65be16a76925a840ab8f46ec,"18°58'43""","103°52'18"""
65be16a76925a840ab8f46ed,"19°58'34""","99°10'53"""
65be16a76925a840ab8f46ee,"17°40'40""","92°26'30"""
65be16a76925a840ab8f46ef,"18°51'25""","97°01'14"""
65be16a76925a840ab8f46f3,"21°54'31""","102°18'11.64"""
65be16a76925a840ab8f46f6,"19°13'24""","98°23'53"""
65be16a76925a840ab8f46f8,"20°26'12""","100°22'12"""
65be16a76925a840ab8f46f9,"19°56'43""","97°17'14"""
65be16a76925a840ab8f46fa,"20°0'0""","99°13'0"""
65be16a76925a840ab8f46fb,"25°40'40""","100°26'26"""
65be16a76925a840ab8f46fc,"101°6'36""","20°32'24"""
65be16a76925a840ab8f46fd,"19°57'24""","99°22'15"""
65be16a76925a840ab8f46fe,"16°48'12""","95°4'9"""
65be16a76925a840ab8f46ff,"20°16'0""","99°14'25"""
65be16a76925a840ab8f4700,"19°21'53""","0.99°4'53"""
65be16a76925a840ab8f4701,"22°7'3""","100°55'36"""
65be16a76925a840ab8f4702,"19°13'56""","97°48'17"""
65be16a76925a840ab8f4703,"18°50'26""","97°6'28"""
65be16a76925a840ab8f4705,"31°36'48""","106°26'58"""
65be16a76925a840ab8f4707,"99°35'56""","19°17'13"""
65be16a76925a840ab8f4708,"25°41'34""","-100°19'5"""
65be16a76925a840ab8f4709,"25°46'14""","100°12'43"""
65be16a76925a840ab8f470a,"27°0'43""","109°25'49"""
65be16a76925a840ab8f470b,"32°33'54""","0.116°38'5"""
65be16a76925a840ab8f470c,"22°10'57""","102°12'28"""
65be16a76925a840ab8f470d,"22°21'0""","97°53'15"""
65be16a76925a840ab8f470f,"26°4'0""","98°17'0"""
65be16a76925a840ab8f4710,"20°53'3""","-103°50'28"""
65be16a76925a840ab8f4713,"32°43'0""","105°56'0"""
65be16a76925a840ab8f4714,"26°8'51""","98°20'31"""
65be16a76925a840ab8f4715,"18°0'28""","94°33'41"""
65be16a76925a840ab8f4717,"19°28'0""","99°11'00"""
65be16a76925a840ab8f4718,"19°3'54""","98°08'48"""
65be16a76925a840ab8f4719,"19°3'16""","0.98°9'28"""
65be16a76925a840ab8f471a,"20°31'0""","103°10'0"""
65be16a76925a840ab8f471b,"25°42'24.56""","100°16'9.94"""
65be16a76925a840ab8f471d,"19°6'24""","98°13'53"""
65be16a76925a840ab8f471e,"19°29'8""","-99°9'10"""
65be16a76925a840ab8f471f,"19°51'9""","-98°57'21"""
65be16a76925a840ab8f4720,"28°27'42""","100°42'10"""
65be16a76925a840ab8f4721,"21°50'0""","100°55'12"""
65be16a76925a840ab8f4722,"27°29'9""","0.109°58'25"""
65be16a76925a840ab8f4724,"24°48'54""","112°05'25"""
65be16a76925a840ab8f4725,"27°21'10""","112°16'16"""
65be16a76925a840ab8f4726,"27°58'19""","114°1'56"""
65be16a76925a840ab8f4727,"27°38'28""","113°24'46"""
65be16a76925a840ab8f4728,"22°5'15""","110°1'14"""
65be16a76925a840ab8f4729,"19°48'11""","90°36'58"""
65be16a76925a840ab8f472a,"24°43'20""","103°16'45"""
65be16a76925a840ab8f472b,"26°52'30""","101°25'40"""
65be16a76925a840ab8f472c,"27°42'25""","101°19'45"""
65be16a76925a840ab8f472d,"28°28'0""","100°41'0"""
65be16a76925a840ab8f472e,"19°1'36""","104°19'14"""
65be16a76925a840ab8f472f,"31°19'45""","106°20'11"""
65be16a76925a840ab8f4730,"25°32'57""","-103°28'25"""
65be16a76925a840ab8f4734,"20°34'0""","101°10'17"""
65be16a76925a840ab8f4735,"20°4'0""","99°17'0"""
65be16a76925a840ab8f4736,"19°37'0""","98°58'51"""
65be16a76925a840ab8f4737,"21°31'50""","104°57'15"""
65be16a76925a840ab8f4738,"21°50'32""","104°46'29"""
65be16a76925a840ab8f4739,"25°40'34.70""","100°24'22.68"""
65be16a76925a840ab8f473a,"25°36'47.67""","100°16'19.16"""
